Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
LogisticRegression,NaiveBayes,0.7253968253968254,0.620952380952381,0.10444444444444434,2.186633665789466,0.028769277642994362,✓,✗,1.0,✗
ExtraTrees,RandomForest,0.7288888888888888,0.6619047619047619,0.06698412698412692,2.1409289663284228,0.032279766815286125,✓,✗,1.0,✗
ExtraTrees,GradientBoosting,0.7288888888888888,0.6530158730158729,0.07587301587301587,2.0372580545179537,0.041624188862675625,✓,✗,1.0,✗
ExtraTrees,KNN,0.7288888888888888,0.6750793650793651,0.05380952380952375,2.033433135365327,0.04200878251449732,✓,✗,1.0,✗
ExtraTrees,NaiveBayes,0.7288888888888888,0.620952380952381,0.10793650793650778,1.9589540281158766,0.05011817084706564,✗,✗,1.0,✗
LogisticRegression,GradientBoosting,0.7253968253968254,0.6530158730158729,0.07238095238095243,1.706239478538297,0.08796350115930142,✗,✗,1.0,✗
SVM_Linear,NaiveBayes,0.707936507936508,0.620952380952381,0.08698412698412694,1.6999485040486912,0.0891406122344968,✗,✗,1.0,✗
LogisticRegression,RandomForest,0.7253968253968254,0.6619047619047619,0.06349206349206349,1.6962365931991277,0.08984108301574309,✗,✗,1.0,✗
SVM_RBF,NaiveBayes,0.7053968253968254,0.620952380952381,0.08444444444444432,1.6722102795942346,0.09448286415475915,✗,✗,1.0,✗
ExtraTrees,XGBoost,0.7288888888888888,0.6669841269841269,0.06190476190476191,1.5700862411663217,0.11639504905441032,✗,✗,1.0,✗
LogisticRegression,KNN,0.7253968253968254,0.6750793650793651,0.050317460317460316,1.5490915556665945,0.12135971255139467,✗,✗,1.0,✗
LogisticRegression,XGBoost,0.7253968253968254,0.6669841269841269,0.05841269841269847,1.37964628675488,0.16769557850836392,✗,✗,1.0,✗
SVM_Linear,GradientBoosting,0.707936507936508,0.6530158730158729,0.054920634920635036,1.3681282013378786,0.17127195065194,✗,✗,1.0,✗
ExtraTrees,LightGBM,0.7288888888888888,0.6749206349206348,0.053968253968254,1.3254154851846605,0.18503338376570433,✗,✗,1.0,✗
SVM_Linear,RandomForest,0.707936507936508,0.6619047619047619,0.04603174603174609,1.3244711245005019,0.18534662683511738,✗,✗,1.0,✗
SVM_RBF,GradientBoosting,0.7053968253968254,0.6530158730158729,0.05238095238095242,1.2827891510030203,0.1995659560379569,✗,✗,1.0,✗
SVM_RBF,RandomForest,0.7053968253968254,0.6619047619047619,0.04349206349206347,1.2780335784456547,0.20123758690811522,✗,✗,1.0,✗
LogisticRegression,LightGBM,0.7253968253968254,0.6749206349206348,0.05047619047619056,1.0991236187484397,0.27171414908222136,✗,✗,1.0,✗
SVM_Linear,KNN,0.707936507936508,0.6750793650793651,0.03285714285714292,1.0841597219999015,0.27829398681183015,✗,✗,1.0,✗
ExtraTrees,SVM_RBF,0.7288888888888888,0.7053968253968254,0.023492063492063453,1.0756895936809567,0.28206610300845325,✗,✗,1.0,✗
