Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",LogisticRegression,0.7222222222222222,0.6666666666666666,0.6666666666666667,0.7613739209133946,0.625,0.8333333333333334,0.7142857142857143,0.5,0.698766917293233
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",SVM_RBF,0.75,0.6666666666666666,0.6666666666666667,0.753874576146248,0.625,0.8333333333333334,0.7142857142857143,0.5,0.8019173553719009
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",SVM_Linear,0.7361111111111112,0.625,0.625,0.7869691590086327,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.4166666666666667,0.7025263157894737
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",RandomForest,0.6319444444444445,0.625,0.625,0.666695199160033,0.6,0.75,0.6666666666666666,0.5,0.7777142857142857
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",GradientBoosting,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.6355229193464488,0.5625,0.75,0.6428571428571429,0.4166666666666667,0.7927518796992481
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",ExtraTrees,0.7638888888888888,0.75,0.75,0.7567324151882975,0.75,0.75,0.75,0.75,0.7771239669421488
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",KNN,0.6875,0.5416666666666666,0.5416666666666667,0.7311576867068859,0.5384615384615384,0.5833333333333334,0.56,0.5,0.8051868131868131
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",NaiveBayes,0.6875,0.5416666666666666,0.5416666666666666,0.73766982638466,0.5217391304347826,1.0,0.6857142857142857,0.08333333333333333,0.6128791208791209
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",XGBoost,0.6041666666666667,0.5833333333333334,0.5833333333333333,0.63991572254503,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5,0.7941978021978022
1,89,24,8,8,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",LightGBM,0.6319444444444445,0.5833333333333334,0.5833333333333333,0.6891214676183213,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5,0.7575677655677656
