,SVM_RBF,RandomForest,KNN,ExtraTrees,LogisticRegression,SVM_Linear,XGBoost,GradientBoosting,NaiveBayes,LightGBM
SVM_RBF,0.0,0.4028735258781064,0.9474648063690204,0.1385206214779213,0.1176399840829868,0.8242750777706183,1.0014580989698658,1.5442485113322346,1.6882207287551727,1.1353282598272578
RandomForest,-0.4028735258781064,0.0,0.3704569521075163,-0.3394252727518548,-0.31405971360422563,0.1594779934855819,0.8974641879080454,1.7687602749414437,1.148677812766408,0.9889098957185947
KNN,-0.9474648063690204,-0.3704569521075163,0.0,-0.7515353698551496,-0.7350000353340498,-0.1955668732119789,0.4005956424886118,1.0985286206613099,1.000985731463121,0.5803602122854795
ExtraTrees,-0.1385206214779213,0.3394252727518548,0.7515353698551496,0.0,-0.034223251585393244,0.5939672099701296,1.050256671117714,1.8670754719997946,1.603113335681381,1.1342816963315956
LogisticRegression,-0.1176399840829868,0.31405971360422563,0.7350000353340498,0.034223251585393244,0.0,1.5005231537950516,1.0180279413510052,1.7689466880072662,1.9856037475452908,1.1393537891532415
SVM_Linear,-0.8242750777706183,-0.1594779934855819,0.1955668732119789,-0.5939672099701296,-1.5005231537950516,0.0,0.5845654834390781,1.3683282480957812,1.4371972269690967,0.7802796799344058
XGBoost,-1.0014580989698658,-0.8974641879080454,-0.4005956424886118,-1.050256671117714,-1.0180279413510052,-0.5845654834390781,0.0,0.8149372388365078,0.5563473532807535,0.441507549907574
GradientBoosting,-1.5442485113322346,-1.7687602749414437,-1.0985286206613099,-1.8670754719997946,-1.7689466880072662,-1.3683282480957812,-0.8149372388365078,0.0,0.012459541316174423,-0.31969575525297744
NaiveBayes,-1.6882207287551727,-1.148677812766408,-1.000985731463121,-1.603113335681381,-1.9856037475452908,-1.4371972269690967,-0.5563473532807535,-0.012459541316174423,0.0,-0.2757508797367991
LightGBM,-1.1353282598272578,-0.9889098957185947,-0.5803602122854795,-1.1342816963315956,-1.1393537891532415,-0.7802796799344058,-0.441507549907574,0.31969575525297744,0.2757508797367991,0.0
