Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_PR_AUC,Std_PR_AUC,Min_PR_AUC,Max_PR_AUC,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Min_Balanced_Accuracy,Max_Balanced_Accuracy,Mean_Precision,Std_Precision,Min_Precision,Max_Precision,Mean_Recall,Std_Recall,Min_Recall,Max_Recall,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Specificity,Std_Specificity,Min_Specificity,Max_Specificity,Mean_n_feats,Std_n_feats,Min_n_feats,Max_n_feats
LogisticRegression,0.7158660130718955,0.12287359522918362,0.5875,0.8888888888888888,0.7804572595542549,0.04569370873722385,0.7205467935095072,0.8278169825683483,0.6706915566203664,0.06155501824216338,0.6153846153846154,0.75,0.6800186741363211,0.1084542016613698,0.5751633986928104,0.8333333333333333,0.7078431372549019,0.18162409689269665,0.5,1.0,0.723529411764706,0.17842059868356588,0.5,1.0,0.6821288515406162,0.01634088298843001,0.6666666666666666,0.7058823529411765,0.6365079365079365,0.21954165589866803,0.4444444444444444,1.0,8.0,6.928203230275509,4.0,20.0
SVM_Linear,0.7150778089013383,0.13735305896130512,0.575,0.9259259259259259,0.7904221139318163,0.06051128228121991,0.702141881166649,0.8666666666666667,0.606606580911364,0.06327542769002996,0.5,0.6551724137931034,0.6263071895424837,0.025910416719186886,0.6029411764705883,0.6666666666666666,0.6171261487050961,0.162582844280831,0.3333333333333333,0.7222222222222222,0.7470588235294118,0.1784205986835659,0.5,1.0,0.6439962651727358,0.10031317320451824,0.5,0.7428571428571429,0.5055555555555556,0.1526514629337121,0.3333333333333333,0.75,8.0,6.928203230275509,4.0,20.0
NaiveBayes,0.6935037348272644,0.1389000800715318,0.5359477124183007,0.888888888888889,0.7876829436297011,0.05612207921026955,0.694347998614684,0.8333333333333333,0.6488553283325251,0.08643725092289557,0.5384615384615384,0.75,0.6393323996265172,0.1554930775462105,0.43790849673202614,0.8333333333333333,0.6782212885154062,0.1888183616457252,0.5,1.0,0.7588235294117647,0.19553847221876072,0.5,1.0,0.6792620000503411,0.032129926135749505,0.6470588235294118,0.7317073170731707,0.5198412698412699,0.35165537339516384,0.1111111111111111,1.0,8.0,6.928203230275509,4.0,20.0
RandomForest,0.6861889200124495,0.08804654115544992,0.5947712418300654,0.8148148148148149,0.752768689849179,0.05943820693986541,0.6666666666666667,0.8342731783416542,0.6391441582765276,0.036564344537987,0.6111111111111112,0.6896551724137931,0.6398716153127918,0.05214746585739193,0.5751633986928104,0.7107843137254902,0.6772549019607843,0.1717763448469584,0.4,0.8333333333333334,0.6015686274509804,0.12041195468564889,0.4,0.7058823529411765,0.6151859364435429,0.09321351376408223,0.5,0.7058823529411765,0.6781746031746032,0.17956294396127875,0.4444444444444444,0.875,8.0,6.928203230275509,4.0,20.0
ExtraTrees,0.6849291938997821,0.10246107033646187,0.5874999999999999,0.8518518518518519,0.7675984157511875,0.05314372993893676,0.7,0.8223378645205272,0.6439039578639133,0.08795849105945715,0.5555555555555556,0.75,0.6397432306255836,0.0873286325239727,0.5457516339869282,0.7401960784313726,0.6733974358974358,0.12267939607329055,0.5,0.8461538461538461,0.5898039215686274,0.11010463025685369,0.4,0.6666666666666666,0.6192857142857143,0.0891681766036564,0.5,0.7333333333333333,0.6896825396825397,0.15359757375571803,0.4444444444444444,0.8333333333333334,8.0,6.928203230275509,4.0,20.0
KNN,0.6717425303454716,0.045323508114154636,0.6187500000000001,0.7254901960784313,0.7063482169752863,0.15233782334743295,0.4444444444444444,0.8243828339416575,0.6262471121759219,0.03155137912846049,0.5833333333333334,0.6666666666666666,0.6347222222222222,0.030751963908129967,0.6111111111111112,0.6875,0.6546794871794872,0.19326253337037091,0.3333333333333333,0.8333333333333334,0.6333333333333333,0.0979411274018994,0.5,0.7647058823529411,0.6210960960960961,0.10251102202086315,0.4444444444444444,0.7027027027027027,0.6361111111111111,0.1464602925162674,0.5,0.875,8.0,6.928203230275509,4.0,20.0
SVM_RBF,0.6692016806722688,0.16844290735925488,0.4444444444444444,0.888888888888889,0.7698745510293723,0.0618413016334174,0.6673219768713976,0.8333333333333333,0.6121621364669196,0.0436560286974966,0.5555555555555556,0.6551724137931034,0.6027427637721756,0.08271172722059814,0.5,0.7222222222222222,0.5914208598419124,0.12372916449702615,0.375,0.6842105263157895,0.8058823529411765,0.2075562207573806,0.5,1.0,0.6596281047933434,0.10673360321766112,0.5454545454545454,0.7906976744186046,0.3996031746031746,0.2363344282053557,0.0,0.625,8.0,6.928203230275509,4.0,20.0
GradientBoosting,0.6661367880485527,0.10725839306785101,0.5375,0.7777777777777778,0.7265868208010674,0.0656472408939931,0.6333333333333333,0.8087611333741365,0.6203407394731087,0.0572016438363287,0.5555555555555556,0.6896551724137931,0.6322712418300653,0.10486135776837247,0.5196078431372549,0.7777777777777778,0.6275062656641603,0.1286091483213901,0.42857142857142855,0.7857142857142857,0.711764705882353,0.18178278988661697,0.5,1.0,0.6435227854582692,0.06388400407777053,0.5555555555555556,0.7096774193548387,0.5527777777777777,0.1541604102834623,0.3333333333333333,0.75,8.0,6.928203230275509,4.0,20.0
LightGBM,0.6599828820417055,0.09876041890285339,0.5490196078431372,0.7843137254901961,0.7162063531710364,0.08719004439207864,0.625,0.8539464266878891,0.6206853769145204,0.05814083384812118,0.5483870967741935,0.6896551724137931,0.6439892623716152,0.08696201738621523,0.5490196078431372,0.7222222222222222,0.6651754385964913,0.19063454084323636,0.375,0.8333333333333334,0.6764705882352942,0.20797258270192573,0.5,1.0,0.6289663880181122,0.07711601646703546,0.5454545454545454,0.7222222222222222,0.6115079365079366,0.2374511791595337,0.3333333333333333,0.875,8.0,6.928203230275509,4.0,20.0
XGBoost,0.6513103018985371,0.08080906177482865,0.5378151260504201,0.7352941176470589,0.7207322173893699,0.09996317551132484,0.6111111111111112,0.817205343675932,0.6048734111025545,0.09957295240051708,0.5,0.7307692307692307,0.6137885154061624,0.07545495803340936,0.5378151260504201,0.6985294117647058,0.6356307435254803,0.2129939601664564,0.2857142857142857,0.7857142857142857,0.6168627450980392,0.1919747035751438,0.3,0.8235294117647058,0.5898719918074756,0.17394500959984613,0.4,0.8,0.6107142857142858,0.19564739649199075,0.42857142857142855,0.875,8.0,6.928203230275509,4.0,20.0
