Feature_Name,Selection_Count,Selection_Frequency
IH_IntensityHistogramMode_Intensity,5,1.0
IH_MinimumHistogramGradientGreyLevel_Intensity,5,1.0
GLCM_InverseVariance,3,0.6
GLSZM_LargeZoneEmphasis,2,0.4
Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,2,0.4
Morph_Compactness1,2,0.4
Morph_Asphericity,1,0.2
NGTDM_Coarseness,1,0.2
Morph_SphericalDisproportion,1,0.2
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,1,0.2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,1,0.2
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1,0.2
Morph_Compacity,1,0.2
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,1,0.2
GLCM_JointMaximum,1,0.2
IH_IntensityHistogram10thPercentile,1,0.2
IB_MinimumIntensity,1,0.2
IB_25thIntensityPercentile,1,0.2
GLSZM_ZoneSizeNonUniformity,1,0.2
GLSZM_SmallZoneEmphasis,1,0.2
GLSZM_NormalisedZoneSizeNonUniformity,1,0.2
GLSZM_LowGrayLevelZoneEmphasis,1,0.2
GLSZM_LargeZoneLowGreyLevelEmphasis,1,0.2
GLRLM_LowGreyLevelRunEmphasis,1,0.2
NGTDM_Contrast,1,0.2
