Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
XGBoost,0.6535107376283846,0.06530224518389323,0.671875,0.7051404553578466,0.11435130755882952,0.7126041010751661,0.6261468107964214,0.02968425132429442,0.6206896551724138,0.6258636788048553,0.02360388393119841,0.6201923076923077,0.6421212121212121,0.1290359646267787,0.6666666666666666,0.6215686274509804,0.1159352588164273,0.625,0.614229423826947,0.08152559373926248,0.6451612903225806,0.6301587301587301,0.12349879607876756,0.6153846153846154,12.0,12.0,6.572670690061994,4,16.0,18
NaiveBayes,0.6493565203859322,0.10962176435066584,0.6783353365384615,0.689919979380628,0.20703827554505136,0.7149789812790723,0.5872579219075326,0.0899998933421075,0.603448275862069,0.5384967320261438,0.08867558991097389,0.5793269230769231,0.5463157894736842,0.19144394703640813,0.6046511627906976,0.7325490196078432,0.21475592576435115,0.8125,0.6221870270650759,0.20324103536646285,0.6933333333333334,0.34444444444444444,0.1699673171197595,0.34615384615384615,12.0,12.0,6.572670690061994,4,16.0,18
KNN,0.6470720510426393,0.13100726138092925,0.6939603365384616,0.6756696863027539,0.21403624215099726,0.7256541778461275,0.6408007948052442,0.12734543392353023,0.6637931034482759,0.6580532212885155,0.09382122856771966,0.6592548076923077,0.6934937611408201,0.24875802403720546,0.6923076923076923,0.6803921568627451,0.18179336449410602,0.703125,0.6411497636748712,0.16444042687318788,0.6976744186046512,0.6357142857142857,0.23709312922865913,0.6153846153846154,12.0,12.0,6.572670690061994,4,16.0,18
LightGBM,0.645041627762216,0.07605452136435509,0.6356670673076923,0.7160185408175624,0.09761690374921954,0.6678063878275824,0.5801108544156375,0.052422229903473984,0.5948275862068966,0.5569444444444445,0.08284313725490199,0.5913461538461539,0.5849521531100479,0.20522833489647782,0.6349206349206349,0.5666666666666667,0.15419296667715687,0.625,0.5635564135564135,0.16411194835135023,0.6299212598425197,0.5472222222222223,0.19790570145063197,0.5576923076923077,12.0,12.0,6.572670690061994,4,16.0,18
RandomForest,0.6443183940242763,0.07566500970749528,0.6661658653846155,0.7345365890593962,0.1043505765215473,0.7411476556753573,0.6126132549936776,0.061072436337950155,0.6293103448275862,0.6262605042016807,0.038545979999349514,0.6298076923076923,0.6468421052631579,0.18463869221202583,0.6779661016949152,0.6215686274509804,0.1159352588164273,0.625,0.6060645672410379,0.11928621196288239,0.6504065040650406,0.630952380952381,0.1408143181982024,0.6346153846153846,12.0,12.0,6.572670690061994,4,16.0,18
ExtraTrees,0.6400350140056024,0.09207383481863768,0.6751802884615384,0.7439204940614798,0.11259508028959708,0.7663906472491181,0.5771369898177462,0.12774295714061382,0.603448275862069,0.5773015873015873,0.1360140573893693,0.6027644230769231,0.6564145658263306,0.28938627913523196,0.65,0.5466666666666667,0.15456354196388417,0.609375,0.563122949086438,0.18742067961164344,0.6290322580645161,0.607936507936508,0.26031746031746034,0.5961538461538461,12.0,12.0,6.572670690061994,4,16.0,18
GradientBoosting,0.625547385620915,0.061176695348310696,0.6287560096153846,0.70800742588998,0.08926675891618387,0.678505231700421,0.5430140802220891,0.15349829282659824,0.5862068965517241,0.5564075630252101,0.10698874061703101,0.5763221153846154,0.5856882591093118,0.19891271269590044,0.6142857142857143,0.6568627450980392,0.10263727316315606,0.671875,0.5909678909678909,0.15293250919814713,0.6417910447761194,0.45595238095238094,0.2457320242971602,0.4807692307692308,12.0,12.0,6.572670690061994,4,16.0,18
LogisticRegression,0.6196234049175225,0.11300747537662512,0.6553485576923076,0.7085485394820992,0.18346800732859778,0.7401219189958826,0.5957873420609794,0.06158327598061542,0.603448275862069,0.573937908496732,0.08247021942841691,0.5991586538461539,0.6020802005012531,0.2125328001556829,0.640625,0.5784313725490196,0.16614682481815574,0.640625,0.5761140172430494,0.1709579045657316,0.640625,0.5694444444444444,0.17568209223157663,0.5576923076923077,12.0,12.0,6.572670690061994,4,16.0,18
SVM_Linear,0.6134897292250233,0.1013840874724602,0.6515925480769231,0.6819439090344172,0.16470629231722222,0.7411767932254762,0.5346762309498683,0.14552956412233461,0.5689655172413793,0.5651260504201681,0.049347145033485466,0.5498798076923077,0.576921470342523,0.16777246577823576,0.5875,0.7588235294117647,0.17489492643904123,0.734375,0.6141472523968937,0.12019908490396625,0.6527777777777778,0.37142857142857144,0.2387372297162881,0.36538461538461536,12.0,12.0,6.572670690061994,4,16.0,18
SVM_RBF,0.582282913165266,0.14411618010025357,0.5776742788461539,0.6747918876295341,0.18808361606773485,0.7026263931983955,0.5036712206345132,0.15342170558483614,0.5344827586206896,0.5476423902894492,0.0636053460214578,0.5222355769230769,0.5361111111111111,0.16564501684306193,0.5694444444444444,0.7294117647058823,0.3521559893434298,0.640625,0.5357057833052699,0.2492798429084029,0.6029411764705882,0.3658730158730159,0.3484696413676527,0.40384615384615385,12.0,12.0,6.572670690061994,4,16.0,18
