Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",LogisticRegression,0.5098039215686275,0.5769230769230769,0.5196078431372549,0.6571505604370055,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.3333333333333333,0.7689473684210526
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",SVM_RBF,0.6601307189542484,0.6153846153846154,0.5490196078431372,0.8194775164490826,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.3333333333333333,0.7592307692307692
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",SVM_Linear,0.5620915032679739,0.6153846153846154,0.5490196078431372,0.7002863078115071,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.3333333333333333,0.756025641025641
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",RandomForest,0.6601307189542484,0.6923076923076923,0.6601307189542484,0.7322925683151508,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.5555555555555556,0.647051282051282
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",GradientBoosting,0.5947712418300654,0.6538461538461539,0.6045751633986928,0.7648240648240648,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.4444444444444444,0.6543356643356644
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",ExtraTrees,0.673202614379085,0.6538461538461539,0.630718954248366,0.829267630635917,0.75,0.7058823529411765,0.7272727272727273,0.5555555555555556,0.6502564102564103
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",KNN,0.5751633986928104,0.5769230769230769,0.5718954248366013,0.7531542731794726,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.5555555555555556,0.6823076923076924
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",NaiveBayes,0.5686274509803921,0.6153846153846154,0.49673202614379086,0.7130437848596417,0.6521739130434783,0.8823529411764706,0.75,0.1111111111111111,0.7102797202797203
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",XGBoost,0.6928104575163399,0.7307692307692307,0.6895424836601307,0.777785481199368,0.7777777777777778,0.8235294117647058,0.8,0.5555555555555556,0.6962937062937062
1,90,26,10,10,auto,auto,rfe_only,"['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",LightGBM,0.607843137254902,0.7692307692307693,0.7189542483660131,0.7187064485525604,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.5555555555555556,0.7057894736842105
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",LogisticRegression,0.5875,0.7222222222222222,0.75,0.7735304972804972,1.0,0.5,0.6666666666666666,1.0,0.6346165413533834
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",SVM_RBF,0.44999999999999996,0.5,0.5,0.6293300653594771,0.5555555555555556,0.5,0.5263157894736842,0.5,0.6363516483516484
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",SVM_Linear,0.41250000000000003,0.5,0.5,0.5943300653594771,0.5555555555555556,0.5,0.5263157894736842,0.5,0.6162051282051282
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",RandomForest,0.5375,0.6666666666666666,0.6875,0.7584967320261438,0.8333333333333334,0.5,0.625,0.875,0.5557655677655677
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",GradientBoosting,0.5062500000000001,0.4444444444444444,0.4375,0.7292063492063492,0.5,0.5,0.5,0.375,0.6107106227106227
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",ExtraTrees,0.6125,0.6666666666666666,0.7,0.7734722222222221,1.0,0.4,0.5714285714285714,1.0,0.5411135531135531
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",KNN,0.5875,0.6111111111111112,0.625,0.7547474747474746,0.7142857142857143,0.5,0.5882352941176471,0.75,0.6510036630036631
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",NaiveBayes,0.5249999999999999,0.5,0.475,0.6689792070674423,0.5384615384615384,0.7,0.6086956521739131,0.25,0.5118095238095237
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",XGBoost,0.5625,0.6111111111111112,0.6125,0.7312997623291739,0.6666666666666666,0.6,0.631578947368421,0.625,0.5594285714285714
2,98,18,12,12,auto,auto,rfe_only,"['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",LightGBM,0.50625,0.5,0.5125,0.7209967320261438,0.5714285714285714,0.4,0.47058823529411764,0.625,0.563091575091575
3,85,31,4,4,auto,auto,rfe_only,"['Post_D1_P15', 'Post_D1_P18', 'Post_D1_P27', 'Post_D1_P41', 'Post_D1_P43', 'Post_D1_P46', 'Post_D1_P50', 'Post_D1_P6', 'Post_D1_P9']",LogisticRegression,0.6974789915966386,0.6129032258064516,0.5966386554621849,0.7850060806808212,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.42857142857142855,0.6864761904761905
3,85,31,4,4,auto,auto,rfe_only,"['Post_D1_P15', 'Post_D1_P18', 'Post_D1_P27', 'Post_D1_P41', 'Post_D1_P43', 'Post_D1_P46', 'Post_D1_P50', 'Post_D1_P6', 'Post_D1_P9']",SVM_RBF,0.6722689075630252,0.5806451612903226,0.5357142857142857,0.7783361845299301,0.5666666666666667,1.0,0.723404255319149,0.07142857142857142,0.463948717948718
3,85,31,4,4,auto,auto,rfe_only,"['Post_D1_P15', 'Post_D1_P18', 'Post_D1_P27', 'Post_D1_P41', 'Post_D1_P43', 'Post_D1_P46', 'Post_D1_P50', 'Post_D1_P6', 'Post_D1_P9']",SVM_Linear,0.6638655462184874,0.5806451612903226,0.5357142857142857,0.7770879773993702,0.5666666666666667,1.0,0.723404255319149,0.07142857142857142,0.6626666666666666
3,85,31,4,4,auto,auto,rfe_only,"['Post_D1_P15', 'Post_D1_P18', 'Post_D1_P27', 'Post_D1_P41', 'Post_D1_P43', 'Post_D1_P46', 'Post_D1_P50', 'Post_D1_P6', 'Post_D1_P9']",RandomForest,0.542016806722689,0.5483870967741935,0.51890756302521,0.6349370671443055,0.56,0.8235294117647058,0.6666666666666666,0.21428571428571427,0.6498461538461539
3,85,31,4,4,auto,auto,rfe_only,"['Post_D1_P15', 'Post_D1_P18', 'Post_D1_P27', 'Post_D1_P41', 'Post_D1_P43', 'Post_D1_P46', 'Post_D1_P50', 'Post_D1_P6', 'Post_D1_P9']",GradientBoosting,0.6176470588235294,0.5483870967741935,0.51890756302521,0.6920009774525943,0.56,0.8235294117647058,0.6666666666666666,0.21428571428571427,0.7075384615384616
