Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
LogisticRegression,0.5937766554433221,0.07981405629050772,0.6304733727810652,0.6453982196486019,0.09603377517775694,0.6593120040833078,0.6314594246852312,0.11514528174544805,0.6068376068376068,0.6134469696969698,0.10809872821797034,0.5923076923076923,0.6685035842293907,0.0813751805134531,0.6266666666666667,0.7046717171717172,0.2030672047976235,0.7230769230769231,0.6622323042692254,0.09900961821797921,0.6714285714285714,0.5222222222222223,0.3095197394929804,0.46153846153846156,10.4,10.4,3.4409301068170506,4,12.0,14
NaiveBayes,0.5644009539842874,0.07406936910073833,0.579585798816568,0.6167808134773429,0.13216382327927553,0.6276742489736538,0.562042091719511,0.08792137639198096,0.5641025641025641,0.519621212121212,0.07076114454694837,0.5365384615384615,0.5442424242424242,0.1085779184317997,0.5795454545454546,0.7214646464646465,0.21195219336495935,0.7846153846153846,0.6138695095216834,0.13566625108306044,0.6666666666666666,0.3177777777777778,0.197215179842967,0.28846153846153844,10.4,10.4,3.4409301068170506,4,12.0,14
SVM_Linear,0.5614281705948374,0.1070832648039186,0.5142011834319526,0.6065384897797729,0.10901936007855409,0.5751714068829779,0.4918196856906535,0.131713849001908,0.5128205128205128,0.5012121212121212,0.0617917399257269,0.4980769230769231,0.5093956043956045,0.1552959941259628,0.5540540540540541,0.6757575757575758,0.2842661075938145,0.6307692307692307,0.5467560714363784,0.1869625169729647,0.5899280575539568,0.32666666666666666,0.21123972690339812,0.36538461538461536,10.4,10.4,3.4409301068170506,4,12.0,14
LightGBM,0.5581158810325476,0.11813131416429161,0.535207100591716,0.6889092656738064,0.0774610181805968,0.6241160123999421,0.5356033452807647,0.05615290004603538,0.5384615384615384,0.5278156565656565,0.08728813609061228,0.5326923076923077,0.5655555555555556,0.1587917340884431,0.5846153846153846,0.564520202020202,0.08380871447758563,0.5846153846153846,0.5532026143790849,0.09354820472280913,0.5846153846153846,0.49111111111111116,0.22092957371798344,0.4807692307692308,10.4,10.4,3.4409301068170506,4,12.0,14
KNN,0.5517536475869809,0.09067338782330235,0.5366863905325444,0.5833273939929826,0.12287858991287716,0.5552965063802477,0.5570793125631834,0.09072731205664122,0.5726495726495726,0.5638510101010101,0.10896155642469499,0.5538461538461539,0.5760955710955711,0.1245650677989492,0.5949367088607594,0.7521464646464646,0.20136715787887838,0.7230769230769231,0.6263939763939763,0.09359475020686671,0.6527777777777778,0.37555555555555553,0.17587874611030557,0.38461538461538464,10.4,10.4,3.4409301068170506,4,12.0,14
GradientBoosting,0.5293111672278339,0.09098352373497878,0.4931952662721894,0.6176003826862294,0.07845421669361151,0.5700617093098459,0.4594862604540023,0.09684725378944568,0.452991452991453,0.4508712121212121,0.10551094944608831,0.4403846153846154,0.49967948717948724,0.1536604113784145,0.5070422535211268,0.5395202020202021,0.058093981817358434,0.5538461538461539,0.5084887798036466,0.08817149360636575,0.5294117647058824,0.3622222222222222,0.21949436844205772,0.3269230769230769,10.4,10.4,3.4409301068170506,4,12.0,14
SVM_RBF,0.5248611111111112,0.10979814532153713,0.6118343195266274,0.5811177477985695,0.17463323322083313,0.6455995148880305,0.6178127010385076,0.07107121813824209,0.6068376068376068,0.559469696969697,0.0542612075523225,0.5903846153846154,0.5138318670576735,0.26764766468257023,0.6233766233766234,0.6189393939393939,0.3389980104012628,0.7384615384615385,0.5503699349453062,0.2805292537106389,0.676056338028169,0.5,0.3181738014061412,0.4423076923076923,10.4,10.4,3.4409301068170506,4,12.0,14
RandomForest,0.502375140291807,0.12707655087940428,0.4742603550295858,0.6400098883277644,0.1097556871209657,0.6055158899488233,0.4705532579726128,0.06699784086377676,0.4700854700854701,0.47108585858585855,0.07667823362989498,0.4634615384615385,0.5092032967032967,0.15936647195242323,0.5230769230769231,0.5088383838383839,0.07629334955424025,0.5230769230769231,0.4957673544048756,0.09989876587310806,0.5230769230769231,0.4333333333333334,0.16836175044334054,0.40384615384615385,10.4,10.4,3.4409301068170506,4,12.0,14
XGBoost,0.4941470258136926,0.12829220478432107,0.5041420118343196,0.6372446899163295,0.117606030561003,0.6034692367056316,0.49181968569065343,0.10123214066155613,0.48717948717948717,0.4820580808080808,0.1094178864496787,0.47307692307692306,0.5195238095238095,0.1530669084356573,0.5342465753424658,0.5685606060606061,0.1552586780718577,0.6,0.5278468899521531,0.12022711503855828,0.5652173913043478,0.39555555555555555,0.25274786147756323,0.34615384615384615,10.4,10.4,3.4409301068170506,4,12.0,14
ExtraTrees,0.4694767115600449,0.12244708915652579,0.4600591715976332,0.5976630758513772,0.08856355506819233,0.5379295692905179,0.44160463192721255,0.0746483667048588,0.42735042735042733,0.423510101010101,0.09004606308832362,0.41923076923076924,0.47251461988304094,0.07453789332362276,0.48484848484848486,0.4936868686868687,0.0663701990051873,0.49230769230769234,0.47623949579831926,0.0493002550422953,0.48854961832061067,0.3533333333333334,0.18086213288334052,0.34615384615384615,10.4,10.4,3.4409301068170506,4,12.0,14
