Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
NaiveBayes,0.661597923681257,0.09865548571032985,0.5816568047337279,0.6884644947509841,0.05589174458347472,0.6377406951700046,0.5659240878595717,0.0894137334182898,0.5811965811965812,0.5838257575757575,0.07174415749935541,0.5653846153846154,0.5953603259485613,0.12447684803108143,0.6052631578947368,0.7720959595959596,0.20960736855890433,0.7076923076923077,0.6355188955188955,0.09792231767039325,0.6524822695035462,0.3955555555555555,0.2215099696778153,0.4230769230769231,8.0,8.0,3.5777087639996634,4,6.0,14
LogisticRegression,0.6565993265993266,0.12263926550818774,0.6346153846153847,0.6942986814060236,0.10587353914353348,0.6686839766051145,0.5964837790644243,0.07689971117766478,0.5897435897435898,0.5975883838383839,0.09762368247124782,0.5865384615384616,0.6246975246975247,0.12246416632537484,0.6349206349206349,0.6440656565656566,0.08123545445998485,0.6153846153846154,0.6212247714335002,0.061804610758559676,0.625,0.5511111111111111,0.18075288362366893,0.5576923076923077,8.0,8.0,3.5777087639996634,4,6.0,14
SVM_Linear,0.6478773849607183,0.15921918031628535,0.6204142011834319,0.7018621382322598,0.10076460806456589,0.6603379604321216,0.61488282326992,0.08784926018844337,0.6239316239316239,0.6184217171717171,0.0928443047087177,0.6153846153846154,0.6348989898989899,0.14012274707022218,0.6521739130434783,0.7079545454545455,0.10778096092163068,0.6923076923076923,0.6517290552584669,0.0942245652087349,0.6716417910447762,0.528888888888889,0.18560544904729867,0.5384615384615384,8.0,8.0,3.5777087639996634,4,6.0,14
ExtraTrees,0.6419921436588103,0.14041529684236628,0.6125739644970414,0.7306365008826768,0.07068908082141726,0.6595107095828743,0.5906276996599578,0.04876863367024442,0.5897435897435898,0.5898863636363636,0.07606392604126976,0.5846153846153845,0.6159559738507107,0.11221748049148669,0.6307692307692307,0.6508838383838385,0.06501237981830715,0.6307692307692307,0.6201424382069544,0.03785324925119437,0.6307692307692307,0.528888888888889,0.17178798302300166,0.5384615384615384,8.0,8.0,3.5777087639996634,4,6.0,14
SVM_RBF,0.6409834455667788,0.15615874476100544,0.6005917159763313,0.6886812900254743,0.0936948664845036,0.6378672353963815,0.5979726128113225,0.1254758189902702,0.6153846153846154,0.6205050505050506,0.11990665369973942,0.6038461538461539,0.6305075041917149,0.15280883502710715,0.6388888888888888,0.7565656565656566,0.1623943543786161,0.7076923076923077,0.6588005290092578,0.09542874927519317,0.6715328467153284,0.4844444444444445,0.22328634110365278,0.5,8.0,8.0,3.5777087639996634,4,6.0,14
RandomForest,0.6332673961840628,0.10220508960576864,0.5965976331360946,0.7395771742435255,0.08552348678505754,0.6538067512703252,0.5723398584688907,0.07828476717322919,0.5641025641025641,0.5740656565656566,0.10300174607956529,0.5634615384615385,0.6249299719887954,0.14386462996121743,0.6166666666666667,0.5881313131313132,0.0958004728000621,0.5692307692307692,0.5852912425967454,0.04433088772362191,0.592,0.5599999999999999,0.21881837555717634,0.5576923076923077,8.0,8.0,3.5777087639996634,4,6.0,14
KNN,0.6276809764309764,0.10712860777746262,0.6281065088757397,0.6743952349911306,0.13197568868383636,0.6792286569360875,0.5971546732837055,0.07558512691506243,0.5982905982905983,0.6089141414141414,0.10100964646362373,0.5865384615384616,0.6274883286647992,0.14750025901183722,0.625,0.7356060606060606,0.1392456391622792,0.6923076923076923,0.6506821106821107,0.05757553974257331,0.656934306569343,0.4822222222222223,0.24176307144816261,0.4807692307692308,8.0,8.0,3.5777087639996634,4,6.0,14
LightGBM,0.6213264590347924,0.11343661652541745,0.5755917159763315,0.7030501474246437,0.09048144079403467,0.614747509107537,0.5258882455656648,0.04804785736271816,0.5299145299145299,0.5230303030303031,0.06855963408727474,0.5230769230769231,0.5502380952380952,0.11632213461877138,0.5757575757575758,0.594949494949495,0.14890512911168566,0.5846153846153846,0.5539402560455191,0.09237991178095685,0.5801526717557252,0.45111111111111113,0.1829254722422816,0.46153846153846156,8.0,8.0,3.5777087639996634,4,6.0,14
XGBoost,0.6000631313131313,0.07433498061427198,0.580473372781065,0.6802725943227805,0.0708930152329302,0.6270140133467403,0.5279110375884569,0.06730003212476329,0.5299145299145299,0.5310732323232323,0.07708215342539579,0.5269230769230769,0.5574242424242424,0.11979895923424719,0.5806451612903226,0.5799242424242423,0.1134113934706842,0.5538461538461539,0.5534931861307573,0.0779823054603504,0.5669291338582677,0.4822222222222222,0.12284688854298002,0.5,8.0,8.0,3.5777087639996634,4,6.0,14
GradientBoosting,0.5858824354657689,0.06997164291734553,0.5859467455621301,0.6705700071601116,0.07030211166044824,0.612634644852768,0.5674395735686059,0.059766047067150316,0.5641025641025641,0.5733712121212121,0.07881446634401147,0.5653846153846154,0.6034340659340659,0.11496653718951715,0.6206896551724138,0.5756313131313131,0.10219350966180908,0.5538461538461539,0.5746988945718529,0.057614058477991933,0.5853658536585366,0.571111111111111,0.1422222222222222,0.5769230769230769,8.0,8.0,3.5777087639996634,4,6.0,14
