Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",LogisticRegression,0.6851851851851852,0.6296296296296297,0.6388888888888888,0.7889464941297848,0.7857142857142857,0.6111111111111112,0.6875,0.6666666666666666,0.7757142857142857
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",SVM_RBF,0.6666666666666667,0.5925925925925926,0.5555555555555556,0.7793125679503388,0.7058823529411765,0.6666666666666666,0.6857142857142857,0.4444444444444444,0.7202631578947368
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",SVM_Linear,0.6728395061728395,0.6666666666666666,0.6666666666666666,0.7820935355224403,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.7630263157894737
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",RandomForest,0.7037037037037037,0.5555555555555556,0.6111111111111112,0.7790698468692365,0.8,0.4444444444444444,0.5714285714285714,0.7777777777777778,0.6169230769230769
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",GradientBoosting,0.6296296296296297,0.5925925925925926,0.6111111111111112,0.7459746039055727,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.6666666666666666,0.6092307692307692
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",ExtraTrees,0.6851851851851852,0.5925925925925926,0.6111111111111112,0.7540979605493111,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.6666666666666666,0.6248684210526316
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",KNN,0.5617283950617284,0.5185185185185185,0.5277777777777778,0.7204733908532087,0.6923076923076923,0.5,0.5806451612903226,0.5555555555555556,0.6807894736842104
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",NaiveBayes,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.8060637664804332,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.59
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",XGBoost,0.5987654320987654,0.5925925925925926,0.5833333333333334,0.7573620515287183,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.5555555555555556,0.6515384615384615
1,90,27,10,10,auto,auto,rfe_only,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",LightGBM,0.5308641975308642,0.5185185185185185,0.4444444444444444,0.7102873948240082,0.631578947368421,0.6666666666666666,0.6486486486486487,0.2222222222222222,0.6592307692307693
