,NaiveBayes,LightGBM,LogisticRegression,XGBoost,RandomForest,ExtraTrees,KNN,SVM_Linear,GradientBoosting,SVM_RBF
NaiveBayes,1.0,0.6009202394347287,0.27823377041979325,0.8905616985895541,0.4296977037532764,0.7953284940050966,0.2862779651196139,0.024734735362375432,0.26563505542506394,0.014897191849995347
LightGBM,0.6009202394347287,1.0,0.6776926656193167,0.296192349593137,0.8418478840490038,0.6498633171003839,0.6730585970667472,0.24243236875678598,0.44405758164911135,0.12989522798787947
LogisticRegression,0.27823377041979325,0.6776926656193167,1.0,0.23815865570074146,0.7473142993181585,0.4091362230574763,0.9219356081786546,0.11321151844272673,0.8748784576243958,0.06724927031621025
XGBoost,0.8905616985895541,0.296192349593137,0.23815865570074146,1.0,0.1718482214544914,0.6270052620933029,0.23067008443345527,0.05621425732466719,0.09708906962781817,0.022363546736084153
RandomForest,0.4296977037532764,0.8418478840490038,0.7473142993181585,0.1718482214544914,1.0,0.3828893883973644,0.7158383046515282,0.21031434052332,0.5336495495144356,0.12509660243623347
ExtraTrees,0.7953284940050966,0.6498633171003839,0.4091362230574763,0.6270052620933029,0.3828893883973644,1.0,0.4364790450486865,0.1247433712785433,0.15596532456172363,0.07286516434642155
KNN,0.2862779651196139,0.6730585970667472,0.9219356081786546,0.23067008443345527,0.7158383046515282,0.4364790450486865,1.0,0.4304334382878644,0.9850991769852641,0.3074894188951358
SVM_Linear,0.024734735362375432,0.24243236875678598,0.11321151844272673,0.05621425732466719,0.21031434052332,0.1247433712785433,0.4304334382878644,1.0,0.44498032771268514,0.6797675379255472
GradientBoosting,0.26563505542506394,0.44405758164911135,0.8748784576243958,0.09708906962781817,0.5336495495144356,0.15596532456172363,0.9850991769852641,0.44498032771268514,1.0,0.337584148045293
SVM_RBF,0.014897191849995347,0.12989522798787947,0.06724927031621025,0.022363546736084153,0.12509660243623347,0.07286516434642155,0.3074894188951358,0.6797675379255472,0.337584148045293,1.0
