Feature_Name,Selection_Count,Selection_Frequency
IH_IntensityHistogramMode_Intensity,4,0.8
Morph_SphericalDisproportion,4,0.8
Morph_Asphericity,4,0.8
IH_IntensityHistogramMinimumGreyLevel_Intensity,3,0.6
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,3,0.6
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,3,0.6
IB_MaximumIntensity,3,0.6
IH_MinimumHistogramGradientGreyLevel_Intensity,3,0.6
Morph_IntegratedIntensity_Intensity,3,0.6
GLSZM_LargeZoneLowGreyLevelEmphasis,2,0.4
GLSZM_SmallZoneEmphasis,2,0.4
IB_TotalLesionGlycolysis,2,0.4
IB_IntensityBasedEnergy,2,0.4
Morph_Sphericity,2,0.4
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,2,0.4
IB_MinimumIntensity,2,0.4
Morph_Compacity,1,0.2
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,1,0.2
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2
Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,1,0.2
Morph_SurfaceArea_cm2,1,0.2
NGTDM_Coarseness,1,0.2
IH_RootMeanSquare_Intensity,1,0.2
GLCM_AngularSecondMoment,1,0.2
IH_MaximumHistogramGradientGreyLevel_Intensity,1,0.2
GLCM_ClusterShade,1,0.2
IH_IntensityHistogramMedian_Intensity,1,0.2
IH_IntensityHistogram50thPercentile,1,0.2
IH_IntensityHistogram10thPercentile,1,0.2
IB_MedianIntensity,1,0.2
IB_50thIntensityPercentile,1,0.2
IB_25thIntensityPercentile,1,0.2
GLSZM_LargeZoneEmphasis,1,0.2
GLSZM_GreyLevelVariance,1,0.2
GLRLM_RunLengthNonUniformity,1,0.2
GLRLM_LowGreyLevelRunEmphasis,1,0.2
GLRLM_LongRunHighGreyLevelEmphasis,1,0.2
GLCM_NormalisedInverseDifferenceMoment,1,0.2
GLCM_InverseVariance,1,0.2
NGTDM_Complexity,1,0.2
