Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
XGBoost,0.598224852071006,0.5984512734677169,0.49227048392732353,0.6984874993771487,0.6698497100959377,0.6747658524971956,0.5610928048380284,0.7848474589391417,0.5555555555555556,0.5538461538461539,0.5692307692307692,0.5384615384615384,0.6065573770491803,0.5,0.5873015873015873,0.10687022900763354,0.302066601268872,28,24,28,37,16.0,0.0
NaiveBayes,0.5902366863905325,0.5899328897085064,0.4869704489059329,0.692220903835422,0.6651341896472192,0.6701822255317902,0.5514571696244361,0.7822560894628078,0.5726495726495726,0.55,0.7538461538461538,0.34615384615384615,0.5903614457831325,0.5294117647058824,0.6621621621621622,0.10358565737051784,0.38958356728993215,18,34,16,49,16.0,0.0
ExtraTrees,0.5775147928994083,0.5776611507560483,0.47208752649996166,0.6845534742380261,0.6381416105172156,0.6498262679562101,0.5249617204969864,0.7677305369021722,0.5213675213675214,0.5153846153846153,0.5692307692307692,0.46153846153846156,0.5692307692307692,0.46153846153846156,0.5692307692307692,0.03076923076923077,0.2519284442733957,24,28,28,37,16.0,0.0
LightGBM,0.5596153846153847,0.559914337158495,0.4458418124150524,0.6674628849538672,0.6690524633361712,0.6727758980817058,0.5599519087309036,0.7796802201056948,0.5042735042735043,0.5076923076923077,0.47692307692307695,0.5384615384615384,0.5636363636363636,0.45161290322580644,0.5166666666666667,0.015094339622641506,0.2699316213161555,28,24,34,31,16.0,0.0
RandomForest,0.5526627218934912,0.5523323772012094,0.44847529175604667,0.6633480326722605,0.6165389959540448,0.6288971137776602,0.5082747988975411,0.747598715208952,0.5811965811965812,0.5769230769230769,0.6153846153846154,0.5384615384615384,0.625,0.5283018867924528,0.6201550387596899,0.15355086372360838,0.26018820655964076,28,24,25,40,16.0,0.0
LogisticRegression,0.5390532544378699,0.538813199531182,0.4345934715315852,0.6458357685563997,0.6010500094060838,0.608755851476326,0.4863432836196334,0.7274556064626746,0.5213675213675214,0.5346153846153846,0.4153846153846154,0.6538461538461539,0.6,0.4722222222222222,0.4909090909090909,0.06666666666666665,0.2528935971593573,34,18,38,27,16.0,0.0
KNN,0.5329881656804734,0.5322452363012349,0.4174091915104987,0.6294120453451217,0.5845366928917421,0.5940084367561119,0.4717686003738537,0.7247100344837892,0.5384615384615384,0.5230769230769231,0.6615384615384615,0.38461538461538464,0.5733333333333334,0.47619047619047616,0.6142857142857143,0.04705882352941182,0.27884357364923384,20,32,22,43,16.0,0.0
GradientBoosting,0.5318047337278107,0.5317807373888269,0.4292676931308357,0.6456374502656451,0.6168143875181504,0.6294563718499598,0.5063656668901032,0.7481235973594995,0.5555555555555556,0.5480769230769231,0.6153846153846154,0.4807692307692308,0.5970149253731343,0.5,0.6060606060606061,0.09652509652509655,0.2744415700497192,25,27,25,40,16.0,0.0
SVM_Linear,0.48801775147928994,0.4874773391103309,0.3786028974494516,0.5967909356725146,0.5785619352724249,0.5843525969224672,0.46597932412896126,0.7033407264297372,0.5042735042735043,0.47500000000000003,0.7384615384615385,0.21153846153846154,0.5393258426966292,0.39285714285714285,0.6233766233766234,-0.05241935483870952,0.25844872306024413,11,41,17,48,16.0,0.0
SVM_RBF,0.47751479289940824,0.477443471255928,0.3655300987619108,0.5837980185486578,0.551538550022894,0.56347858654024,0.44550806058253223,0.6844412251683966,0.5213675213675214,0.49423076923076925,0.7384615384615385,0.25,0.5517241379310345,0.43333333333333335,0.631578947368421,-0.012048192771084487,0.26707977458523474,13,39,17,48,16.0,0.0
