Feature_Name,Selection_Count,Selection_Frequency,Selected_As_Stable
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,4,0.8,True
IB_IntensityBasedEnergy,4,0.8,True
GLSZM_GreyLevelVariance,4,0.8,True
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,4,0.8,True
Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,4,0.8,True
IH_MinimumHistogramGradientGreyLevel_Intensity,4,0.8,True
IB_IntensitySkewness,3,0.6,True
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,3,0.6,True
GLSZM_SmallZoneLowGreyLevelEmphasis,3,0.6,True
IH_IntensityHistogramSkewness_Intensity,3,0.6,True
Morph_Compacity,3,0.6,True
GLSZM_NormalisedGreyLevelNonUniformity,2,0.4,True
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,2,0.4,True
GLSZM_GreyLevelNonUniformity,2,0.4,True
Morph_SphericalDisproportion,2,0.4,True
GLCM_ClusterShade,2,0.4,True
Morph_Asphericity,2,0.4,True
GLSZM_LargeZoneHighGreyLevelEmphasis,2,0.4,True
GLSZM_NormalisedZoneSizeNonUniformity,2,0.4,True
NGTDM_Coarseness,2,0.4,True
NGTDM_Strength,1,0.2,False
IB_10thIntensityPercentile,1,0.2,False
GLRLM_LongRunLowGreyLevelEmphasis,1,0.2,False
GLCM_Correlation,1,0.2,False
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,False
IB_MaximumIntensity,1,0.2,False
IH_MaximumHistogramGradient_Intensity,1,0.2,False
IB_MinimumIntensity,1,0.2,False
GLSZM_SmallZoneEmphasis,1,0.2,False
GLCM_ClusterProminence,1,0.2,False
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,False
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2,False
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,1,0.2,False
GLSZM_LargeZoneEmphasis,1,0.2,False
GLRLM_ShortRunLowGreyLevelEmphasis,1,0.2,False
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,False
GLSZM_ZoneSizeVariance,1,0.2,False
IH_IntensityHistogramRange_Intensity,1,0.2,False
GLSZM_SmallZoneHighGreyLevelEmphasis,1,0.2,False
IB_IntensityBasedCoefficientOfVariation,1,0.2,False
Morph_Compactness1,1,0.2,False
GLSZM_ZonePercentage,1,0.2,False
GLSZM_LargeZoneLowGreyLevelEmphasis,1,0.2,False
