Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_PR_AUC,Std_PR_AUC,Min_PR_AUC,Max_PR_AUC,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Min_Balanced_Accuracy,Max_Balanced_Accuracy,Mean_Precision,Std_Precision,Min_Precision,Max_Precision,Mean_Recall,Std_Recall,Min_Recall,Max_Recall,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Specificity,Std_Specificity,Min_Specificity,Max_Specificity,Mean_n_feats,Std_n_feats,Min_n_feats,Max_n_feats
SVM_Linear,0.7246422558922558,0.14333527598847323,0.51875,0.9166666666666667,0.7852925836339966,0.07502201113634885,0.6718469344506244,0.8541666666666666,0.5822543883834206,0.07005087219684035,0.5384615384615384,0.7037037037037037,0.5805934343434342,0.06398528480649425,0.49375,0.6666666666666666,0.5846767676767677,0.11976309599935482,0.4,0.7272727272727273,0.7811868686868687,0.2143313194531321,0.45454545454545453,1.0,0.6455460027399921,0.10602463094489739,0.5263157894736842,0.8,0.38,0.16261747890200623,0.26666666666666666,0.6666666666666666,14.0,0.0,14.0,14.0
SVM_RBF,0.7049368686868688,0.1444175283514905,0.51875,0.9166666666666667,0.7616159610466728,0.08491408781448437,0.676056174965012,0.8928571428571428,0.5743883834206415,0.12215946604676715,0.38461538461538464,0.7037037037037037,0.5932954545454546,0.08304573785456174,0.475,0.6944444444444444,0.6025,0.17369553502864976,0.3333333333333333,0.8125,0.7910353535353536,0.18155384649920045,0.5454545454545454,1.0,0.6526159732185557,0.10615682539059748,0.5,0.7647058823529411,0.39555555555555555,0.2598195004989159,0.1111111111111111,0.6666666666666666,14.0,0.0,14.0,14.0
NaiveBayes,0.6503395061728395,0.10693110475655172,0.5555555555555556,0.8333333333333334,0.69437371065174,0.0673637231075892,0.6220238095238095,0.7878478809237772,0.5906644609870415,0.11481493295829702,0.45161290322580644,0.7692307692307693,0.5604292929292929,0.12414639417236983,0.4375,0.7638888888888888,0.5962008469449486,0.06912858953474958,0.4827586206896552,0.6666666666666666,0.771969696969697,0.07874780449371495,0.6666666666666666,0.875,0.6667155067155067,0.027365903523044913,0.6222222222222222,0.6923076923076923,0.3488888888888889,0.2777333297772088,0.0,0.7777777777777778,14.0,0.0,14.0,14.0
LightGBM,0.6420875420875422,0.1822539184926536,0.41414141414141414,0.8611111111111112,0.7623543595424729,0.10653866161397482,0.60933237416491,0.8665631974020132,0.5829225255031707,0.12043761799033885,0.4,0.7307692307692307,0.6084469696969698,0.13774870896675567,0.40404040404040403,0.74375,0.6231990231990231,0.17592716763764965,0.4444444444444444,0.8461538461538461,0.6213383838383838,0.24146567774367314,0.36363636363636365,1.0,0.5940867752936718,0.12909657719677314,0.4,0.7586206896551724,0.5955555555555556,0.16435432966311642,0.4444444444444444,0.8,14.0,0.0,14.0,14.0
XGBoost,0.6242368125701458,0.14077268091200335,0.3838383838383838,0.75,0.6749838774099097,0.1265728388702549,0.5341772262824894,0.8066644588884291,0.5900450326256779,0.11102510725145275,0.4,0.6923076923076923,0.6053914141414142,0.12160821160863249,0.40404040404040403,0.7222222222222222,0.6063492063492063,0.15413487139186627,0.4444444444444444,0.75,0.6685606060606061,0.2349019367323829,0.36363636363636365,1.0,0.6142533936651584,0.13502959203450787,0.4,0.75,0.5422222222222223,0.09762614505106132,0.4444444444444444,0.6666666666666666,14.0,0.0,14.0,14.0
LogisticRegression,0.6170861391694725,0.08833334568829831,0.5,0.7222222222222222,0.6590457317057706,0.12375932833504187,0.5161290322580645,0.7873484826529202,0.5763468431210368,0.0631132561208349,0.4838709677419355,0.65,0.5792045454545454,0.07769604845200706,0.5,0.6717171717171717,0.5192927170868347,0.3244744423072213,0.0,0.8333333333333334,0.5006313131313131,0.3008596233850083,0.0,0.75,0.48948306595365415,0.2778050704529453,0.0,0.6666666666666666,0.6577777777777778,0.27061886094881593,0.4,1.0,14.0,0.0,14.0,14.0
ExtraTrees,0.6060395622895622,0.13759159234682347,0.41875,0.7407407407407407,0.6542399601930037,0.11506473714405845,0.5416666666666666,0.8300527495380438,0.5839169194007903,0.09904780349183033,0.5,0.7037037037037037,0.5894823232323232,0.11628597317996874,0.44375,0.7222222222222222,0.616186299081036,0.1809124194313772,0.375,0.8571428571428571,0.6367424242424242,0.11139197742856244,0.45454545454545453,0.75,0.6090476190476191,0.10880196910316293,0.5,0.75,0.5422222222222223,0.23391461985672474,0.2,0.7777777777777778,14.0,0.0,14.0,14.0
RandomForest,0.5955443322109989,0.12428918832763441,0.4141414141414141,0.7222222222222222,0.6658056941831285,0.08956286419460953,0.5700757575757576,0.7626910731375217,0.5408142633949086,0.07533466787260215,0.46153846153846156,0.6296296296296297,0.5436489898989899,0.07306897381895834,0.44375,0.6166666666666667,0.5769005847953217,0.15636988407294028,0.3333333333333333,0.75,0.6117424242424242,0.12754244058585706,0.45454545454545453,0.75,0.5734841628959277,0.09810692543351864,0.46153846153846156,0.7058823529411765,0.4755555555555556,0.20940833758915103,0.2,0.7333333333333333,14.0,0.0,14.0,14.0
GradientBoosting,0.5695931537598204,0.12280231327956709,0.3737373737373737,0.6944444444444444,0.6369318651542694,0.10299280201882577,0.5099206349206349,0.746155766339057,0.5831348221670802,0.08886152726351555,0.45,0.6666666666666666,0.5828914141414142,0.0746808212323811,0.4595959595959596,0.64375,0.5906862745098038,0.15327938346818204,0.375,0.7647058823529411,0.6546717171717171,0.16470982583581528,0.36363636363636365,0.75,0.6072917588087867,0.13948117463147383,0.42105263157894735,0.7428571428571429,0.5111111111111111,0.08461970117626565,0.4,0.6,14.0,0.0,14.0,14.0
KNN,0.5429110549943884,0.05667710989312108,0.49374999999999997,0.6125,0.6101919020781834,0.16525391647778614,0.33878968253968256,0.7636222097816301,0.5372401433691756,0.045040260555145525,0.46153846153846156,0.5806451612903226,0.5382954545454546,0.04584536670372658,0.4722222222222222,0.5833333333333333,0.5651863354037266,0.17106313444065574,0.2857142857142857,0.75,0.5965909090909091,0.1310518476667136,0.5,0.8125,0.5653463203463203,0.11805629166037566,0.36363636363636365,0.6666666666666666,0.4800000000000001,0.1320306735778929,0.3333333333333333,0.6666666666666666,14.0,0.0,14.0,14.0
