,RandomForest,SVM_RBF,SVM_Linear,ExtraTrees,GradientBoosting,LogisticRegression,XGBoost,NaiveBayes,LightGBM,KNN
RandomForest,1.0,0.9807197671485742,0.7430919127555583,0.3460868223252517,0.8267032654845468,0.848772066936113,0.5572032992369322,0.30508804299594916,0.11788384278580528,0.07713358336204261
SVM_RBF,0.9807197671485742,1.0,0.7782995238030785,0.5558637408275189,0.8658087911240658,0.8852216844021409,0.6385181049023259,0.3447267269104416,0.13372917343458063,0.09890189887428348
SVM_Linear,0.7430919127555583,0.7782995238030785,1.0,0.3584520644094925,0.6794958434060234,0.6852538069537972,0.7960295476938131,0.41183932785063515,0.23492520280617768,0.14371475434768194
ExtraTrees,0.3460868223252517,0.5558637408275189,0.3584520644094925,1.0,0.6443798186775849,0.4107000672393675,0.2968335574443961,0.11270026126959679,0.07188314508630983,0.009978062046921428
GradientBoosting,0.8267032654845468,0.8658087911240658,0.6794958434060234,0.6443798186775849,1.0,0.758614830704544,0.4304221281592383,0.28445404891083104,0.12544636841402548,0.07221319797354421
LogisticRegression,0.848772066936113,0.8852216844021409,0.6852538069537972,0.4107000672393675,0.758614830704544,1.0,0.7228215332055827,0.3762897050980576,0.216134943830536,0.125776390658616
XGBoost,0.5572032992369322,0.6385181049023259,0.7960295476938131,0.2968335574443961,0.4304221281592383,0.7228215332055827,1.0,0.6690574414842667,0.22865803276662788,0.2664577102658542
NaiveBayes,0.30508804299594916,0.3447267269104416,0.41183932785063515,0.11270026126959679,0.28445404891083104,0.3762897050980576,0.6690574414842667,1.0,0.7360183152895251,0.45238055163759205
LightGBM,0.11788384278580528,0.13372917343458063,0.23492520280617768,0.07188314508630983,0.12544636841402548,0.216134943830536,0.22865803276662788,0.7360183152895251,1.0,0.7594884811052194
KNN,0.07713358336204261,0.09890189887428348,0.14371475434768194,0.009978062046921428,0.07221319797354421,0.125776390658616,0.2664577102658542,0.45238055163759205,0.7594884811052194,1.0
