Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features
LogisticRegression,0.7162804515745692,0.7784449726566519,0.6581196581196581,0.6635472370766489,0.6212121212121212,0.7058823529411765,0.7321428571428571,0.5901639344262295,0.6721311475409836,0.31996512641673924,0.21577290125965506,14.0,0.0
ExtraTrees,0.6319073083778968,0.7374832453812885,0.6239316239316239,0.6310160427807487,0.5757575757575758,0.6862745098039216,0.7037037037037037,0.5555555555555556,0.6333333333333333,0.25520833333333337,0.24654201322806452,14.0,0.0
RandomForest,0.6134878193701724,0.7297292175811187,0.6324786324786325,0.6341354723707665,0.6212121212121212,0.6470588235294118,0.6949152542372882,0.5689655172413793,0.656,0.26415094339622636,0.24676066201631555,14.0,0.0
KNN,0.6079916815210933,0.7283002123955038,0.5470085470085471,0.5383244206773619,0.6060606060606061,0.47058823529411764,0.5970149253731343,0.48,0.6015037593984962,0.07682000893255914,0.2641094690314626,14.0,0.0
XGBoost,0.6060606060606062,0.685093257345697,0.5555555555555556,0.5503565062388591,0.5909090909090909,0.5098039215686274,0.609375,0.49056603773584906,0.6,0.10026619343389531,0.3021058212070375,14.0,0.0
SVM_Linear,0.5972964943553181,0.6549565536206406,0.5811965811965812,0.5753119429590018,0.6212121212121212,0.5294117647058824,0.6307692307692307,0.5192307692307693,0.6259541984732825,0.1502890173410404,0.2517529814042954,14.0,0.0
SVM_RBF,0.5889780154486037,0.7027138231571062,0.5299145299145299,0.5120320855614973,0.6515151515151515,0.37254901960784315,0.5733333333333334,0.4523809523809524,0.6099290780141844,0.024556616643929052,0.2488948428536775,14.0,0.0
LightGBM,0.5883838383838383,0.7016804414099036,0.5897435897435898,0.5984848484848484,0.5303030303030303,0.6666666666666666,0.6730769230769231,0.5230769230769231,0.5932203389830508,0.1910112359550561,0.2899892533397768,14.0,0.0
GradientBoosting,0.5816993464052288,0.6758970939644209,0.5213675213675214,0.5044563279857397,0.6363636363636364,0.37254901960784315,0.5675675675675675,0.4418604651162791,0.6,0.00907441016333932,0.25982525738870543,14.0,0.0
NaiveBayes,0.5308972073677957,0.6338498494670077,0.5128205128205128,0.4790552584670232,0.7424242424242424,0.21568627450980393,0.550561797752809,0.39285714285714285,0.632258064516129,-0.04415218412400179,0.45107887860736234,14.0,0.0
