Model,Baseline_ROC_AUC,mRMR_ROC_AUC,Delta_ROC_AUC_mRMR_minus_Baseline,Paired_Bootstrap_Delta_ROC_AUC_CI95_Low,Paired_Bootstrap_Delta_ROC_AUC_CI95_High,Baseline_PR_AUC,mRMR_PR_AUC,Delta_PR_AUC_mRMR_minus_Baseline,Baseline_Sensitivity,mRMR_Sensitivity,Delta_Sensitivity,Baseline_Specificity,mRMR_Specificity,Delta_Specificity,Baseline_PPV,mRMR_PPV,Delta_PPV,Baseline_NPV,mRMR_NPV,Delta_NPV,Baseline_Kappa,mRMR_Kappa,Delta_Kappa,Baseline_Brier,mRMR_Brier,Delta_Brier_mRMR_minus_Baseline,Baseline_Mean_Selected_Features,mRMR_Mean_Selected_Features,Foldwise_Wilcoxon_AUC_Statistic,Foldwise_Wilcoxon_AUC_p_value,Same_OOF_Order_For_Paired_Bootstrap,Foldwise_Wilcoxon_AUC_q_value_FDR
ExtraTrees,0.6289940828402366,0.6289940828402366,0.0,0.0,0.0,0.6249425839954724,0.6249425839954724,0.0,0.6307692307692307,0.6307692307692307,0.0,0.5576923076923077,0.5576923076923077,0.0,0.640625,0.640625,0.0,0.5471698113207547,0.5471698113207547,0.0,0.18809980806142035,0.18809980806142035,0.0,0.24176459435576586,0.24176459435576586,0.0,14.0,14.0,0.0,1.0,True,1.0
GradientBoosting,0.5423076923076924,0.5423076923076924,0.0,0.0,0.0,0.6016885489982049,0.6016885489982049,0.0,0.6615384615384615,0.6615384615384615,0.0,0.5192307692307693,0.5192307692307693,0.0,0.6323529411764706,0.6323529411764706,0.0,0.5510204081632653,0.5510204081632653,0.0,0.18181818181818177,0.18181818181818177,0.0,0.2940216946151397,0.2940216946151397,0.0,14.0,14.0,0.0,1.0,True,1.0
KNN,0.5390532544378699,0.5390532544378699,0.0,0.0,0.0,0.5692936393755306,0.5692936393755306,0.0,0.6153846153846154,0.6153846153846154,0.0,0.46153846153846156,0.46153846153846156,0.0,0.5882352941176471,0.5882352941176471,0.0,0.4897959183673469,0.4897959183673469,0.0,0.07736943907156668,0.07736943907156668,0.0,0.2864271711138669,0.2864271711138669,0.0,14.0,14.0,0.0,1.0,True,1.0
LightGBM,0.5899408284023668,0.5899408284023668,0.0,0.0,0.0,0.6704773546037326,0.6704773546037326,0.0,0.5692307692307692,0.5692307692307692,0.0,0.6153846153846154,0.6153846153846154,0.0,0.6491228070175439,0.6491228070175439,0.0,0.5333333333333333,0.5333333333333333,0.0,0.18181818181818188,0.18181818181818188,0.0,0.2761630370618286,0.2761630370618286,0.0,14.0,14.0,0.0,1.0,True,1.0
LogisticRegression,0.6053254437869823,0.6053254437869823,0.0,0.0,0.0,0.677429212883643,0.677429212883643,0.0,0.46153846153846156,0.46153846153846156,0.0,0.6923076923076923,0.6923076923076923,0.0,0.6521739130434783,0.6521739130434783,0.0,0.5070422535211268,0.5070422535211268,0.0,0.14842300556586263,0.14842300556586263,0.0,0.24722140923958938,0.24722140923958938,0.0,14.0,14.0,0.0,1.0,True,1.0
NaiveBayes,0.6143491124260355,0.6143491124260355,0.0,0.0,0.0,0.6624617270531183,0.6624617270531183,0.0,0.7692307692307693,0.7692307692307693,0.0,0.3076923076923077,0.3076923076923077,0.0,0.5813953488372093,0.5813953488372093,0.0,0.5161290322580645,0.5161290322580645,0.0,0.08016032064128253,0.08016032064128253,0.0,0.3686714183349313,0.3686714183349313,0.0,14.0,14.0,0.0,1.0,True,1.0
RandomForest,0.5828402366863905,0.5828402366863905,0.0,0.0,0.0,0.6419689657666043,0.6419689657666043,0.0,0.6,0.6,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.5,0.5,0.0,0.09999999999999998,0.09999999999999998,0.0,0.25086933175184645,0.25086933175184645,0.0,14.0,14.0,0.0,1.0,True,1.0
SVM_Linear,0.6653846153846154,0.6653846153846154,0.0,0.0,0.0,0.7110522302546427,0.7110522302546427,0.0,0.7692307692307693,0.7692307692307693,0.0,0.36538461538461536,0.36538461538461536,0.0,0.6024096385542169,0.6024096385542169,0.0,0.5588235294117647,0.5588235294117647,0.0,0.1394422310756971,0.1394422310756971,0.0,0.23233609371517094,0.23233609371517094,0.0,14.0,14.0,0.0,1.0,True,1.0
SVM_RBF,0.6211538461538462,0.6211538461538462,0.0,0.0,0.0,0.6680956781000098,0.6680956781000098,0.0,0.7692307692307693,0.7692307692307693,0.0,0.38461538461538464,0.38461538461538464,0.0,0.6097560975609756,0.6097560975609756,0.0,0.5714285714285714,0.5714285714285714,0.0,0.15904572564612318,0.15904572564612318,0.0,0.24468677960086788,0.24468677960086788,0.0,14.0,14.0,0.0,1.0,True,1.0
XGBoost,0.6112426035502959,0.6112426035502959,0.0,0.0,0.0,0.6763983230894102,0.6763983230894102,0.0,0.6307692307692307,0.6307692307692307,0.0,0.5576923076923077,0.5576923076923077,0.0,0.640625,0.640625,0.0,0.5471698113207547,0.5471698113207547,0.0,0.18809980806142035,0.18809980806142035,0.0,0.29959787482878253,0.29959787482878253,0.0,14.0,14.0,0.0,1.0,True,1.0
