Model,Baseline_ROC_AUC,Hier_ROC_AUC,Delta_ROC_AUC,Baseline_PR_AUC,Hier_PR_AUC,Delta_PR_AUC,Baseline_Sensitivity,Hier_Sensitivity,Delta_Sensitivity,Baseline_Specificity,Hier_Specificity,Delta_Specificity,Baseline_Kappa,Hier_Kappa,Delta_Kappa,Baseline_Brier,Hier_Brier,Delta_Brier,Baseline_Mean_Selected_Features,Hier_Mean_Selected_Features
LogisticRegression,0.7162804515745692,0.7162804515745692,0.0,0.7784449726566519,0.7784449726566519,0.0,0.6212121212121212,0.6212121212121212,0.0,0.7058823529411765,0.7058823529411765,0.0,0.31996512641673924,0.31996512641673924,0.0,0.21577290125965506,0.21577290125965506,0.0,14.0,14.0
SVM_RBF,0.5889780154486037,0.5889780154486037,0.0,0.7027138231571062,0.7027138231571062,0.0,0.6515151515151515,0.6515151515151515,0.0,0.37254901960784315,0.37254901960784315,0.0,0.024556616643929052,0.024556616643929052,0.0,0.2488948428536775,0.2488948428536775,0.0,14.0,14.0
SVM_Linear,0.5972964943553181,0.5972964943553181,0.0,0.6549565536206406,0.6549565536206406,0.0,0.6212121212121212,0.6212121212121212,0.0,0.5294117647058824,0.5294117647058824,0.0,0.1502890173410404,0.1502890173410404,0.0,0.2517529814042954,0.2517529814042954,0.0,14.0,14.0
RandomForest,0.6134878193701724,0.6134878193701724,0.0,0.7297292175811187,0.7297292175811187,0.0,0.6212121212121212,0.6212121212121212,0.0,0.6470588235294118,0.6470588235294118,0.0,0.26415094339622636,0.26415094339622636,0.0,0.24676066201631555,0.24676066201631555,0.0,14.0,14.0
GradientBoosting,0.5816993464052288,0.5816993464052288,0.0,0.6758970939644209,0.6758970939644209,0.0,0.6363636363636364,0.6363636363636364,0.0,0.37254901960784315,0.37254901960784315,0.0,0.00907441016333932,0.00907441016333932,0.0,0.25982525738870543,0.25982525738870543,0.0,14.0,14.0
ExtraTrees,0.6319073083778968,0.6319073083778968,0.0,0.7374832453812885,0.7374832453812885,0.0,0.5757575757575758,0.5757575757575758,0.0,0.6862745098039216,0.6862745098039216,0.0,0.25520833333333337,0.25520833333333337,0.0,0.24654201322806452,0.24654201322806452,0.0,14.0,14.0
KNN,0.6079916815210933,0.6079916815210933,0.0,0.7283002123955038,0.7283002123955038,0.0,0.6060606060606061,0.6060606060606061,0.0,0.47058823529411764,0.47058823529411764,0.0,0.07682000893255914,0.07682000893255914,0.0,0.2641094690314626,0.2641094690314626,0.0,14.0,14.0
NaiveBayes,0.5308972073677957,0.5308972073677957,0.0,0.6338498494670077,0.6338498494670077,0.0,0.7424242424242424,0.7424242424242424,0.0,0.21568627450980393,0.21568627450980393,0.0,-0.04415218412400179,-0.04415218412400179,0.0,0.45107887860736234,0.45107887860736234,0.0,14.0,14.0
XGBoost,0.6060606060606062,0.6060606060606062,0.0,0.685093257345697,0.685093257345697,0.0,0.5909090909090909,0.5909090909090909,0.0,0.5098039215686274,0.5098039215686274,0.0,0.10026619343389531,0.10026619343389531,0.0,0.3021058212070375,0.3021058212070375,0.0,14.0,14.0
LightGBM,0.5883838383838383,0.5883838383838383,0.0,0.7016804414099036,0.7016804414099036,0.0,0.5303030303030303,0.5303030303030303,0.0,0.6666666666666666,0.6666666666666666,0.0,0.1910112359550561,0.1910112359550561,0.0,0.2899892533397768,0.2899892533397768,0.0,14.0,14.0
