Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.044152513100401275,2
IB_IntensitySkewness,IB_IntensitySkewness,0.03747683861899076,4
IH_IntensityHistogramSkewness_Intensity,IH_IntensityHistogramSkewness_Intensity,0.03586875109489607,4
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.03156346903510479,2
Morph_Compactness2,Morph_Compactness2,0.029107716611261145,5
Morph_Compactness1,Morph_Compactness1,0.023430786536361544,5
IH_IntensityHistogramVariance_Intensity,IH_IntensityHistogramVariance_Intensity,0.021574692967468282,2
Morph_Sphericity,Morph_Sphericity,0.021515535629722443,5
NGTDM_Complexity,NGTDM_Complexity,0.021004802271271442,3
IH_IntensityHistogramMode_Intensity,IH_IntensityHistogramMode_Intensity,0.019645756010707227,4
GLSZM_GreyLevelVariance,GLSZM_GreyLevelVariance,0.015520470167949661,3
Morph_SphericalDisproportion,Morph_SphericalDisproportion,0.014316062489214134,5
Morph_Asphericity,Morph_Asphericity,0.01427093668348507,5
GLCM_ClusterTendency,GLCM_ClusterTendency,0.01404734989005844,2
Morph_Compacity,Morph_Compacity,0.012831199630804351,5
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.01115815534528815,3
GLRLM_LowGreyLevelRunEmphasis,GLRLM_LowGreyLevelRunEmphasis,0.005247007080672225,2
GLSZM_NormalisedGreyLevelNonUniformity,GLSZM_NormalisedGreyLevelNonUniformity,0.004974796619637687,2
GLSZM_LowGrayLevelZoneEmphasis,GLSZM_LowGrayLevelZoneEmphasis,0.004720800096679641,2
GLRLM_ShortRunLowGreyLevelEmphasis,GLRLM_ShortRunLowGreyLevelEmphasis,0.002664405353669947,3
