Feature_Name,Selection_Count,Selection_Frequency,Selected_As_Stable
IH_IntensityHistogramSkewness_Intensity,4,0.8,True
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,4,0.8,True
GLCM_Correlation,4,0.8,True
GLSZM_LargeZoneLowGreyLevelEmphasis,4,0.8,True
NGTDM_Strength,3,0.6,True
Morph_Asphericity,3,0.6,True
IH_MinimumHistogramGradientGreyLevel_Intensity,3,0.6,True
GLSZM_SmallZoneEmphasis,3,0.6,True
GLRLM_ShortRunLowGreyLevelEmphasis,3,0.6,True
GLSZM_NormalisedGreyLevelNonUniformity,3,0.6,True
GLSZM_ZonePercentage,3,0.6,True
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,2,0.4,True
IH_IntensityHistogramKurtosis_Intensity,2,0.4,True
GLCM_ClusterProminence,2,0.4,True
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,2,0.4,True
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,2,0.4,True
Morph_Maximum3DDiameter_mm,2,0.4,True
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,2,0.4,True
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,False
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1,0.2,False
GLCM_DifferenceVariance,1,0.2,False
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2,False
Morph_CentreOfMassShift_mm,1,0.2,False
Morph_Compactness1,1,0.2,False
GLSZM_ZoneSizeNonUniformity,1,0.2,False
IH_IntensityHistogram10thPercentile,1,0.2,False
NGTDM_Complexity,1,0.2,False
GLRLM_RunLengthNonUniformity,1,0.2,False
IB_IntensitySkewness,1,0.2,False
Morph_SphericalDisproportion,1,0.2,False
GLSZM_GreyLevelNonUniformity,1,0.2,False
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2,False
GLRLM_LongRunLowGreyLevelEmphasis,1,0.2,False
GLRLM_GreyLevelVariance,1,0.2,False
GLCM_ClusterShade,1,0.2,False
IH_MaximumHistogramGradient_Intensity,1,0.2,False
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,False
