Model,Baseline_ROC_AUC,mRMR_ROC_AUC,Delta_ROC_AUC_mRMR_minus_Baseline,Paired_Bootstrap_Delta_ROC_AUC_CI95_Low,Paired_Bootstrap_Delta_ROC_AUC_CI95_High,Baseline_PR_AUC,mRMR_PR_AUC,Delta_PR_AUC_mRMR_minus_Baseline,Baseline_Sensitivity,mRMR_Sensitivity,Delta_Sensitivity,Baseline_Specificity,mRMR_Specificity,Delta_Specificity,Baseline_PPV,mRMR_PPV,Delta_PPV,Baseline_NPV,mRMR_NPV,Delta_NPV,Baseline_Kappa,mRMR_Kappa,Delta_Kappa,Baseline_Brier,mRMR_Brier,Delta_Brier_mRMR_minus_Baseline,Baseline_Mean_Selected_Features,mRMR_Mean_Selected_Features,Foldwise_Wilcoxon_AUC_Statistic,Foldwise_Wilcoxon_AUC_p_value,Same_OOF_Order_For_Paired_Bootstrap,Foldwise_Wilcoxon_AUC_q_value_FDR
ExtraTrees,0.5405325443786982,0.5405325443786982,0.0,0.0,0.0,0.5912127371415243,0.5912127371415243,0.0,0.6307692307692307,0.6307692307692307,0.0,0.46153846153846156,0.46153846153846156,0.0,0.5942028985507246,0.5942028985507246,0.0,0.5,0.5,0.0,0.09302325581395354,0.09302325581395354,0.0,0.24618222527320982,0.24618222527320982,0.0,14.0,14.0,0.0,1.0,True,1.0
GradientBoosting,0.5069526627218934,0.5069526627218934,0.0,0.0,0.0,0.5842165673528905,0.5842165673528905,0.0,0.6,0.6,0.0,0.40384615384615385,0.40384615384615385,0.0,0.5571428571428572,0.5571428571428572,0.0,0.44680851063829785,0.44680851063829785,0.0,0.003883495145631022,0.003883495145631022,0.0,0.27406494594950886,0.27406494594950886,0.0,14.0,14.0,0.0,1.0,True,1.0
KNN,0.48343195266272193,0.48343195266272193,0.0,0.0,0.0,0.5804914664375871,0.5804914664375871,0.0,0.6461538461538462,0.6461538461538462,0.0,0.23076923076923078,0.23076923076923078,0.0,0.5121951219512195,0.5121951219512195,0.0,0.34285714285714286,0.34285714285714286,0.0,-0.12723658051689868,-0.12723658051689868,0.0,0.28829603784601743,0.28829603784601743,0.0,14.0,14.0,0.0,1.0,True,1.0
LightGBM,0.5979289940828402,0.5979289940828402,0.0,0.0,0.0,0.6567661212836144,0.6567661212836144,0.0,0.6153846153846154,0.6153846153846154,0.0,0.5,0.5,0.0,0.6060606060606061,0.6060606060606061,0.0,0.5098039215686274,0.5098039215686274,0.0,0.11560693641618491,0.11560693641618491,0.0,0.2769563439125922,0.2769563439125922,0.0,14.0,14.0,0.0,1.0,True,1.0
LogisticRegression,0.6650887573964498,0.6650887573964498,0.0,0.0,0.0,0.7077094854797872,0.7077094854797872,0.0,0.6461538461538462,0.6461538461538462,0.0,0.5769230769230769,0.5769230769230769,0.0,0.65625,0.65625,0.0,0.5660377358490566,0.5660377358490566,0.0,0.2226487523992322,0.2226487523992322,0.0,0.22761759289965444,0.22761759289965444,0.0,14.0,14.0,0.0,1.0,True,1.0
NaiveBayes,0.5915680473372781,0.5915680473372781,0.0,0.0,0.0,0.6498349731866067,0.6498349731866067,0.0,0.8461538461538461,0.8461538461538461,0.0,0.2692307692307692,0.2692307692307692,0.0,0.5913978494623656,0.5913978494623656,0.0,0.5833333333333334,0.5833333333333334,0.0,0.12195121951219523,0.12195121951219523,0.0,0.3760012236606573,0.3760012236606573,0.0,14.0,14.0,0.0,1.0,True,1.0
RandomForest,0.5748520710059172,0.5748520710059172,0.0,0.0,0.0,0.6449750575689508,0.6449750575689508,0.0,0.5692307692307692,0.5692307692307692,0.0,0.5384615384615384,0.5384615384615384,0.0,0.6065573770491803,0.6065573770491803,0.0,0.5,0.5,0.0,0.10687022900763354,0.10687022900763354,0.0,0.2559148571440819,0.2559148571440819,0.0,14.0,14.0,0.0,1.0,True,1.0
SVM_Linear,0.4807692307692308,0.4807692307692308,0.0,0.0,0.0,0.5726469877552147,0.5726469877552147,0.0,0.676923076923077,0.676923076923077,0.0,0.2692307692307692,0.2692307692307692,0.0,0.5365853658536586,0.5365853658536586,0.0,0.4,0.4,0.0,-0.055666003976143186,-0.055666003976143186,0.0,0.25652047353088897,0.25652047353088897,0.0,14.0,14.0,0.0,1.0,True,1.0
SVM_RBF,0.5541420118343195,0.5541420118343195,0.0,0.0,0.0,0.6202813291438161,0.6202813291438161,0.0,0.7076923076923077,0.7076923076923077,0.0,0.3269230769230769,0.3269230769230769,0.0,0.5679012345679012,0.5679012345679012,0.0,0.4722222222222222,0.4722222222222222,0.0,0.0357142857142857,0.0357142857142857,0.0,0.24788366582275115,0.24788366582275115,0.0,14.0,14.0,0.0,1.0,True,1.0
XGBoost,0.6032544378698225,0.6032544378698225,0.0,0.0,0.0,0.6585644487757822,0.6585644487757822,0.0,0.6153846153846154,0.6153846153846154,0.0,0.5769230769230769,0.5769230769230769,0.0,0.6451612903225806,0.6451612903225806,0.0,0.5454545454545454,0.5454545454545454,0.0,0.19120458891013392,0.19120458891013392,0.0,0.2898461820819451,0.2898461820819451,0.0,14.0,14.0,0.0,1.0,True,1.0
