Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
IB_IntensitySkewness,IB_IntensitySkewness,0.05172051981027574,5
GLSZM_GreyLevelVariance,GLSZM_GreyLevelVariance,0.04047748451315141,4
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.03548024202363088,3
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.03286719397743792,2
Morph_Asphericity,Morph_Asphericity,0.029781674327897304,3
Morph_SphericalDisproportion,Morph_SphericalDisproportion,0.029675212240555558,4
Morph_Compacity,Morph_Compacity,0.02562622106488549,3
IB_MinimumIntensity,IB_MinimumIntensity,0.02084680523905899,2
GLRLM_ShortRunLowGreyLevelEmphasis,GLRLM_ShortRunLowGreyLevelEmphasis,0.02082369312851449,2
IH_IntensityHistogramMode_Intensity,IH_IntensityHistogramMode_Intensity,0.020259468714949744,2
NGTDM_Strength,NGTDM_Strength,0.015852082170407157,2
GLCM_ClusterShade,GLCM_ClusterShade,0.013313330840238011,2
Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,0.009492804859737079,2
IH_MinimumHistogramGradientGreyLevel_Intensity,IH_MinimumHistogramGradientGreyLevel_Intensity,0.009355020651599833,2
GLRLM_LongRunLowGreyLevelEmphasis,GLRLM_LongRunLowGreyLevelEmphasis,0.0038187306498420116,2
GLSZM_ZoneSizeVariance,GLSZM_ZoneSizeVariance,0.002868433630847801,2
IH_MaximumHistogramGradient_Intensity,IH_MaximumHistogramGradient_Intensity,0.0026398306376539506,2
IH_MinimumHistogramGradient_Intensity,IH_MinimumHistogramGradient_Intensity,0.002075667773475905,2
