Feature_Name,Selection_Count,Selection_Frequency,Selected_As_Stable
Post1_Morph_Compacity,4,0.8,True
Pre_GLSZM_GreyLevelVariance,3,0.6,True
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,3,0.6,True
Post1_Morph_SphericalDisproportion,3,0.6,True
Post1_Morph_Asphericity,3,0.6,True
Post1_IH_IntensityHistogramMode_Intensity,3,0.6,True
Post1_IH_IntensityHistogramMean_Intensity,3,0.6,True
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,2,0.4,True
Pre_GLRLM_LongRunLowGreyLevelEmphasis,2,0.4,True
Pre_Morph_Compacity,2,0.4,True
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,2,0.4,True
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,2,0.4,True
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,2,0.4,True
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,2,0.4,True
Post1_IH_AreaUnderCurveCIVH_Intensity,2,0.4,True
Pre_Morph_SphericalDisproportion,2,0.4,True
Post1_GLRLM_LongRunHighGreyLevelEmphasis,2,0.4,True
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,2,0.4,True
Pre_Morph_Asphericity,2,0.4,True
Post1_GLCM_ClusterShade,2,0.4,True
Post1_IH_IntensityHistogramMinimumGreyLevel_Intensity,2,0.4,True
Post1_GLRLM_HighGreyLevelRunEmphasis,2,0.4,True
Pre_GLSZM_ZoneSizeVariance,2,0.4,True
Pre_IH_IntensityHistogramSkewness_Intensity,2,0.4,True
Post1_IB_IntensityBasedEnergy,2,0.4,True
Post1_IB_25thIntensityPercentile,2,0.4,True
Pre_IH_IntensityHistogramMinimumGreyLevel_Intensity,2,0.4,True
Pre_GLSZM_SmallZoneHighGreyLevelEmphasis,2,0.4,True
Post1_GLCM_Autocorrelation,1,0.2,False
Post1_GLCM_JointMaximum,1,0.2,False
Post1_GLRLM_ShortRunHighGreyLevelEmphasis,1,0.2,False
Pre_IB_MinimumIntensity,1,0.2,False
Post1_IB_MedianIntensity,1,0.2,False
Pre_GLSZM_LargeZoneHighGreyLevelEmphasis,1,0.2,False
Pre_GLCM_DifferenceVariance,1,0.2,False
Post1_GLSZM_LargeZoneHighGreyLevelEmphasis,1,0.2,False
Pre_GLSZM_NormalisedGreyLevelNonUniformity,1,0.2,False
Pre_IB_IntensityBasedEnergy,1,0.2,False
Pre_NGTDM_Strength,1,0.2,False
Pre_GLSZM_SmallZoneLowGreyLevelEmphasis,1,0.2,False
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,False
Pre_GLCM_SumVariance,1,0.2,False
Post1_GLCM_Correlation,1,0.2,False
Post1_IB_50thIntensityPercentile,1,0.2,False
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1,0.2,False
Post1_GLSZM_LargeZoneLowGreyLevelEmphasis,1,0.2,False
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,False
Pre_GLCM_JointVariance,1,0.2,False
Pre_NGTDM_Coarseness,1,0.2,False
Pre_GLCM_ClusterProminence,1,0.2,False
Pre_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2,False
Post1_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,1,0.2,False
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1,0.2,False
Post1_GLSZM_GreyLevelNonUniformity,1,0.2,False
Pre_GLSZM_ZonePercentage,1,0.2,False
Pre_IH_MaximumHistogramGradient_Intensity,1,0.2,False
Pre_IH_IntensityHistogramRange_Intensity,1,0.2,False
Post1_IB_IntensityBasedQuartileCoefficientOfDispersion,1,0.2,False
Post1_IB_75thIntensityPercentile,1,0.2,False
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2,False
Pre_GLSZM_LargeZoneLowGreyLevelEmphasis,1,0.2,False
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,False
Pre_Morph_SurfaceArea_cm2,1,0.2,False
Post1_GLCM_AngularSecondMoment,1,0.2,False
