Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
GradientBoosting,0.7362103174603174,0.07252547314895622,0.690952380952381,0.8095464994518382,0.09104656878068086,0.7550015572461113,0.6749439775910364,0.10531404924608609,0.6637168141592921,0.676984126984127,0.09944130906267153,0.6612698412698412,0.7213186813186814,0.1605036752819455,0.7049180327868853,0.704920634920635,0.13813391175310888,0.6825396825396826,0.6981353383458646,0.11932205655260193,0.6935483870967742,0.6490476190476191,0.1698845813340831,0.64,8.0,8.0,5.215361924162119,4,6.0,18
NaiveBayes,0.7272619047619047,0.05504893720616545,0.6161904761904762,0.7771055723414804,0.11970688385830931,0.6799779361998345,0.6092717086834734,0.10137832679475699,0.6017699115044248,0.6310714285714286,0.07991117675469421,0.5933333333333333,0.7042357642357642,0.19110028582447583,0.6363636363636364,0.7061904761904761,0.1705004268781567,0.6666666666666666,0.6584781076623182,0.08119388222944975,0.6511627906976745,0.555952380952381,0.2968466166763562,0.52,8.0,8.0,5.215361924162119,4,6.0,18
SVM_Linear,0.7253968253968253,0.07827666369753522,0.7057142857142857,0.7770795086053164,0.1262402430138239,0.7513625605576901,0.6744677871148459,0.10068956204185854,0.6637168141592921,0.6788095238095238,0.0964433002011602,0.650952380952381,0.7125146198830409,0.1402405024084791,0.676056338028169,0.8038095238095238,0.19206900162634125,0.7619047619047619,0.7228016401156147,0.09885059339798008,0.7164179104477612,0.5538095238095238,0.23736841443700046,0.54,8.0,8.0,5.215361924162119,4,6.0,18
RandomForest,0.7243253968253969,0.06742548120142064,0.7031746031746031,0.7794946783483503,0.12377158887535297,0.7579360390430064,0.7105182072829133,0.09678757251063033,0.6991150442477876,0.7223412698412698,0.09115361820225824,0.6950793650793651,0.7733821733821733,0.17097391957100683,0.7301587301587301,0.7649206349206349,0.14453546757021088,0.7301587301587301,0.7408253968253968,0.08884683812606241,0.7301587301587301,0.6797619047619048,0.23547366265675798,0.66,8.0,8.0,5.215361924162119,4,6.0,18
LogisticRegression,0.7234920634920635,0.10550464221468443,0.701904761904762,0.7917207817093624,0.12188280157691692,0.762989127164003,0.6399439775910364,0.11577475573995509,0.6283185840707964,0.6403174603174603,0.12099950129933938,0.6274603174603175,0.6865734265734266,0.1881659006866849,0.6779661016949152,0.6506349206349207,0.1767475819776492,0.6349206349206349,0.6546644388749652,0.15345680090122082,0.6557377049180327,0.63,0.1661324772583615,0.62,8.0,8.0,5.215361924162119,4,6.0,18
ExtraTrees,0.720952380952381,0.0887237695402483,0.692063492063492,0.7876226959899808,0.11724386902167845,0.7364031211686883,0.6695658263305322,0.1263434160888718,0.6548672566371682,0.696468253968254,0.10943681845503406,0.6553968253968254,0.7687645687645688,0.19045783705612937,0.7068965517241379,0.6941269841269841,0.17208252691525344,0.6507936507936508,0.692063492063492,0.120245319076832,0.6776859504132231,0.6988095238095238,0.24268200968165987,0.66,8.0,8.0,5.215361924162119,4,6.0,18
SVM_RBF,0.7196031746031746,0.08855507045847383,0.691111111111111,0.7829419306511302,0.12171724405758184,0.7465887663410893,0.6732773109243697,0.09229647883327737,0.6637168141592921,0.69,0.08298468259854556,0.655079365079365,0.7379947606572994,0.17412437793281196,0.6865671641791045,0.7728571428571429,0.1797750617141068,0.7301587301587301,0.7155081928221675,0.08664579957061883,0.7076923076923077,0.6071428571428571,0.24536520053310953,0.58,8.0,8.0,5.215361924162119,4,6.0,18
KNN,0.7104960317460317,0.07604370577309284,0.6433333333333334,0.763904439309496,0.12375156329621934,0.7250023152116489,0.6157983193277311,0.10902967435481384,0.6017699115044248,0.6425793650793651,0.07542914929499128,0.6015873015873016,0.728652926021347,0.1675809410211667,0.6551724137931034,0.6696825396825397,0.2688096058224365,0.6031746031746031,0.6237423266388784,0.178496942115696,0.628099173553719,0.6154761904761905,0.23351547798390127,0.6,8.0,8.0,5.215361924162119,4,6.0,18
XGBoost,0.6952777777777779,0.10034021868631056,0.6660317460317461,0.7815689885926256,0.07953613488734392,0.7351612443238817,0.6268487394957983,0.10646533001694895,0.6106194690265486,0.6242063492063492,0.09843637707970297,0.6033333333333333,0.6680555555555556,0.13069732255657265,0.6461538461538462,0.7026984126984126,0.16868886591741883,0.6666666666666666,0.6644203228377457,0.12091448067219544,0.65625,0.5457142857142858,0.19072245984503874,0.54,8.0,8.0,5.215361924162119,4,6.0,18
LightGBM,0.6498809523809523,0.10050809443579724,0.6158730158730158,0.7123920836640749,0.14700608323500716,0.6799267046794681,0.6402801120448179,0.1385793470169998,0.6194690265486725,0.6478174603174602,0.12473920892964671,0.6236507936507937,0.7120634920634921,0.17358897364529524,0.6851851851851852,0.6215873015873016,0.19835707156732763,0.5873015873015873,0.6400115440115439,0.16572095485028787,0.6324786324786325,0.674047619047619,0.1908098268503898,0.66,8.0,8.0,5.215361924162119,4,6.0,18
