Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features
XGBoost,0.8082128427128428,0.08982913804091898,0.7039848197343453,0.8192167012000345,0.13271760453641174,0.7558279041999667,0.6191846491614874,0.1100975324759361,0.6194690265486725,0.6721554834054834,0.10148912191118163,0.6166982922201139,0.6605372405372405,0.18327420139740838,0.6557377049180327,0.717922077922078,0.2092326695372561,0.6451612903225806,0.6483994266602963,0.10011971652640282,0.6504065040650406,0.6263888888888889,0.20414304474081252,0.5882352941176471,20.0
LightGBM,0.799497113997114,0.10289427055743644,0.7182163187855787,0.8448699663492162,0.13643577200104176,0.76750808784484,0.6398743043339012,0.09049032550861519,0.6460176991150443,0.6798697691197692,0.11353472057213863,0.6426312460468058,0.6573626373626373,0.18708758128772937,0.6774193548387096,0.7133506493506493,0.20935577964130606,0.6774193548387096,0.6566701033520255,0.11953045547978791,0.6774193548387096,0.6463888888888889,0.1954963609904129,0.6078431372549019,20.0
RandomForest,0.755436507936508,0.07923278656667443,0.6565464895635674,0.8118912184669862,0.11128872334892435,0.7481233412105013,0.6056166096518305,0.09846459055587473,0.5929203539823009,0.6736432178932179,0.03332148831759005,0.5890259329538268,0.6633838383838384,0.17540528375748513,0.6290322580645161,0.7286753246753247,0.2341844224840497,0.6290322580645161,0.6367845117845118,0.08463594378124044,0.6290322580645161,0.6186111111111111,0.19831777094250766,0.5490196078431373,20.0
GradientBoosting,0.7232301587301586,0.10541723721833299,0.618595825426945,0.7629266565250123,0.15118622015887734,0.6799967221182588,0.5584048718674719,0.10741365593725645,0.5575221238938053,0.6197940115440115,0.10405044392649729,0.5532890575585072,0.6152777777777778,0.20645449084513384,0.5967741935483871,0.6715324675324675,0.2637197283588271,0.5967741935483871,0.5861734587251829,0.12334047933561977,0.5967741935483871,0.5680555555555555,0.22874118751155756,0.5098039215686274,20.0
LogisticRegression,0.7142546897546896,0.12361961126388238,0.6625553447185326,0.7926516303014537,0.141826570342709,0.7356424522979343,0.5924350146907971,0.08559505804171587,0.5929203539823009,0.6020642135642136,0.09100993737674762,0.5855471220746362,0.6074603174603175,0.18000332434431954,0.6212121212121212,0.679128427128427,0.16777443852478097,0.6612903225806451,0.619103884372177,0.11790414471634515,0.640625,0.525,0.097182531580755,0.5098039215686274,20.0
SVM_Linear,0.7029285714285713,0.13606365594135703,0.6157495256166984,0.7915098969904992,0.13405351171474783,0.7137287203662419,0.5885759535093135,0.08947648137149589,0.584070796460177,0.6111908369408369,0.09046560753309749,0.5740037950664136,0.6109235209235209,0.15361648465642452,0.6086956521739131,0.7321038961038961,0.1967212849612934,0.6774193548387096,0.634394341290893,0.08698665685769986,0.6412213740458015,0.49027777777777776,0.09456691405860669,0.47058823529411764,20.0
ExtraTrees,0.6943787878787879,0.09075729133247165,0.622707147375079,0.7694042888558771,0.11051533901610962,0.7310624246704291,0.5883508895706945,0.12086862818479169,0.5929203539823009,0.6154249639249639,0.12496113904029248,0.5907653383934219,0.607034632034632,0.20078321559470308,0.6333333333333333,0.6447388167388166,0.2463175518692226,0.6129032258064516,0.5966736923258662,0.16257376536265092,0.6229508196721312,0.586111111111111,0.09395296958493202,0.5686274509803921,20.0
KNN,0.6937467532467532,0.08917618525971083,0.5891840607210626,0.7704004420693957,0.09570689354377636,0.6696528516941554,0.5822088831745118,0.11052300793369092,0.5663716814159292,0.6447741702741702,0.059298903874773407,0.56483238456673,0.6555555555555556,0.21059144035892258,0.6101694915254238,0.6556594516594517,0.2004338205441924,0.5806451612903226,0.6015542352384458,0.1032145398298338,0.5950413223140496,0.633888888888889,0.23242149876123716,0.5490196078431373,20.0
SVM_RBF,0.6832215007215007,0.13236908550585766,0.5895003162555343,0.7680098934025231,0.14511952706902934,0.6789524793650576,0.5568936274896608,0.06981042846244316,0.5575221238938053,0.5753773448773449,0.08929567573390092,0.5463314358001266,0.5754791390240307,0.16131518875618248,0.5857142857142857,0.7035324675324676,0.2261548522662639,0.6612903225806451,0.6017782217782217,0.10624608158452722,0.6212121212121212,0.44722222222222224,0.04843221048378526,0.43137254901960786,20.0
NaiveBayes,0.6350569985569985,0.04967308720770832,0.5942441492726123,0.7309398086477727,0.10739921762835479,0.6844049365628804,0.5481231891794042,0.07821766452546652,0.5486725663716814,0.527799062049062,0.03640478608490172,0.5313092979127135,0.5552380952380952,0.16289890859600226,0.5714285714285714,0.6947647907647906,0.1572673083839178,0.7096774193548387,0.5965217391304348,0.11413405539535537,0.6330935251798561,0.3608333333333333,0.17825543469975888,0.35294117647058826,20.0
