fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015625,0.999999999985242
0.0,0.0625,0.9999997921338298
0.04,0.0625,0.999998414203899
0.04,0.09375,0.9999913342722174
0.08,0.09375,0.9999867695149839
0.08,0.171875,0.9999530530729487
0.1,0.171875,0.9999508275911458
0.1,0.203125,0.9999427284783821
0.12,0.203125,0.9999287398757085
0.12,0.21875,0.9999205510756125
0.14,0.21875,0.9999130088314756
0.14,0.234375,0.9999105349634584
0.16,0.234375,0.9998568522247073
0.16,0.25,0.9998457093025469
0.2,0.25,0.9998022725343282
0.2,0.296875,0.9996664765715934
0.24,0.296875,0.9994846031727576
0.24,0.3125,0.999468019752196
0.28,0.3125,0.9993669081908887
0.28,0.359375,0.998909880415189
0.32,0.359375,0.9988105266618024
0.32,0.53125,0.9939217603104247
0.34,0.53125,0.9927866101935692
0.34,0.546875,0.9918911441374185
0.36,0.546875,0.9917585910162948
0.36,0.59375,0.98939631878112
0.44,0.59375,0.9845317711910793
0.44,0.640625,0.9794022465492096
0.46,0.640625,0.9788003924500389
0.46,0.65625,0.9772184170460462
0.48,0.65625,0.9752595073848668
0.48,0.671875,0.9746572761920675
0.54,0.671875,0.9604480032917432
0.54,0.703125,0.9559538378646946
0.6,0.703125,0.9453472648633192
0.6,0.734375,0.9357486220481165
0.64,0.734375,0.9299056810331998
0.64,0.765625,0.9174933562099983
0.68,0.765625,0.8688016865592064
0.68,0.78125,0.8584145497977587
0.74,0.78125,0.8026564124308592
0.74,0.8125,0.7763824008353718
0.76,0.8125,0.7664049150180389
0.76,0.828125,0.735321527099435
0.78,0.828125,0.6940375428357591
0.78,0.84375,0.5972420348640445
0.8,0.84375,0.5807968233611457
0.8,0.859375,0.5593620278706041
0.84,0.859375,0.3804853352228612
0.84,0.875,0.22396387831633244
0.86,0.875,0.0526652371048237
0.86,0.890625,0.026278377842038833
0.88,0.890625,0.005600001628241726
0.88,0.9375,0.0005345782008933239
0.9,0.9375,2.3827199858699557e-05
0.9,0.96875,7.346061950981246e-08
0.94,0.96875,5.162911044887492e-31
0.94,1.0,5.866328063200768e-72
1.0,1.0,0.0
