,SVM_RBF,ExtraTrees,LogisticRegression,SVM_Linear,KNN,RandomForest,NaiveBayes,GradientBoosting,LightGBM,XGBoost
SVM_RBF,1.0,0.7855051489838052,0.28358575877893,0.7553585169947198,0.1998721839680323,0.15807773802352798,0.36348144883710354,0.01325958706087928,0.061164676300705954,0.007110924342507382
ExtraTrees,0.7855051489838052,1.0,0.3567982812610321,0.6495452911909596,0.20774062261186776,0.08429452313055057,0.3995306834259804,0.019092914703818253,0.04466385583571912,0.005472815736577187
LogisticRegression,0.28358575877893,0.3567982812610321,1.0,0.6299014601610446,0.12576394177160424,0.04827932618215215,0.21368649393852246,0.00390701747127514,0.029361475213338907,0.0028679258906076028
SVM_Linear,0.7553585169947198,0.6495452911909596,0.6299014601610446,1.0,0.16795826146739945,0.12462021322799728,0.3115013165553947,0.015724775307038547,0.06368782518918722,0.008066947255050772
KNN,0.1998721839680323,0.20774062261186776,0.12576394177160424,0.16795826146739945,1.0,0.6618588419901692,0.5695741913977954,0.6988954436045665,0.8129093905217726,0.16099693697445538
RandomForest,0.15807773802352798,0.08429452313055057,0.04827932618215215,0.12462021322799728,0.6618588419901692,1.0,0.7431387689949147,0.24597077856658378,0.33276235927304565,0.034217788054566836
NaiveBayes,0.36348144883710354,0.3995306834259804,0.21368649393852246,0.3115013165553947,0.5695741913977954,0.7431387689949147,1.0,0.2498728868709056,0.3209269849929365,0.08692623384019688
GradientBoosting,0.01325958706087928,0.019092914703818253,0.00390701747127514,0.015724775307038547,0.6988954436045665,0.24597077856658378,0.2498728868709056,1.0,0.7999811650132334,0.4312372369236984
LightGBM,0.061164676300705954,0.04466385583571912,0.029361475213338907,0.06368782518918722,0.8129093905217726,0.33276235927304565,0.3209269849929365,0.7999811650132334,1.0,0.32519745478239814
XGBoost,0.007110924342507382,0.005472815736577187,0.0028679258906076028,0.008066947255050772,0.16099693697445538,0.034217788054566836,0.08692623384019688,0.4312372369236984,0.32519745478239814,1.0
