Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_PR_AUC,Std_PR_AUC,Min_PR_AUC,Max_PR_AUC,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Min_Balanced_Accuracy,Max_Balanced_Accuracy,Mean_Precision,Std_Precision,Min_Precision,Max_Precision,Mean_Recall,Std_Recall,Min_Recall,Max_Recall,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Specificity,Std_Specificity,Min_Specificity,Max_Specificity,Mean_n_feats,Std_n_feats,Min_n_feats,Max_n_feats
LogisticRegression,0.6828952692187987,0.16331907953148864,0.4362745098039217,0.8319327731092437,0.7551644231617007,0.11091379525034865,0.5982675953022822,0.8895221046413253,0.640296911097801,0.08960803248232464,0.5172413793103449,0.7419354838709677,0.6367530345471523,0.10517805862653838,0.4656862745098039,0.7331932773109244,0.6537452326468345,0.2067899882941458,0.3333333333333333,0.8333333333333334,0.692156862745098,0.12276451641175315,0.5,0.8235294117647058,0.6494444444444444,0.13153298417479142,0.4444444444444444,0.7777777777777778,0.5813492063492063,0.2597691306906253,0.16666666666666666,0.875,10.4,4.979959839195493,6.0,18.0
SVM_Linear,0.6547121070650481,0.16839954666918225,0.3725490196078431,0.8109243697478993,0.7319993507096985,0.1351397083939239,0.5556638676425538,0.8764316593931198,0.6338452981945751,0.08123043894807323,0.5172413793103449,0.7096774193548387,0.6481209150326798,0.10983534457396323,0.4534313725490196,0.7222222222222222,0.650030303030303,0.18764894298527088,0.375,0.8333333333333334,0.7823529411764707,0.1901556455911131,0.5,1.0,0.6712703962703962,0.09190532817491597,0.5454545454545454,0.7692307692307693,0.513888888888889,0.29331544558253997,0.08333333333333333,0.875,10.4,4.979959839195493,6.0,18.0
SVM_RBF,0.643881107998755,0.16454581788881187,0.37254901960784315,0.8025210084033614,0.7114955610958208,0.13185622228459748,0.5376276361822868,0.8674231984684799,0.6008979587956229,0.058044455184231084,0.5172413793103449,0.6774193548387096,0.5929738562091503,0.07476360712198864,0.4656862745098039,0.6617647058823529,0.602567287784679,0.16399042110589668,0.3333333333333333,0.7333333333333333,0.6803921568627451,0.12393335759263122,0.5,0.8235294117647058,0.6214043687650499,0.11283529581916929,0.4444444444444444,0.7368421052631579,0.5055555555555555,0.21191367914178502,0.16666666666666666,0.75,10.4,4.979959839195493,6.0,18.0
NaiveBayes,0.6192250233426704,0.13361383850011435,0.44999999999999996,0.7777777777777779,0.6827719389754989,0.11892888840220375,0.5,0.8222056454352721,0.6043695273951113,0.06717711755653107,0.5,0.6666666666666666,0.5693977591036414,0.062257225681568135,0.5,0.6666666666666666,0.5694444444444444,0.11072850793330413,0.4,0.7,0.7745098039215685,0.1948490873956058,0.5,1.0,0.6476368237245522,0.12372463012517922,0.5,0.7567567567567568,0.3642857142857142,0.22893076912497845,0.07142857142857142,0.6666666666666666,10.4,4.979959839195493,6.0,18.0
LightGBM,0.6019444444444444,0.1341888871284307,0.4362745098039216,0.7450980392156862,0.6954032116785154,0.12232623279514634,0.55,0.8351302916413551,0.5759523877432665,0.11318592917873738,0.4482758620689655,0.7307692307692307,0.5727264239028944,0.08371299421871366,0.44362745098039214,0.6633986928104575,0.5744155844155843,0.1790348440517773,0.2857142857142857,0.75,0.6486274509803921,0.21157580536261805,0.4,0.8823529411764706,0.5857519057519058,0.17127321526726297,0.4,0.8108108108108109,0.49682539682539684,0.14201138531853952,0.4166666666666667,0.75,10.4,4.979959839195493,6.0,18.0
KNN,0.5986788048552755,0.1404029390826762,0.39705882352941174,0.7415966386554622,0.6728843800871653,0.12699981905111957,0.5354973753261799,0.804642857142857,0.5917643535552324,0.08613874770603337,0.4482758620689655,0.6666666666666666,0.5875,0.09630322370192036,0.43137254901960786,0.6875,0.6103921568627452,0.18954507548374455,0.3333333333333333,0.8333333333333334,0.6333333333333333,0.11424829123103697,0.5,0.7647058823529411,0.6014882529588412,0.1135265091824233,0.4444444444444444,0.7058823529411765,0.5416666666666666,0.2036510874807664,0.3333333333333333,0.875,10.4,4.979959839195493,6.0,18.0
XGBoost,0.591311858076564,0.11607261377215673,0.4558823529411765,0.6993464052287581,0.7096040616946236,0.05906798983873589,0.6464646464646464,0.7740249129955012,0.561808467147733,0.09538050123091958,0.4482758620689655,0.6923076923076923,0.5650700280112044,0.09093350290601653,0.41911764705882354,0.6601307189542484,0.5820138581748487,0.18614798089607737,0.2857142857142857,0.7647058823529411,0.6015686274509804,0.13401211304831925,0.4,0.7647058823529411,0.5690522875816992,0.1368754285874632,0.4,0.7647058823529411,0.5285714285714287,0.19202823367829125,0.25,0.75,10.4,4.979959839195493,6.0,18.0
GradientBoosting,0.5843020541549954,0.18297063451050352,0.3431372549019608,0.8361344537815126,0.6919636176763934,0.1263465739783143,0.5412292530356415,0.8882544164479822,0.5570900240533165,0.09729640726788963,0.41379310344827586,0.6451612903225806,0.5490662931839403,0.09634616868901562,0.3897058823529412,0.6260504201680672,0.5641148325358851,0.17593445886622722,0.2857142857142857,0.7142857142857143,0.6568627450980391,0.141733649949029,0.5,0.8235294117647058,0.5885383897148603,0.1375487878891076,0.4,0.7222222222222222,0.4412698412698413,0.18955215682289303,0.25,0.75,10.4,4.979959839195493,6.0,18.0
ExtraTrees,0.5654520697167756,0.13520801046816486,0.38235294117647056,0.7352941176470588,0.6770885679657386,0.13935015787242358,0.5194805194805194,0.8020447348900036,0.5991058441002823,0.054704646908549405,0.5172413793103449,0.6666666666666666,0.5675186741363212,0.08820933470064084,0.4656862745098039,0.6875,0.6002983802216539,0.21884894030738883,0.25,0.8333333333333334,0.5901960784313726,0.17405757663664428,0.3333333333333333,0.7647058823529411,0.5827310924369747,0.16869724352987536,0.2857142857142857,0.7058823529411765,0.5448412698412698,0.263461881518662,0.16666666666666666,0.875,10.4,4.979959839195493,6.0,18.0
RandomForest,0.5563678804855275,0.12951336312292394,0.40686274509803916,0.7226890756302521,0.6618771032219244,0.11404724382238346,0.49831649831649827,0.7773144714637118,0.5691974938915985,0.10119458928629022,0.4482758620689655,0.7096774193548387,0.5476680672268908,0.12542538791059715,0.4068627450980392,0.703781512605042,0.5867063492063492,0.23849313643685435,0.2,0.8,0.5584313725490196,0.1830494814223224,0.3333333333333333,0.7647058823529411,0.554360902255639,0.1882987182882542,0.25,0.7428571428571429,0.5369047619047619,0.2605318150564122,0.16666666666666666,0.875,10.4,4.979959839195493,6.0,18.0
