Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Post1_IH_IntensityHistogramMode_Intensity,Post1_IH_IntensityHistogramMode_Intensity,0.025209982825065435,5
Post1_Morph_Asphericity,Post1_Morph_Asphericity,0.02136365569920379,2
Post1_IB_25thIntensityPercentile,Post1_IB_25thIntensityPercentile,0.017810442857156716,2
T2_IH_MinimumHistogramGradientGreyLevel_Intensity,T2_IH_MinimumHistogramGradientGreyLevel_Intensity,0.015865320288641644,2
Post1_GLCM_InverseVariance,Post1_GLCM_InverseVariance,0.013885314332864189,3
T2_IH_MaximumHistogramGradientGreyLevel_Intensity,T2_IH_MaximumHistogramGradientGreyLevel_Intensity,0.011496450202699347,3
Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.010596684154274645,3
T2_GLCM_ClusterShade,T2_GLCM_ClusterShade,0.009878583532751853,2
Post1_IH_MaximumHistogramGradientGreyLevel_Intensity,Post1_IH_MaximumHistogramGradientGreyLevel_Intensity,0.009354776573816177,2
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.007159304401314007,3
T2_NGTDM_Strength,T2_NGTDM_Strength,0.00638862086538622,2
Post1_GLCM_Correlation,Post1_GLCM_Correlation,0.0061409222969198915,3
T2_IH_IntensityHistogramCoefficientOfVariation_Intensity,T2_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.005769856053741862,3
T2_GLCM_NormalisedInverseDifference,T2_GLCM_NormalisedInverseDifference,0.005266218065171386,2
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.005171948592476752,2
T2_GLSZM_SmallZoneHighGreyLevelEmphasis,T2_GLSZM_SmallZoneHighGreyLevelEmphasis,0.0045469266735481,2
Post1_GLSZM_SmallZoneLowGreyLevelEmphasis,Post1_GLSZM_SmallZoneLowGreyLevelEmphasis,0.003219265491992459,2
Post1_IB_IntensityBasedEnergy,Post1_IB_IntensityBasedEnergy,0.002841514200788524,3
T2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,T2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.0020504070201951535,2
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.0017164857382387926,3
