Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
ExtraTrees,0.722 ± 0.105,0.787 ± 0.043,0.687 ± 0.054,0.699 ± 0.093,0.723 ± 0.186,0.735 ± 0.184,0.694 ± 0.041,0.663 ± 0.212,14.800 ± 3.633
KNN,0.704 ± 0.111,0.719 ± 0.068,0.616 ± 0.125,0.656 ± 0.058,0.659 ± 0.212,0.744 ± 0.196,0.653 ± 0.119,0.569 ± 0.239,14.800 ± 3.633
RandomForest,0.696 ± 0.141,0.753 ± 0.086,0.610 ± 0.088,0.620 ± 0.122,0.619 ± 0.078,0.680 ± 0.248,0.621 ± 0.097,0.560 ± 0.160,14.800 ± 3.633
XGBoost,0.686 ± 0.130,0.736 ± 0.109,0.625 ± 0.109,0.654 ± 0.087,0.653 ± 0.204,0.735 ± 0.197,0.652 ± 0.120,0.573 ± 0.213,14.800 ± 3.633
LogisticRegression,0.626 ± 0.110,0.689 ± 0.106,0.601 ± 0.095,0.597 ± 0.100,0.616 ± 0.198,0.645 ± 0.126,0.610 ± 0.126,0.550 ± 0.205,14.800 ± 3.633
SVM_Linear,0.621 ± 0.116,0.657 ± 0.110,0.549 ± 0.099,0.589 ± 0.086,0.473 ± 0.314,0.649 ± 0.409,0.512 ± 0.298,0.528 ± 0.384,14.800 ± 3.633
NaiveBayes,0.606 ± 0.053,0.650 ± 0.168,0.598 ± 0.057,0.568 ± 0.063,0.570 ± 0.140,0.751 ± 0.166,0.637 ± 0.137,0.385 ± 0.219,14.800 ± 3.633
SVM_RBF,0.597 ± 0.194,0.661 ± 0.111,0.536 ± 0.102,0.577 ± 0.071,0.580 ± 0.180,0.685 ± 0.341,0.557 ± 0.188,0.469 ± 0.345,14.800 ± 3.633
GradientBoosting,0.596 ± 0.169,0.697 ± 0.127,0.544 ± 0.086,0.567 ± 0.108,0.588 ± 0.181,0.668 ± 0.226,0.580 ± 0.091,0.466 ± 0.242,14.800 ± 3.633
LightGBM,0.570 ± 0.161,0.684 ± 0.125,0.546 ± 0.167,0.535 ± 0.158,0.555 ± 0.128,0.543 ± 0.158,0.543 ± 0.131,0.527 ± 0.200,14.800 ± 3.633
