Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Post2_GLCM_Autocorrelation,Post2_GLCM_Autocorrelation,0.042178893689609386,2
Post2_IH_IntensityHistogramMode_Intensity,Post2_IH_IntensityHistogramMode_Intensity,0.0368119922264441,5
Post2_Morph_Sphericity,Post2_Morph_Sphericity,0.028941808051288143,2
Post2_Morph_Compactness1,Post2_Morph_Compactness1,0.022467163758293628,4
Post2_Morph_Compactness2,Post2_Morph_Compactness2,0.020270398265903832,2
T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,0.017672640430395063,2
T2_Morph_Compactness1,T2_Morph_Compactness1,0.01707328535809139,3
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.016944416581830418,2
T2_GLSZM_NormalisedZoneSizeNonUniformity,T2_GLSZM_NormalisedZoneSizeNonUniformity,0.013185999217409245,2
T2_IB_StandardDeviation,T2_IB_StandardDeviation,0.011305912508881409,2
T2_IB_IntensityBasedMeanAbsoluteDeviation,T2_IB_IntensityBasedMeanAbsoluteDeviation,0.006255165050565556,3
T2_IB_IntensityBasedCoefficientOfVariation,T2_IB_IntensityBasedCoefficientOfVariation,0.005442109553113327,3
T2_IB_TotalLesionGlycolysis,T2_IB_TotalLesionGlycolysis,0.0018790917928799328,3
