Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC,Kappa
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",LogisticRegression,0.8263888888888888,0.7916666666666666,0.7916666666666667,0.825472212972213,0.7692307692307693,0.8333333333333334,0.8,0.75,0.6987438016528926,0.5833333333333333
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",SVM_RBF,0.8263888888888888,0.8333333333333334,0.8333333333333333,0.7791157916157916,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.75,0.7462417582417582,0.6666666666666667
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",SVM_Linear,0.8263888888888888,0.8333333333333334,0.8333333333333333,0.8327774077774077,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.75,0.6987438016528926,0.6666666666666667
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",RandomForest,0.8125,0.6666666666666666,0.6666666666666667,0.781726402682285,0.6428571428571429,0.75,0.6923076923076923,0.5833333333333334,0.7608937728937728,0.33333333333333337
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",GradientBoosting,0.7708333333333334,0.7083333333333334,0.7083333333333333,0.7823805823805824,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.75,0.7132747252747251,0.41666666666666663
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",ExtraTrees,0.8125,0.75,0.75,0.7952774077774079,0.75,0.75,0.75,0.75,0.7535677655677656,0.5
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",KNN,0.7222222222222222,0.6666666666666666,0.6666666666666667,0.6771450771450771,0.7,0.5833333333333334,0.6363636363636364,0.75,0.715106227106227,0.33333333333333337
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",NaiveBayes,0.75,0.5416666666666666,0.5416666666666666,0.7759563091370871,0.5238095238095238,0.9166666666666666,0.6666666666666666,0.16666666666666666,0.672981684981685,0.08333333333333337
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",XGBoost,0.6736111111111112,0.625,0.625,0.7266104953411455,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.6666666666666666,0.72792673992674,0.25
1,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",LightGBM,0.8055555555555556,0.7083333333333334,0.7083333333333334,0.7799890196949021,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.716937728937729,0.41666666666666663
