Feature_Name,Selection_Count,Selection_Frequency
Post1_Morph_Sphericity,5,1.0
ADC_IH_IntensityHistogramMedian_Intensity,4,0.8
ADC_IB_MedianIntensity,3,0.6
Post1_IB_IntensityBasedEnergy,3,0.6
Post1_IB_IntensityBasedQuartileCoefficientOfDispersion,3,0.6
Post1_IB_TotalLesionGlycolysis,2,0.4
Post1_Morph_Compactness1,2,0.4
Post1_IH_IntensityHistogramMode_Intensity,2,0.4
Post1_IB_AreaUnderCurveCIVH,2,0.4
Post1_IB_IntensityBasedCoefficientOfVariation,2,0.4
ADC_GLSZM_GreyLevelVariance,2,0.4
Post1_IH_IntensityHistogramMean_Intensity,2,0.4
Post1_Morph_Compactness2,1,0.2
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2
ADC_GLCM_ClusterTendency,1,0.2
Post1_IB_IntensityRange,1,0.2
Post1_IB_IntensityBasedMedianAbsoluteDeviation,1,0.2
Post1_IB_75thIntensityPercentile,1,0.2
Post1_IB_50thIntensityPercentile,1,0.2
Post1_GLCM_InverseDifferenceMoment,1,0.2
Post1_GLCM_Autocorrelation,1,0.2
Post1_IB_IntensityBasedMeanAbsoluteDeviation,1,0.2
