Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful
SVM_Linear,0.7728631035808069,0.11231036671807701,0.6746875,0.6746875000000001,0.6768621114188981,0.8452306422006336,0.06991442035810695,0.7867970631061638,0.6354167571558876,0.11684005472405717,0.631578947368421,0.6770188729399255,0.09341536802634132,0.6303125,0.7294117647058824,0.16641965548006582,0.6833333333333333,0.704795321637427,0.2449298183480491,0.640625,0.6648351648351648,0.1099625255901965,0.6612903225806451,0.6492424242424243,0.24298703612439473,0.62,0.3218869647384621,0.19708795884322963,0.258364312267658,0.23503686613383074,8.4,8.4,4.079215610874228,4,8.0,16,0.5173558245689266,0.8048962644013133,0.6114133155924741,0.9010846957625093,0.5042735042735043,0.741393214682981,0.5027390054859724,0.740770596590909,0.47760345997286296,0.84375,0.4347621000820345,0.814021317829457,0.47825125048095424,0.7865205992509363,0.441843365253078,0.7777777777777778,0.005458504658464689,0.4677049621706697,0.1843020925211909,0.29665567346982225,2000,2000
LogisticRegression,0.7684547111580604,0.09730748069389229,0.70125,0.70125,0.6989843028624192,0.8396512971703315,0.060149869567440395,0.791969760689702,0.6553301770693075,0.10316438302372942,0.6491228070175439,0.6934077618288145,0.06443661849107747,0.66125,0.7733333333333332,0.11766241729815195,0.75,0.6110579479000531,0.20983781649631889,0.5625,0.646588042011383,0.1008650356992831,0.6428571428571429,0.7757575757575758,0.1469462649236889,0.76,0.3558726460289948,0.14913203349850418,0.3115942028985508,0.22631848137589686,8.4,8.4,4.079215610874228,4,8.0,16,0.5662001237240952,0.8210701866439571,0.6086824830894957,0.9003577400378628,0.5318648845244591,0.7480807086614171,0.5525624258787905,0.7564186118234627,0.5415865384615386,0.8889322916666664,0.3728813559322034,0.7272727272727273,0.4615000000000001,0.7669443609022555,0.631578947368421,0.875,0.0986751753993133,0.49220942195290157,0.17363163775896553,0.28501922106618216,2000,2000
SVM_RBF,0.7535783328845531,0.09468219039477033,0.65,0.65,0.6607032933210217,0.83160237046351,0.05908411087355592,0.7661745157536963,0.6463768115942029,0.10092897393230352,0.6403508771929824,0.685089048378522,0.06400152425312636,0.6425000000000001,0.7447075800016977,0.14569332601865392,0.7017543859649122,0.6876023391812864,0.24507386996023603,0.625,0.6627186360550205,0.10708262782826503,0.6611570247933884,0.6825757575757576,0.20597703296328038,0.66,0.33936802434195595,0.14964040710858614,0.2807017543859649,0.24213343151102334,8.4,8.4,4.079215610874228,4,8.0,16,0.4852328874508872,0.7945372596153846,0.5707226332991302,0.8815548857886869,0.5080582157258065,0.7551056086770371,0.5152662659245303,0.7550574712643677,0.5,0.8412698412698413,0.41817503392130256,0.8143131868131867,0.4674946412810491,0.7875205291970802,0.5085526315789478,0.7843487394957981,0.02797817148519408,0.502919179201157,0.18443713372614395,0.31070257119085154,2000,2000
RandomForest,0.7519659226118557,0.13279515592911492,0.6768750000000001,0.676875,0.6779778393351801,0.8051148931328017,0.11215754325363116,0.7486562672989392,0.6440125092299006,0.08370836190549835,0.6403508771929824,0.6688729399255715,0.08942550254121073,0.6446875000000001,0.7186813186813186,0.1498056543995778,0.7090909090909091,0.643806485911749,0.21973670600572856,0.609375,0.6466621396033162,0.11309339500457909,0.6554621848739496,0.693939393939394,0.17319182611131587,0.68,0.3045128689011176,0.17076610028689648,0.2837879252221882,0.2272787185541846,8.4,8.4,4.079215610874228,4,8.0,16,0.5169160487288136,0.8046980363883116,0.5452704422613164,0.8845544714025411,0.5046611167831618,0.7563025210084033,0.5163813164893617,0.7580530753968254,0.5,0.855072463768116,0.40383771929824563,0.7868852459016393,0.4666666666666667,0.7826637314254262,0.5238095238095238,0.8125,0.0305702873647747,0.5074968816494239,0.18835436858410853,0.2783712511233682,2000,2000
NaiveBayes,0.749079137237032,0.0548892954211417,0.7059375,0.7059375000000001,0.6949830717143736,0.7876402788275951,0.09868311488153463,0.7678293676448443,0.6102795754969668,0.07676874241855468,0.6140350877192983,0.5722117794486216,0.05244420788787407,0.5928125,0.6219696969696968,0.09535829683369432,0.6282051282051282,0.7456140350877193,0.17874085090456182,0.765625,0.6636314363143632,0.09293368509153624,0.6901408450704225,0.39880952380952384,0.25682299329814945,0.42,0.14956857004388321,0.10699539680245897,0.1914893617021276,0.28761484859510206,8.4,8.4,4.079215610874228,4,8.0,16,0.5531849145034561,0.8223344120049,0.5618442498575608,0.884959186085833,0.4891243961352657,0.7166703539823008,0.4749481606167057,0.6895937499999999,0.43548387096774194,0.7666860465116279,0.5789315155358276,0.9054054054054054,0.5184967320261438,0.7953280992536589,0.24444444444444444,0.5715045592705162,-0.05185051346766794,0.3844447316326448,0.20592966236133664,0.3883978417993637,2000,2000
ExtraTrees,0.7432010006651155,0.11138789345222463,0.6484375,0.6484375,0.6508156355801785,0.8215426855730046,0.10280345564346381,0.7622627333534192,0.6709276231015362,0.06608303272589913,0.6666666666666666,0.7031153641679957,0.0511966018863469,0.6746875,0.7604312354312354,0.13601658264989425,0.75,0.6456246677299309,0.18037416946229728,0.609375,0.6704721204721205,0.08298486789035522,0.6724137931034483,0.7606060606060605,0.1279024823660926,0.74,0.3673911894022312,0.1079270541951326,0.34043848964677226,0.23413028652365298,8.4,8.4,4.079215610874228,4,8.0,16,0.48736362773248026,0.7900393185538651,0.5816674142515126,0.8777516513905895,0.5317267172355669,0.7867677193828351,0.5450880455808136,0.7888566300675675,0.5434627329192546,0.8888888888888888,0.4142733990147784,0.7966273476866697,0.48978506296135477,0.8032821913969455,0.575,0.8775510204081632,0.08257244188294384,0.5692511427803172,0.19823926534354336,0.2776575013414932,2000,2000
GradientBoosting,0.7384822593674268,0.08854741080752161,0.6481250000000001,0.6481250000000001,0.6315789473684211,0.7906606421966946,0.09496458754082619,0.7594722647746659,0.5567997220171133,0.08424723997180289,0.5614035087719298,0.5802756892230577,0.08438070583336993,0.5393749999999999,0.6275091575091575,0.1699426222021256,0.5897435897435898,0.7557894736842106,0.1995451892391206,0.71875,0.6438402457757296,0.04171445722115354,0.647887323943662,0.40476190476190477,0.349278491826519,0.36,0.13851668541432316,0.13707637742184284,0.081237911025145,0.24622731990422575,8.4,8.4,4.079215610874228,4,8.0,16,0.4900144677558931,0.7773835559132838,0.5869891490022737,0.8765258880514528,0.42853896103896105,0.6825553983969825,0.42031449654996167,0.649792605443403,0.403485987696514,0.741958525345622,0.5142857142857142,0.8888888888888888,0.4736700622524052,0.7659701872850044,0.20454545454545456,0.5250105932203389,-0.1566868786339823,0.2991897506925206,0.20167297865249653,0.3020185244224359,2000,2000
KNN,0.7298266672190117,0.06612878519545817,0.6340625000000001,0.6340625000000001,0.6376192674669129,0.7899127206107284,0.06751296056125858,0.7180268229830983,0.621468386685778,0.13028236974640403,0.6140350877192983,0.6613051568314725,0.08962169682393392,0.6146875,0.7301282051282051,0.160576091404776,0.6724137931034483,0.6817012227538543,0.25973381832223835,0.609375,0.6396181274442144,0.1560979420436439,0.639344262295082,0.6409090909090909,0.2327422659311809,0.62,0.2998139412227897,0.19398294337751054,0.22640345465761869,0.25230554710140557,8.4,8.4,4.079215610874228,4,8.0,16,0.4660224009993289,0.7781136046761047,0.5201742818166577,0.858240268521562,0.4827586206896552,0.7333712121212118,0.48780419968449634,0.7322641531004206,0.4642857142857143,0.8260869565217391,0.4053968525487513,0.8142989417989417,0.4523809523809524,0.7761408783421023,0.4599583333333334,0.7631578947368421,-0.02383813589280436,0.4541788221380894,0.1898148566371403,0.3263476943230004,2000,2000
LightGBM,0.6894498298086816,0.09169667679612652,0.6699999999999999,0.6699999999999999,0.657356109572176,0.7716999107408763,0.08066129580120933,0.758226005075462,0.586161664422534,0.0935702945846791,0.5877192982456141,0.5918413457887143,0.12014075472289963,0.5803125,0.6255555555555554,0.16471449297961266,0.6307692307692307,0.653163211057948,0.1751877316484741,0.640625,0.6217312944676936,0.11866315249993706,0.6356589147286822,0.5305194805194805,0.20067328249851135,0.52,0.16019709702062643,0.22089872607380712,0.1609771374882556,0.2443441430587467,8.4,8.4,4.079215610874228,4,8.0,16,0.5404702171361503,0.7795303520114941,0.5629587898618226,0.8738258072632006,0.4523459383753502,0.6975052521008401,0.4541147700462666,0.6859138422553056,0.41069233021077284,0.7838045738045737,0.43478260869565216,0.8035714285714286,0.4443952802359883,0.7624349139472952,0.3845744680851065,0.6538461538461539,-0.09037485183445497,0.3709097942702441,0.20724741789264695,0.2847124947291127,2000,2000
XGBoost,0.6716280140203585,0.0614618351283435,0.6240625,0.6240625,0.6217297630040013,0.7601195678128068,0.09423556522784834,0.7323517116764022,0.5809465896422418,0.05757520899916625,0.5789473684210527,0.5987791448317764,0.06061485150380678,0.5725,0.6393217893217893,0.14979793740172678,0.625,0.6549175970228601,0.1780612373031748,0.625,0.6187192118226601,0.08356270051378617,0.625,0.5426406926406926,0.18817928370051845,0.52,0.17642760257649812,0.1100731008050785,0.1449999999999999,0.29370727910475725,8.4,8.4,4.079215610874228,4,8.0,16,0.4910375004332305,0.7516029372155343,0.5583668847430661,0.8544587690201754,0.48075980392156864,0.6762816518438791,0.4791543079096045,0.6719270614954578,0.43902439024390244,0.7857380952380951,0.45647233201581033,0.783797032326444,0.4646374458874459,0.7361132413087935,0.40291044776119417,0.6666666666666666,-0.038998071982486324,0.33739009434024786,0.21997210706322495,0.37372924458960255,2000,2000
