fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015625,0.9830045495391719
0.0,0.265625,0.8164759020949397
0.02,0.265625,0.7795960186243265
0.02,0.28125,0.7646152089578606
0.04,0.28125,0.7616784598339743
0.04,0.34375,0.7452618276662311
0.06,0.34375,0.7357578277328409
0.06,0.421875,0.7282792087584257
0.08,0.421875,0.7139602621917093
0.08,0.453125,0.6924947502790988
0.1,0.453125,0.6896051367668807
0.1,0.484375,0.6563977977275093
0.16,0.484375,0.6305136616982451
0.16,0.5625,0.6145045698691932
0.18,0.5625,0.6047233416423156
0.18,0.578125,0.5919813249872192
0.2,0.578125,0.5848253861933222
0.2,0.59375,0.5755049418136634
0.24,0.59375,0.543276469411301
0.24,0.671875,0.48959932429484576
0.26,0.671875,0.48571955504056535
0.26,0.703125,0.46588826874322037
0.3,0.703125,0.4623904594650996
0.3,0.71875,0.4578589964834487
0.32,0.71875,0.4494719863223745
0.32,0.734375,0.4430850408046657
0.34,0.734375,0.4303614493965263
0.34,0.75,0.4254325145723814
0.4,0.75,0.4138336719341949
0.4,0.765625,0.4122110097305023
0.42,0.765625,0.409712552126052
0.42,0.796875,0.3833759731813903
0.44,0.796875,0.38206519804393196
0.44,0.8125,0.3807788230436794
0.46,0.8125,0.37406251727251627
0.46,0.828125,0.37222771796318044
0.52,0.828125,0.3575473754433187
0.52,0.875,0.35107286863526865
0.6,0.875,0.33436504985130044
0.6,0.890625,0.3311860721924145
0.62,0.890625,0.3298649824535297
0.62,0.90625,0.3130648419878002
0.66,0.90625,0.29956000164111446
0.66,0.9375,0.28549532513838005
0.84,0.9375,0.18763060875460766
0.84,0.953125,0.17826475538548348
0.88,0.953125,0.15782765118724304
0.88,0.96875,0.1545637484569593
0.94,0.96875,0.10111368149325768
0.94,1.0,0.08271544024160976
1.0,1.0,0.047621600458274606
