Feature,Variance
ADC_Morph_Compacity,2.3439941326774003e-05
Post2_Morph_Compactness1,2.4859845582611313e-05
ADC_GLCM_InverseDifferenceMoment,0.00010380891210831233
Post2_GLSZM_SmallZoneLowGreyLevelEmphasis,0.00010818179881837474
Post2_IH_RootMeanSquare_Intensity,0.0001263774809281391
Post2_GLCM_NormalisedInverseDifferenceMoment,0.00025712066452555807
ADC_GLSZM_HighGrayLevelZoneEmphasis,0.0002681378958987018
ADC_IH_Uniformity_Intensity,0.0003451327032100712
Post2_NGTDM_Coarseness,0.0003857389060751942
ADC_GLCM_InverseDifference,0.0007265953479623519
Post2_GLCM_NormalisedInverseDifference,0.0009613521087206136
Post2_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.002848337549831414
Post2_GLSZM_LowGrayLevelZoneEmphasis,0.002888702181288907
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.003567340288228816
Post2_GLRLM_ShortRunLowGreyLevelEmphasis,0.004179601263615089
Post2_GLSZM_NormalisedZoneSizeNonUniformity,0.004372158425481493
Post2_GLCM_AngularSecondMoment,0.005056653560309763
ADC_Morph_SphericalDisproportion,0.0052180005089197574
ADC_GLRLM_RunEntropy,0.005453165104851857
Post2_Morph_Sphericity,0.005598491404246847
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.005625789249099341
Post2_GLRLM_ShortRunsEmphasis,0.005783581439728021
Post2_GLSZM_NormalisedGreyLevelNonUniformity,0.006283310654956577
Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,0.006636883220642256
ADC_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.006950365071914307
ADC_GLRLM_HighGreyLevelRunEmphasis,0.007126624225935302
ADC_GLSZM_NormalisedZoneSizeNonUniformity,0.00890821769752067
Post2_GLCM_InverseVariance,0.00895234125270508
Post2_GLRLM_RunPercentage,0.009297192645540076
Post2_IH_Uniformity_Intensity,0.009855496108997396
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.010568902030522749
ADC_GLCM_NormalisedInverseDifferenceMoment,0.011405445154044817
Post2_GLSZM_SmallZoneEmphasis,0.011621218807537902
Post2_GLCM_JointMaximum,0.011757697261129508
ADC_Morph_Compactness1,0.012769604875587181
Post2_Morph_Compactness2,0.013126397794516088
Post2_GLRLM_LowGreyLevelRunEmphasis,0.013185531660266309
ADC_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,0.013203193767325457
Post2_GLCM_Correlation,0.013408013567770539
ADC_GLSZM_ZoneSizeNonUniformity,0.016006809531913413
ADC_NGTDM_Strength,0.017731775782668345
ADC_GLCM_ClusterProminence,0.017779714965068437
ADC_GLSZM_GreyLevelNonUniformity,0.018457892906577848
ADC_NGTDM_Coarseness,0.01947662001219475
Post2_GLCM_InverseDifference,0.019497586829172013
Post2_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.019689597513347788
ADC_GLRLM_RunLengthNonUniformity,0.020548033273406208
ADC_GLCM_Dissimilarity,0.021683653000298845
Post2_GLSZM_ZonePercentage,0.02228103969158908
ADC_GLSZM_LargeZoneEmphasis,0.0223890182058499
Post2_IB_IntensityBasedQuartileCoefficientOfDispersion,0.02321249954052781
ADC_GLCM_InverseVariance,0.023222059183577632
ADC_Morph_Sphericity,0.023833972605674953
ADC_Morph_Compactness2,0.023833972605674963
Post2_GLCM_InverseDifferenceMoment,0.02453768794537982
Post2_Morph_Asphericity,0.026765141288009088
Post2_Morph_SphericalDisproportion,0.02676514128800909
ADC_Morph_CentreOfMassShift_mm,0.028124947465735253
ADC_GLCM_NormalisedInverseDifference,0.028339160917768176
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.030964555953092075
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.03335162693772948
Post2_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.033887147422080474
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.035540021356515225
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.03743442157235297
ADC_IH_AreaUnderCurveCIVH_Intensity,0.04291786667327222
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.04434232424681216
ADC_GLCM_SumEntropy,0.04444317976154025
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.04591258334336167
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.04812147377261083
Post2_IB_IntensityBasedCoefficientOfVariation,0.051892011911098594
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.05226997793966428
ADC_GLRLM_LongRunsEmphasis,0.05283257600546224
ADC_LOCAL_INTENSITY_HISTOGRAM_LocalIntensityPeak_Intensity,0.0558434424903828
ADC_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.06002962041324902
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.06447099853420142
Post2_IH_IntensityHistogramEntropyLog10_Intensity,0.0768876284721566
ADC_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,0.08275960275697525
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.08312670568351828
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.08429995937929767
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,0.09282101892516095
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.09824688884901152
ADC_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.10530433318005053
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.10595982646915428
ADC_IB_IntensityBasedCoefficientOfVariation,0.11183930946966583
Post2_NGTDM_Contrast,0.11436160149612715
ADC_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.11915433453421616
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,0.12689951127797203
Post2_Morph_CentreOfMassShift_mm,0.18803730740150645
Post2_GLRLM_RunLengthVariance,0.2529138230896858
Post2_GLCM_JointEntropyLog10,0.2703308602887859
ADC_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.3051690046919128
Post2_GLRLM_RunEntropy,0.37201974544387545
ADC_GLCM_JointEntropyLog2,0.3748231718439644
Post2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.42358083101196425
Post2_IB_IntensitySkewness,0.6665971557853505
Post2_IH_IntensityHistogramSkewness_Intensity,0.6733548856942065
ADC_GLRLM_RunLengthVariance,0.6985279658813316
Post2_IH_IntensityHistogramEntropyLog2_Intensity,0.8484708396101746
Post2_GLSZM_ZoneSizeEntropy,0.8590774283948324
ADC_IB_IntensityBasedMedianAbsoluteDeviation,0.9363432028029117
Post2_GLRLM_LongRunLowGreyLevelEmphasis,1.012252789910656
ADC_GLCM_JointEntropyLog10,1.140375607460678
ADC_GLCM_Contrast,1.140375607460678
ADC_IH_IntensityHistogramEntropyLog10_Intensity,1.3148926591821373
Post2_GLRLM_LongRunsEmphasis,1.4290639827363947
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,1.4848505190755095
ADC_NGTDM_Contrast,1.6291991616339654
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1.7111122925612101
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,1.7566470203778548
ADC_GLRLM_GreyLevelVariance,2.0480269716620203
ADC_GLSZM_ZoneSizeVariance,2.2628304067310365
Post2_IH_IntensityHistogramMinimumGreyLevel_Intensity,2.507540781779006
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,2.6359307323153867
Post2_GLCM_JointEntropyLog2,2.9831568038899294
ADC_IH_IntensityHistogramVariance_Intensity,3.036758735035229
