,SVM_Linear,SVM_RBF,LogisticRegression,GradientBoosting,RandomForest,ExtraTrees,XGBoost,LightGBM,NaiveBayes,KNN
SVM_Linear,1.0,0.38969470390084693,0.05355811973001715,0.03569317693643034,0.958086061996118,0.9920414175686703,0.2817673027650238,0.9408335046100039,0.06992999425029879,0.03521422835939795
SVM_RBF,0.38969470390084693,1.0,0.4043010858210154,0.014923957288095561,0.6843773001412933,0.6648103305331532,0.1396160087931216,0.7888170682668622,0.027460459314821217,0.008181385672517184
LogisticRegression,0.05355811973001715,0.4043010858210154,1.0,0.006380416554982021,0.382589089593119,0.3806190504283511,0.07388721963056512,0.5329702965161944,0.010069981780226816,0.001252908841450967
GradientBoosting,0.03569317693643034,0.014923957288095561,0.006380416554982021,1.0,0.020736090302584727,0.046268246693160875,0.3802854334954757,0.041225224558105684,0.9711888546300792,0.8207558348792712
RandomForest,0.958086061996118,0.6843773001412933,0.382589089593119,0.020736090302584727,1.0,0.9476315111766319,0.1580207063224882,0.9666747367793402,0.11523553006825095,0.08248601886045644
ExtraTrees,0.9920414175686703,0.6648103305331532,0.3806190504283511,0.046268246693160875,0.9476315111766319,1.0,0.2730116639074145,0.9111688974745803,0.09908144787536073,0.09151170118221723
XGBoost,0.2817673027650238,0.1396160087931216,0.07388721963056512,0.3802854334954757,0.1580207063224882,0.2730116639074145,1.0,0.18375534378860248,0.5159959080129843,0.617769702125613
LightGBM,0.9408335046100039,0.7888170682668622,0.5329702965161944,0.041225224558105684,0.9666747367793402,0.9111688974745803,0.18375534378860248,1.0,0.14956197395281,0.15818279194539053
NaiveBayes,0.06992999425029879,0.027460459314821217,0.010069981780226816,0.9711888546300792,0.11523553006825095,0.09908144787536073,0.5159959080129843,0.14956197395281,1.0,0.7854804571873524
KNN,0.03521422835939795,0.008181385672517184,0.001252908841450967,0.8207558348792712,0.08248601886045644,0.09151170118221723,0.617769702125613,0.15818279194539053,0.7854804571873524,1.0
