Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
SVM_Linear,0.7410646565909723,0.07517197369824999,0.6840625,0.7447090059704912,0.113440704115997,0.6886586211516726,0.641923294097207,0.07271891083502657,0.6403508771929824,0.6685951621477938,0.06466913351358666,0.6446875000000001,0.73003663003663,0.1622326085793243,0.7090909090909091,0.6349175970228601,0.19875237888098835,0.609375,0.643114791810444,0.10382416113481031,0.6554621848739496,0.7022727272727273,0.19884884504876263,0.68,12.0,12.0,4.1952353926806065,8,10.0,18
LogisticRegression,0.736877501375109,0.09603164353612552,0.6846875,0.7775747950391787,0.08838780687038066,0.7174776644221735,0.6599675686632208,0.04397444878173507,0.6578947368421053,0.6875451887293993,0.044997235610256585,0.6603125000000001,0.7404761904761905,0.14293648590289176,0.7192982456140351,0.6743328017012228,0.1883203822387237,0.640625,0.6725284093570538,0.05984334257413662,0.6776859504132231,0.7007575757575758,0.1882998702566184,0.68,12.0,12.0,4.1952353926806065,8,10.0,18
ExtraTrees,0.7282683292252671,0.06818172947791552,0.656875,0.7345713929369625,0.0873995620223869,0.7224724477273409,0.6541444063183193,0.10087029796305984,0.6491228070175439,0.6704205589731905,0.09717833697684157,0.656875,0.7078144078144077,0.12765718127099454,0.7307692307692307,0.6171398192450824,0.27349285851612115,0.59375,0.6266666666666666,0.1872488491801068,0.6551724137931034,0.7237012987012987,0.1004475937154573,0.72,12.0,12.0,4.1952353926806065,8,10.0,18
GradientBoosting,0.7257634041485718,0.14145404202410336,0.62640625,0.7719516458414604,0.11736323424340263,0.701014143100998,0.5826651609260305,0.10397270271848084,0.5789473684210527,0.6034907344117869,0.1024100502814231,0.58125,0.660934065934066,0.12677390025083476,0.6428571428571429,0.599946836788942,0.25576052055904824,0.5625,0.5859894179894181,0.13272081699089489,0.6,0.607034632034632,0.22062542389553422,0.6,12.0,12.0,4.1952353926806065,8,10.0,18
SVM_RBF,0.7204080046304926,0.09291123047940375,0.6662500000000001,0.7551497389702272,0.12070216774361064,0.7153656446086272,0.6168773255729778,0.08439325230079009,0.6140350877192983,0.6520872256398572,0.06483435908307165,0.6015625,0.6773015873015873,0.1439338612425669,0.6428571428571429,0.763806485911749,0.21764802628884145,0.703125,0.6742857142857143,0.07288048178936761,0.6716417910447762,0.5403679653679653,0.23310030207886331,0.5,12.0,12.0,4.1952353926806065,8,10.0,18
LightGBM,0.7174359337277998,0.07705544577883121,0.6575,0.7492835053220642,0.10634966552806047,0.6495329182265608,0.6357121139729836,0.09479448434258757,0.631578947368421,0.6536130097972204,0.10390365095548824,0.6303125,0.7016483516483516,0.1121708376720753,0.6833333333333333,0.6850398724082936,0.1958798250988776,0.640625,0.6657569786535303,0.06475944965486632,0.6612903225806451,0.6221861471861472,0.19063366670175527,0.62,12.0,12.0,4.1952353926806065,8,10.0,18
XGBoost,0.6912319826195426,0.11825881066384804,0.6503125000000001,0.7062137662156223,0.12233256827842436,0.6496163726640465,0.6512719164893077,0.0691432402966588,0.6491228070175439,0.6816360978203083,0.07101688678647862,0.6525000000000001,0.7275974025974026,0.14784817373226358,0.7142857142857143,0.6609994683678895,0.1953404349411971,0.625,0.6618898975420715,0.08251820527839418,0.6666666666666666,0.7022727272727273,0.16861124537264915,0.68,12.0,12.0,4.1952353926806065,8,10.0,18
RandomForest,0.6751805477882034,0.09317707327092403,0.6574999999999999,0.6908332444832586,0.11078522682688655,0.6604988908334734,0.6439748657139961,0.10035778822805676,0.6403508771929824,0.663941292625503,0.09790708780432153,0.6403125000000001,0.6992857142857143,0.11346830698191636,0.6949152542372882,0.6791812865497076,0.22023102984816958,0.640625,0.6621287646774903,0.1028585217728659,0.6666666666666666,0.6487012987012987,0.14006118702425235,0.64,12.0,12.0,4.1952353926806065,8,10.0,18
NaiveBayes,0.6627556379470254,0.11387133710078287,0.6053124999999999,0.719206431040729,0.1281367746496763,0.647840783636916,0.5906615124006429,0.09065817112657619,0.5964912280701754,0.5884894053315106,0.11242963012240996,0.5771875,0.6169298245614036,0.16476187616897184,0.618421052631579,0.73585326953748,0.09041159939329761,0.734375,0.6580238547031716,0.09023264403444739,0.6714285714285714,0.4411255411255411,0.23702494583283568,0.42,12.0,12.0,4.1952353926806065,8,10.0,18
KNN,0.6572004045927491,0.09070516896470754,0.6417187499999999,0.6685413984565411,0.11422719404617342,0.6554762919296087,0.604913926653057,0.07689781081283745,0.6052631578947368,0.6131111870585555,0.07611867870385156,0.6025,0.6533333333333334,0.125304625525845,0.6557377049180327,0.6394258373205741,0.09915989585338407,0.625,0.6351094276094276,0.07351593944276491,0.64,0.5867965367965368,0.11096615420218203,0.58,12.0,12.0,4.1952353926806065,8,10.0,18
