Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
ADC_IB_StandardDeviation,ADC_IB_StandardDeviation,0.0596304084652284,2
ADC_IH_IntensityHistogramMedian_Intensity,ADC_IH_IntensityHistogramMedian_Intensity,0.052246941381331055,4
ADC_IB_MedianIntensity,ADC_IB_MedianIntensity,0.05203949109265181,3
T2_Morph_Compactness2,T2_Morph_Compactness2,0.039657000024048074,4
T2_Morph_Compactness1,T2_Morph_Compactness1,0.037852737825918685,3
T2_Morph_Sphericity,T2_Morph_Sphericity,0.036757946442456446,2
T2_GLSZM_NormalisedZoneSizeNonUniformity,T2_GLSZM_NormalisedZoneSizeNonUniformity,0.021417507111829236,2
T2_GLCM_ClusterShade,T2_GLCM_ClusterShade,0.02118096883402831,3
ADC_GLCM_ClusterTendency,ADC_GLCM_ClusterTendency,0.01943904261446562,3
T2_IB_StandardDeviation,T2_IB_StandardDeviation,0.012185129760521501,2
T2_IB_IntensityBasedQuartileCoefficientOfDispersion,T2_IB_IntensityBasedQuartileCoefficientOfDispersion,0.01056010919970004,2
T2_IH_IntensityHistogramSkewness_Intensity,T2_IH_IntensityHistogramSkewness_Intensity,0.008274325302848766,3
T2_IB_IntensityBasedEnergy,T2_IB_IntensityBasedEnergy,0.007602350045265003,3
T2_IB_IntensityBasedCoefficientOfVariation,T2_IB_IntensityBasedCoefficientOfVariation,0.005282158602717742,2
ADC_Morph_Volume_cm3,ADC_Morph_Volume_cm3,0.004085151702148648,2
