Feature_Name,Selection_Count,Selection_Frequency,Selected_As_Stable
ADC_IH_IntensityHistogramMedian_Intensity,4,0.8,True
T2_Morph_Compactness2,4,0.8,True
T2_Morph_Compactness1,3,0.6,True
T2_IH_IntensityHistogramSkewness_Intensity,3,0.6,True
T2_GLCM_ClusterShade,3,0.6,True
ADC_GLCM_ClusterTendency,3,0.6,True
ADC_IB_MedianIntensity,3,0.6,True
T2_IB_IntensityBasedEnergy,3,0.6,True
T2_IB_StandardDeviation,2,0.4,True
T2_GLSZM_NormalisedZoneSizeNonUniformity,2,0.4,True
T2_IB_IntensityBasedQuartileCoefficientOfDispersion,2,0.4,True
T2_Morph_Sphericity,2,0.4,True
ADC_Morph_Volume_cm3,2,0.4,True
T2_IB_IntensityBasedCoefficientOfVariation,2,0.4,True
ADC_IB_StandardDeviation,2,0.4,True
ADC_GLSZM_GreyLevelVariance,1,0.2,False
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2,False
ADC_GLSZM_SmallZoneEmphasis,1,0.2,False
T2_IB_RootMeanSquareIntensity,1,0.2,False
T2_IH_IntensityHistogramMode_Intensity,1,0.2,False
T2_IB_AreaUnderCurveCIVH,1,0.2,False
T2_IH_IntensityHistogramInterquartileRange_Intensity,1,0.2,False
ADC_IH_IntensityHistogramStd_Intensity,1,0.2,False
T2_IB_IntensityInterquartileRange,1,0.2,False
T2_IB_IntensityBasedRobustMeanAbsoluteDeviation,1,0.2,False
T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,1,0.2,False
T2_GLSZM_SmallZoneLowGreyLevelEmphasis,1,0.2,False
