Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
LogisticRegression,0.7937046933219183,0.0908448120970785,0.7378125,0.871840829379462,0.04903788923671058,0.817129233037518,0.6621943274117188,0.07998981503294453,0.6578947368421053,0.6988729399255715,0.05694138992851836,0.666875,0.7643467643467644,0.128774825867073,0.7450980392156863,0.6371398192450823,0.215358811187707,0.59375,0.65828678946326,0.08908720867166214,0.6608695652173913,0.7606060606060606,0.14803580834029376,0.74,12.8,12.8,4.1182520563948,8,14.0,18
SVM_RBF,0.7629607190611976,0.10109716813128856,0.6990625,0.8356101785486374,0.07912652272460483,0.7769968647704677,0.6346262433218955,0.11685103026711509,0.631578947368421,0.6767916002126528,0.09924529342664072,0.6346875000000001,0.7282539682539684,0.18122897268146346,0.6964285714285714,0.6581286549707601,0.2427489817851431,0.609375,0.6449554655870445,0.12705225357990896,0.65,0.6954545454545454,0.21386727258901683,0.66,12.8,12.8,4.1182520563948,8,14.0,18
SVM_Linear,0.7477913447530672,0.07887678139126662,0.6931250000000001,0.8331840069170479,0.06300052566746607,0.7849442633044421,0.663197671893324,0.08183277834853195,0.6578947368421053,0.7002764486975014,0.04765728232437858,0.666875,0.7687912087912088,0.1295428690002944,0.7450980392156863,0.639946836788942,0.21867257929040848,0.59375,0.6587939119703825,0.09427631434941817,0.6608695652173913,0.7606060606060606,0.14803580834029376,0.74,12.8,12.8,4.1182520563948,8,14.0,18
LightGBM,0.7197850227036829,0.17340961567472526,0.6331249999999999,0.7804541366582579,0.17492227239114574,0.709048140006626,0.6234287451678756,0.11860236213112063,0.6228070175438597,0.6552325890483786,0.12863259437945593,0.6225,0.6892673992673992,0.18818378204915173,0.6779661016949152,0.6581924508240297,0.1976205020741674,0.625,0.646294670846395,0.12351310788535212,0.6504065040650406,0.6522727272727272,0.19087902601167633,0.62,12.8,12.8,4.1182520563948,8,14.0,18
GradientBoosting,0.7128989081979512,0.13283501891596072,0.6364062500000001,0.7730406424559831,0.13031076438517755,0.7062901325359017,0.6062126279517583,0.11099968139317895,0.6052631578947368,0.6270579858737754,0.11138781187125851,0.606875,0.6680086580086579,0.16067584626374845,0.6666666666666666,0.6137480063795853,0.1626307085323603,0.59375,0.6225582137161084,0.11458999443618301,0.628099173553719,0.6403679653679653,0.13998389582018916,0.62,12.8,12.8,4.1182520563948,8,14.0,18
ExtraTrees,0.7030292443689573,0.1654500046607552,0.5971875000000001,0.8103887451355115,0.12696244823249936,0.6582686437825244,0.6017504234895539,0.13995070479382976,0.5964912280701754,0.6318819776714514,0.1300944301943215,0.6034375000000001,0.7038461538461538,0.18826520385416026,0.6730769230769231,0.5849760765550239,0.1970142689562505,0.546875,0.6054276094276094,0.13737065818163885,0.603448275862069,0.6787878787878788,0.20555865780797544,0.66,12.8,12.8,4.1182520563948,8,14.0,18
KNN,0.7019855596291003,0.12099747239038808,0.67296875,0.7826192445076547,0.0953778771259453,0.7606045003524446,0.6349216001389915,0.09112181441367691,0.631578947368421,0.6624840510366827,0.08729537298469944,0.6390625,0.7216450216450216,0.16106921467902513,0.7115384615384616,0.6060287081339713,0.1710359687478224,0.578125,0.634928774928775,0.09862647102005753,0.6379310344827587,0.718939393939394,0.1509915194135173,0.7,12.8,12.8,4.1182520563948,8,14.0,18
NaiveBayes,0.6966956993033547,0.08286173460387555,0.6493749999999999,0.7802446997921275,0.08920093945363192,0.7255601280017155,0.5730877817834339,0.10372336551611086,0.5789473684210527,0.5832366902103744,0.09991944436979075,0.5615625,0.6191558441558442,0.19995372958512292,0.6081081081081081,0.7090058479532163,0.235679218629707,0.703125,0.6255917687874211,0.140342601218253,0.6521739130434783,0.45746753246753247,0.2602919825762496,0.42,12.8,12.8,4.1182520563948,8,14.0,18
XGBoost,0.6887074205256024,0.16586590852462121,0.6290625,0.737452486292256,0.17205853032136753,0.6939074810968949,0.5902575685184381,0.11427596579550135,0.5877192982456141,0.6231153641679958,0.12485960388355712,0.5846875,0.6630947483888661,0.18840377281356718,0.639344262295082,0.6553216374269006,0.23998096204827885,0.609375,0.6197173197173197,0.1214439428444571,0.624,0.5909090909090909,0.21195881229228541,0.56,12.8,12.8,4.1182520563948,8,14.0,18
RandomForest,0.686492666468743,0.19672143825680607,0.5934375000000001,0.7754087354442719,0.16855578639547217,0.6295179122823046,0.6013551665725579,0.122681382053239,0.5964912280701754,0.6350132908027646,0.11674976457875123,0.596875,0.6877289377289377,0.18812118406780878,0.6551724137931034,0.6427538543328017,0.22831125385019782,0.59375,0.620935064935065,0.13520408416577298,0.6229508196721312,0.6272727272727272,0.20074471085137602,0.6,12.8,12.8,4.1182520563948,8,14.0,18
