Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post2_GLCM_Correlation
1,2,ADC_IB_MedianIntensity
1,3,Post2_IH_IntensityHistogramMode_Intensity
1,4,ADC_GLSZM_SmallZoneEmphasis
1,5,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
1,6,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
1,7,Post2_Morph_IntegratedIntensity_Intensity
1,8,Post2_NGTDM_Busyness
1,9,ADC_IH_MaximumHistogramGradient_Intensity
1,10,Post2_GLSZM_SmallZoneEmphasis
1,11,ADC_GLCM_ClusterTendency
1,12,Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
1,13,Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
1,14,ADC_Morph_SurfaceToVolumeRatio_cm
2,1,Post2_GLCM_Correlation
2,2,Post2_Morph_Compacity
2,3,Post2_GLCM_InverseVariance
2,4,ADC_GLCM_ClusterTendency
2,5,Post2_GLCM_DifferenceVariance
2,6,ADC_GLRLM_LowGreyLevelRunEmphasis
2,7,Post2_Morph_SphericalDisproportion
2,8,Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
2,9,ADC_GLSZM_GreyLevelVariance
2,10,Post2_IH_MinimumHistogramGradientGreyLevel_Intensity
2,11,ADC_GLCM_DifferenceAverage
2,12,Post2_GLSZM_NormalisedGreyLevelNonUniformity
2,13,Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist
2,14,Post2_Morph_Asphericity
3,1,Post2_IB_MaximumIntensity
3,2,ADC_NGTDM_Coarseness
3,3,Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
3,4,ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
3,5,ADC_IB_MedianIntensity
3,6,Post2_IH_IntensityHistogramMaximumGreyLevel_Intensity
3,7,ADC_Morph_Compactness1
3,8,ADC_GLCM_ClusterTendency
3,9,Post2_IH_IntensityHistogramMode_Intensity
3,10,ADC_GLSZM_GreyLevelVariance
3,11,ADC_Morph_Compactness2
3,12,Post2_GLSZM_GreyLevelVariance
3,13,ADC_GLRLM_RunEntropy
3,14,ADC_IH_IntensityHistogramMedian_Intensity
4,1,Post2_IB_MaximumIntensity
4,2,ADC_GLSZM_LowGrayLevelZoneEmphasis
4,3,Post2_IH_IntensityHistogramMaximumGreyLevel_Intensity
4,4,Post2_IB_50thIntensityPercentile
4,5,ADC_IH_IntensityHistogramMedian_Intensity
4,6,Post2_IH_IntensityHistogramMode_Intensity
4,7,ADC_Morph_SurfaceToVolumeRatio_cm
4,8,ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm
4,9,Post2_GLCM_DifferenceVariance
4,10,Post2_GLSZM_SmallZoneLowGreyLevelEmphasis
4,11,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
4,12,ADC_IH_IntensityHistogramSkewness_Intensity
4,13,ADC_GLSZM_LargeZoneLowGreyLevelEmphasis
4,14,Post2_IB_MedianIntensity
5,1,Post2_IH_IntensityHistogram50thPercentile
5,2,Post2_IH_IntensityHistogramMode_Intensity
5,3,ADC_IB_MedianIntensity
5,4,Post2_Morph_Compacity
5,5,ADC_NGTDM_Strength
5,6,Post2_Morph_IntegratedIntensity_Intensity
5,7,Post2_IB_MedianIntensity
5,8,ADC_GLCM_DifferenceAverage
5,9,ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
5,10,Post2_IB_50thIntensityPercentile
5,11,ADC_IH_IntensityHistogramMedian_Intensity
5,12,Post2_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
5,13,ADC_Morph_voxelsCounting_vx
5,14,Post2_IH_IntensityHistogramMedian_Intensity
