Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful
ExtraTrees,0.6904769921436589,0.15120642191275827,0.6473372781065089,0.6473372781065089,0.6505953685440865,0.7690289808415678,0.09121669050071375,0.7019100977360289,0.6078228104034556,0.055239731529563706,0.5982905982905983,0.6401136363636363,0.08269432457062713,0.5961538461538461,0.6877472527472527,0.13889862113522408,0.6451612903225806,0.6602272727272728,0.28076231823170816,0.6153846153846154,0.61158357771261,0.07826146273616087,0.6299212598425197,0.6199999999999999,0.2590009294992616,0.5769230769230769,0.24405296011870775,0.12530173873249514,0.19120458891013392,0.23409853703484781,10.4,10.4,4.963869458396343,4,8.0,18,0.47497045454545456,0.8129436566755744,0.5174695456652391,0.8628951133092144,0.4552660753880266,0.7348533411033411,0.4557266301406926,0.7304830542145933,0.42549967762733726,0.8192951807228914,0.3888888888888889,0.8205128205128205,0.4193360840210053,0.7734888845040778,0.3888888888888889,0.7619360902255637,-0.08433051936776696,0.45162156467999437,0.2115066774092928,0.2574621425579475,2000,2000
LogisticRegression,0.6456748035914702,0.14033014540684458,0.6201183431952664,0.6201183431952664,0.6202060048213894,0.7158857453490867,0.11691592213256728,0.7188209142802386,0.6058753791011855,0.09355541991460405,0.5811965811965812,0.6145454545454545,0.12239215167632275,0.5673076923076923,0.6383448540706604,0.08378510731212824,0.6081081081081081,0.7313131313131314,0.22220844769062917,0.6923076923076923,0.6516380266857839,0.05182837437026141,0.6474820143884892,0.49777777777777776,0.2712931993250107,0.4423076923076923,0.20222089257768694,0.20483172109058312,0.1369863013698629,0.24598716946431928,10.4,10.4,4.963869458396343,4,8.0,18,0.48698689703154,0.7494172521467602,0.5597632948860828,0.8505342410493079,0.45358879595409457,0.7000213675213673,0.4493349228896104,0.6855997593553969,0.40779352226720667,0.7875094696969697,0.5124923780487805,0.8481196644097732,0.47998347107438016,0.7714341957255343,0.26666666666666666,0.6400256410256409,-0.10174952801200929,0.3674080539003965,0.20490903503092836,0.29698294943873915,2000,2000
RandomForest,0.6450561167227834,0.15972655330490543,0.6041420118343196,0.6041420118343195,0.6242968807071371,0.718747552844601,0.12436145836891661,0.661787580530651,0.6028866832092639,0.10778970996055347,0.5811965811965812,0.6390656565656565,0.13399975025370112,0.5826923076923076,0.6885324675324676,0.16631955781321187,0.6379310344827587,0.627020202020202,0.22476960508454033,0.5692307692307692,0.6100697346507047,0.08425874921151008,0.6016260162601627,0.651111111111111,0.2782307417935918,0.5961538461538461,0.2315724743255425,0.22718454656617856,0.1631878557874763,0.24383588092195757,10.4,10.4,4.963869458396343,4,8.0,18,0.43512417898193767,0.7670499030404845,0.47974049146368425,0.8430070821692636,0.4563064213932891,0.6967275211127669,0.4568912502304997,0.7033372885979269,0.42857142857142855,0.8055555555555556,0.3953416594889463,0.7368421052631579,0.4420526315789475,0.7246467391304348,0.4210263157894737,0.7647058823529411,-0.08427684248304014,0.3876835378712178,0.197569624862579,0.2934623920440499,2000,2000
SVM_Linear,0.6390432098765433,0.14402095776295232,0.6482248520710059,0.6482248520710059,0.6481481481481481,0.704663217465896,0.15171045157667964,0.7400059871721973,0.6440520172778237,0.086076792571342,0.6239316239316239,0.6623232323232322,0.1148147057389116,0.6153846153846154,0.6944006568144498,0.13666431397540948,0.6521739130434783,0.7313131313131314,0.1960589049879629,0.6923076923076923,0.6768985400564349,0.031743499045758905,0.6716417910447762,0.5933333333333334,0.28714000542601054,0.5384615384615384,0.2878617548596343,0.1923642125640391,0.2325581395348838,0.24443759556887262,10.4,10.4,4.963869458396343,4,8.0,18,0.5146343647191105,0.7762696893547104,0.5946093712653049,0.8589489093028352,0.4999100719424462,0.7377202390072009,0.4897006704980843,0.7352983926128591,0.46425264550264556,0.8082517938682321,0.5237351190476192,0.84375,0.5154344624447718,0.7837891891891892,0.35294117647058826,0.7368636755823985,-0.02020183492573702,0.4645504545465703,0.20460106128125496,0.28883413151015996,2000,2000
GradientBoosting,0.6029938271604938,0.1736139944890876,0.5495562130177515,0.5495562130177515,0.5705310833515962,0.6961762317603238,0.10328405835502477,0.6093066851638156,0.6224152191894128,0.16345266397000985,0.5897435897435898,0.643510101010101,0.17275131171695507,0.5923076923076923,0.692929292929293,0.15121721549012088,0.6491228070175439,0.627020202020202,0.20666125754446626,0.5692307692307692,0.6391905936370545,0.14003251226825833,0.6065573770491803,0.6599999999999999,0.23323807579381198,0.6153846153846154,0.2580689696063856,0.32056979592148,0.18181818181818188,0.27301481703174857,10.4,10.4,4.963869458396343,4,8.0,18,0.3888885513800565,0.7102722371967655,0.42022856569419725,0.7947578205666803,0.46956078083407277,0.7096924932167621,0.47395753528637796,0.7102644077266921,0.4444444444444444,0.805203823953824,0.39188840902758426,0.7400185185185184,0.4444444444444444,0.7295597484276729,0.4687333776595745,0.7592777777777777,-0.05124956513174873,0.41464565117349284,0.2144581859740671,0.341969282475761,2000,2000
NaiveBayes,0.5957421436588103,0.1580874044470127,0.5517751479289941,0.5517751479289941,0.5578201475637373,0.6530110615271372,0.13230552816121485,0.5988381113187137,0.5649453175259627,0.11456916124490353,0.5641025641025641,0.5671212121212121,0.14164674345402184,0.5538461538461539,0.5808591992802519,0.1072518899057941,0.6,0.6853535353535353,0.183701750896169,0.6461538461538462,0.6143800913533694,0.09369923750251935,0.6222222222222222,0.4488888888888889,0.14565306318376836,0.46153846153846156,0.10819966592309946,0.25029285812508817,0.10873786407766994,0.31484017158867605,10.4,10.4,4.963869458396343,4,8.0,18,0.43085566320471985,0.6733653337941128,0.4290302534198062,0.7701074521823036,0.47410266457680256,0.6484427787162161,0.4666557971014493,0.6413912730414746,0.4126984126984127,0.7571658986175114,0.5151298701298701,0.7714610389610388,0.48542218299499856,0.7150837988826816,0.3150621511922882,0.6140350877192983,-0.06470814127127102,0.27311293279187593,0.25270570129993797,0.3887234628709582,2000,2000
XGBoost,0.5949368686868687,0.1433325325110565,0.5594674556213017,0.5594674556213017,0.5665132588209512,0.7097538735856805,0.08206010986272902,0.655026723680153,0.5969681095487547,0.06636136895639079,0.5897435897435898,0.6287878787878787,0.08068212445208306,0.5942307692307692,0.6472222222222223,0.09710796655296827,0.6545454545454545,0.6131313131313132,0.2326932851032659,0.5538461538461539,0.5924647776730829,0.09670313201663826,0.6,0.6444444444444445,0.09532271373123208,0.6346153846153846,0.2240887348373784,0.120614759558587,0.18490566037735845,0.32336812663401543,10.4,10.4,4.963869458396343,4,8.0,18,0.41560711512524967,0.7084221126308475,0.48214420946198705,0.7956619777437451,0.48359972677595625,0.6991168429383409,0.49065587902769936,0.6985399391189266,0.46153846153846156,0.8,0.3783633633633634,0.7273744911804608,0.4394625176803396,0.7187812499999998,0.5075000000000003,0.7631965944272444,-0.01811008674551614,0.3913076063681221,0.24049266612743392,0.4062534806844975,2000,2000
LightGBM,0.5916063411896746,0.08163222910869987,0.5374260355029586,0.5374260355029585,0.5429176711227993,0.6780190451851686,0.073273225166196,0.6294324319222937,0.5301433691756272,0.0708148096326877,0.5384615384615384,0.5456691919191919,0.06383288957944824,0.5346153846153846,0.5592391304347826,0.11015863282391113,0.5873015873015873,0.5824494949494949,0.21690199365037002,0.5692307692307692,0.5405453679447487,0.12172546023698004,0.578125,0.5088888888888888,0.10850271658429957,0.5,0.0832626904202157,0.12281137372522634,0.06896551724137934,0.31603271779261566,10.4,10.4,4.963869458396343,4,8.0,18,0.39921649410114685,0.6759341425268598,0.4729824525119346,0.7698388165380939,0.41801503807925655,0.654229777634547,0.4132862903225807,0.6475429352068696,0.391304347826087,0.743289613142554,0.3793103448275862,0.75,0.4,0.7074882260596546,0.3333333333333333,0.648660502607871,-0.16765499814247545,0.2931746532819832,0.24257648534903012,0.4021539049954812,2000,2000
SVM_RBF,0.5630148709315377,0.16918487942128696,0.5834319526627219,0.5834319526627219,0.609284827233545,0.6418025583175166,0.13461524039582687,0.6832810431156775,0.6058753791011856,0.06339470628330884,0.5897435897435898,0.5898989898989899,0.11509833966257871,0.5615384615384615,0.6263027295285359,0.12058254152748121,0.5955056179775281,0.8242424242424242,0.22546757863925182,0.8153846153846154,0.6728648906371059,0.05519217735412529,0.6883116883116883,0.3555555555555555,0.339934634239519,0.3076923076923077,0.1523411371237458,0.18967103350183392,0.12903225806451613,0.24268347175933475,10.4,10.4,4.963869458396343,4,8.0,18,0.42124872965742916,0.7512139581433059,0.5234489601624407,0.8155830627454229,0.42753330995792427,0.7317073170731707,0.43588322246858835,0.6873243157314929,0.4107095864661654,0.7636465781409602,0.6140067911714772,0.9655172413793104,0.5151199494949495,0.8133333333333334,0.14705882352941177,0.5106501182033096,-0.12363738119399208,0.38983695008013347,0.2025544357918378,0.30007795758798117,2000,2000
KNN,0.5491154601571269,0.0828990117871148,0.5733727810650887,0.5733727810650887,0.5806852217108627,0.6258920995174192,0.1757043276137425,0.6196776061790688,0.5427359617682198,0.05956761448408073,0.5555555555555556,0.5400378787878788,0.07142812358656814,0.5480769230769231,0.5784586466165413,0.15529171941415545,0.5970149253731343,0.5867424242424242,0.1996266027677642,0.6153846153846154,0.5540616237663735,0.12685343338433455,0.6060606060606061,0.49333333333333335,0.2124053892506404,0.4807692307692308,0.07711334773120848,0.14044300361012732,0.09652509652509655,0.26368665520973633,10.4,10.4,4.963869458396343,4,8.0,18,0.40445783019712395,0.7191403336287434,0.428378723339698,0.7850516032379906,0.416022787965106,0.6785714285714286,0.417323294547844,0.6696471830011075,0.37777777777777777,0.7590417224453369,0.3772995283018869,0.8000704225352109,0.4,0.7412638580931263,0.32651952085181896,0.6415431266846359,-0.16494402002107475,0.33780632020860507,0.21535640512159168,0.32523539352786573,2000,2000
