Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_PR_AUC,Std_PR_AUC,Min_PR_AUC,Max_PR_AUC,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Min_Balanced_Accuracy,Max_Balanced_Accuracy,Mean_Precision,Std_Precision,Min_Precision,Max_Precision,Mean_Recall,Std_Recall,Min_Recall,Max_Recall,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Specificity,Std_Specificity,Min_Specificity,Max_Specificity,Mean_n_feats,Std_n_feats,Min_n_feats,Max_n_feats
SVM_RBF,0.7561840628507295,0.16481060988803808,0.585858585858586,0.9722222222222222,0.8454317443781575,0.08716448881915514,0.7639232378466829,0.95,0.7069056152927121,0.13961352098218197,0.5769230769230769,0.9230769230769231,0.716489898989899,0.14465971412076364,0.5833333333333334,0.9444444444444444,0.7635497835497835,0.06394512367824146,0.7,0.8571428571428571,0.7063131313131313,0.2192095196117622,0.5,1.0,0.7185185185185186,0.1159442654999891,0.5925925925925926,0.8888888888888888,0.7266666666666667,0.15705625319186328,0.5555555555555556,0.8888888888888888,10.4,5.727128425310542,4.0,18.0
SVM_Linear,0.7560956790123456,0.1187243271970364,0.6666666666666667,0.8888888888888888,0.7993552407185456,0.08264231402542375,0.6791666666666667,0.9110863644841349,0.733667861409797,0.1444264361014358,0.5769230769230769,0.9230769230769231,0.7438510101010101,0.14762772373204383,0.58125,0.9444444444444444,0.7917388493859082,0.06180497767543939,0.6923076923076923,0.8571428571428571,0.7188131313131313,0.20588049478977896,0.5454545454545454,1.0,0.7424460118425635,0.11861274686593967,0.6206896551724138,0.8888888888888888,0.7688888888888888,0.13109227736669002,0.6,0.8888888888888888,10.4,5.727128425310542,4.0,18.0
LogisticRegression,0.7446198092031426,0.13037918674082474,0.6262626262626262,0.8888888888888888,0.7916877416489958,0.08350011873456406,0.6791666666666667,0.912822475595246,0.7172162485065711,0.14336420530951197,0.5769230769230769,0.9230769230769231,0.7223232323232324,0.15184390365415046,0.5625,0.9444444444444444,0.756031746031746,0.053173418607985586,0.6666666666666666,0.8,0.7313131313131314,0.19566104053017003,0.5454545454545454,1.0,0.7353317076689192,0.11461005039360748,0.631578947368421,0.8888888888888888,0.7133333333333333,0.14410215854998643,0.5,0.8888888888888888,10.4,5.727128425310542,4.0,18.0
XGBoost,0.728975869809203,0.14393115313230562,0.575,0.9166666666666666,0.7966260551126167,0.050991260051998985,0.7260408708938122,0.8693865142330055,0.6893144012498851,0.03831415994987169,0.65,0.7407407407407407,0.7080176767676768,0.04263570322775902,0.6616161616161615,0.7777777777777778,0.722514619883041,0.14482689619742534,0.5,0.8888888888888888,0.7382575757575758,0.21035690788764563,0.5,1.0,0.6983827135406082,0.0766407919506522,0.631578947368421,0.8108108108108109,0.6777777777777778,0.1543604887716645,0.5555555555555556,0.9,10.4,5.727128425310542,4.0,18.0
ExtraTrees,0.7263888888888889,0.14840978055021495,0.5555555555555556,0.9166666666666666,0.8043571105738863,0.05832987677824215,0.7368412289464921,0.8673794766525745,0.690555096038967,0.1136653902245686,0.5384615384615384,0.8461538461538461,0.7104545454545454,0.11873553865891796,0.56875,0.8888888888888888,0.7433333333333333,0.09972183534434396,0.65,0.8666666666666667,0.6853535353535353,0.24043276940321107,0.4375,1.0,0.6873595685360391,0.11832543050708208,0.5384615384615384,0.8,0.7355555555555554,0.13156231213880606,0.5333333333333333,0.8888888888888888,10.4,5.727128425310542,4.0,18.0
RandomForest,0.7200476992143658,0.18979923068973092,0.525,0.9722222222222222,0.8311706221007402,0.08671010915175996,0.7334818775995247,0.95,0.6732588916459884,0.09039059063737694,0.5384615384615384,0.7692307692307693,0.6882323232323232,0.09981112117245795,0.5875,0.8333333333333333,0.7183208020050126,0.09550847058293181,0.5714285714285714,0.8333333333333334,0.6964646464646465,0.2704093299875428,0.375,1.0,0.6700085111849818,0.12042468214692291,0.5,0.7777777777777778,0.6799999999999999,0.17327634390771493,0.4444444444444444,0.8888888888888888,10.4,5.727128425310542,4.0,18.0
LightGBM,0.7169262065095399,0.13444306944390136,0.59375,0.9166666666666666,0.7918756483208714,0.026394359423986862,0.7538239538239537,0.8205607741346064,0.6455665839536808,0.11763036535534616,0.5,0.7692307692307693,0.6569191919191919,0.13293357197374256,0.5,0.8333333333333333,0.6736371471665589,0.08368592748052511,0.5714285714285714,0.7647058823529411,0.6671717171717171,0.24532929006795834,0.36363636363636365,1.0,0.6484884486710045,0.12886895068531193,0.47058823529411764,0.75,0.6466666666666667,0.11716823401301392,0.5,0.7777777777777778,10.4,5.727128425310542,4.0,18.0
GradientBoosting,0.7080120650953984,0.1823704026878525,0.51875,0.9166666666666666,0.7929526818881839,0.07278697247994544,0.7148989898989899,0.8826700990204027,0.6720439297858654,0.15901987139232424,0.46153846153846156,0.8387096774193549,0.6940025252525253,0.15104116201112613,0.50625,0.8375,0.7020308123249299,0.11593654892265655,0.5714285714285714,0.8235294117647058,0.6657828282828283,0.3098858880225937,0.3125,1.0,0.652602495543672,0.196511113109582,0.4166666666666667,0.8484848484848485,0.7222222222222222,0.06285393610547092,0.6666666666666666,0.8,10.4,5.727128425310542,4.0,18.0
KNN,0.6973099046015713,0.13336630406812608,0.5909090909090908,0.875,0.7865056950774061,0.04907789083456233,0.7306931131686033,0.8611111111111112,0.667488282326992,0.08411711498578686,0.5555555555555556,0.7741935483870968,0.6719065656565656,0.09543343671924702,0.5277777777777778,0.775,0.7189285714285715,0.13743968992742578,0.5,0.8571428571428571,0.6438131313131313,0.09988363357475696,0.5454545454545454,0.75,0.6661552362880636,0.06510861668845087,0.6,0.7741935483870968,0.7,0.16740576859243736,0.4444444444444444,0.8888888888888888,10.4,5.727128425310542,4.0,18.0
NaiveBayes,0.6817269921436588,0.1561516328248779,0.45454545454545453,0.8611111111111112,0.7296198272391725,0.07508077801569782,0.6458333333333333,0.8142305899104145,0.6137671169929235,0.1397219086127004,0.5,0.8461538461538461,0.6094191919191919,0.13426438866292612,0.5020833333333333,0.8194444444444444,0.6638124215203323,0.1289032267284652,0.5172413793103449,0.8333333333333334,0.6588383838383838,0.2148230668325981,0.36363636363636365,0.9375,0.6388888888888888,0.11453071182271281,0.4444444444444444,0.75,0.5599999999999999,0.33013278286318015,0.06666666666666667,0.8888888888888888,10.4,5.727128425310542,4.0,18.0
