feature,variance,log10_variance
Pre_Morph_Compactness1,2.4904847040348165e-05,-4.603716103818753
Post2_Morph_Compactness1,2.4904847040348165e-05,-4.603716103818753
Post2_GLSZM_SmallZoneLowGreyLevelEmphasis,0.00010699948268220357,-3.970618317964425
Pre_IH_RootMeanSquare_Intensity,0.00011376751877635736,-3.9439817097802385
Post2_IH_RootMeanSquare_Intensity,0.0001254147294673535,-3.9016514508659497
Post2_GLCM_NormalisedInverseDifferenceMoment,0.00025940239226539697,-3.5860260214008943
Pre_GLCM_NormalisedInverseDifferenceMoment,0.00029094144282619907,-3.536194410265405
Pre_GLSZM_SmallZoneLowGreyLevelEmphasis,0.00031186598278964544,-3.5060319925339583
Post2_NGTDM_Coarseness,0.0004037641962306129,-3.393872193650287
Pre_NGTDM_Coarseness,0.00042254503903687283,-3.3741269918103005
Post2_GLCM_NormalisedInverseDifference,0.000982979671255686,-3.0074554631632533
Pre_GLCM_NormalisedInverseDifference,0.001103030700270409,-2.9574123994303747
Pre_GLCM_AngularSecondMoment,0.0015369342773806764,-2.8133447031878713
Pre_GLSZM_NormalisedGreyLevelNonUniformity,0.0015390574025612458,-2.8127451816077897
Pre_GLSZM_LowGrayLevelZoneEmphasis,0.002274861796046512,-2.643044982568734
Post2_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.0027806836358444382,-2.5558484187547768
Post2_GLSZM_LowGrayLevelZoneEmphasis,0.0028293694258431043,-2.5483103436123784
Pre_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.0034463105895616063,-2.462645585364881
Pre_GLRLM_ShortRunLowGreyLevelEmphasis,0.0037166433547602016,-2.429849111235876
Post2_GLRLM_ShortRunLowGreyLevelEmphasis,0.004092519604905786,-2.3880092313500345
Post2_GLSZM_NormalisedZoneSizeNonUniformity,0.004334164727285886,-2.363094586503502
Pre_GLRLM_ShortRunsEmphasis,0.004501029306559009,-2.346688159229991
Pre_GLSZM_NormalisedZoneSizeNonUniformity,0.004719877529351047,-2.3260692701334515
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.004875093801125807,-2.312017023585197
Post2_GLCM_AngularSecondMoment,0.00493895008116672,-2.30636536321871
Pre_GLCM_JointMaximum,0.005104027421852032,-2.292087000908892
Pre_IH_Uniformity_Intensity,0.005416096189054203,-2.2663136311695165
Pre_Morph_Sphericity,0.0055941115690243265,-2.25226887622643
Post2_Morph_Sphericity,0.0055941115690243265,-2.25226887622643
Post2_GLRLM_ShortRunsEmphasis,0.005770410540636351,-2.2387932874292624
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.00580269080561814,-2.236370569976063
Post2_GLSZM_NormalisedGreyLevelNonUniformity,0.0061265161907343236,-2.21278641435651
Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,0.006479753478201464,-2.1884415164533326
Pre_GLRLM_RunPercentage,0.007659425537868842,-2.115803801471164
Pre_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,0.007774437481679668,-2.109331024424089
Pre_GLRLM_LowGreyLevelRunEmphasis,0.008389754485415143,-2.07625074796215
Post2_GLCM_InverseVariance,0.008940127723041296,-2.0486562765676055
Post2_GLRLM_RunPercentage,0.009329396135443924,-2.030146465910254
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.0095584571066856,-2.019612204344772
Post2_IH_Uniformity_Intensity,0.009649671012614543,-2.01548749281241
Pre_GLCM_InverseVariance,0.009966505851889884,-2.001457073863392
Pre_GLSZM_SmallZoneEmphasis,0.0101352523774925,-1.9941654324448774
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.010919720328042734,-1.961788484443448
Pre_GLCM_Correlation,0.011112925111094542,-1.954171612270952
Post2_GLSZM_SmallZoneEmphasis,0.011453001536687553,-1.9410806809724472
Post2_GLCM_JointMaximum,0.01158622662619935,-1.9360579809310803
Post2_GLRLM_LowGreyLevelRunEmphasis,0.012889357677696878,-1.889768724504481
Post2_Morph_Compactness2,0.013249492698125418,-1.877800749816852
Pre_Morph_Compactness2,0.013249492698125418,-1.877800749816852
Post2_GLCM_Correlation,0.013285527163890093,-1.876621208264578
Pre_GLCM_InverseDifference,0.01664755123901043,-1.7786496397050058
Post2_GLCM_InverseDifference,0.0195315370771678,-1.709263577587779
Post2_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.019553819977053286,-1.7087683874583601
Pre_GLSZM_ZonePercentage,0.021041894947612085,-1.6769151519390157
Pre_GLCM_InverseDifferenceMoment,0.0215613078909749,-1.6663248987246426
Post2_GLSZM_ZonePercentage,0.022485229728631907,-1.648102670924512
Post2_IB_IntensityBasedQuartileCoefficientOfDispersion,0.022905123849277894,-1.6400673556081833
Pre_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.024179526949497,-1.6165521999516097
Post2_GLCM_InverseDifferenceMoment,0.02460137122691416,-1.6090406855746766
Post2_Morph_Asphericity,0.026482572285039016,-1.5770398336063274
Pre_Morph_SphericalDisproportion,0.026482572285039016,-1.5770398336063274
Post2_Morph_SphericalDisproportion,0.026482572285039016,-1.5770398336063274
Pre_Morph_Asphericity,0.026482572285039016,-1.5770398336063274
Pre_IB_IntensityBasedQuartileCoefficientOfDispersion,0.02656593838451546,-1.575674838950423
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.03132520157254463,-1.5041061256970536
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.03288688017009118,-1.482977324107656
Post2_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.03320254417663196,-1.4788286367787173
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.033255835561974104,-1.4781321359119188
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.03332615926059941,-1.4772147345724955
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.03920820440867595,-1.4066230463206946
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.04525837185575885,-1.3443010735881809
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.04748643221223304,-1.3234304589358175
Post2_IB_IntensityBasedCoefficientOfVariation,0.05076667790748554,-1.294421255213048
Pre_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.05152657604067557,-1.2879687155946502
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.05527650548023572,-1.2574594203767542
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.06128155169142692,-1.2126702465913983
Pre_IH_IntensityHistogramEntropyLog10_Intensity,0.061952697044054233,-1.2079397823260418
Pre_IB_IntensityBasedCoefficientOfVariation,0.06825909440885868,-1.1658394777832828
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.07046506604559515,-1.1520261366729434
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.07206098336471863,-1.1422998156606983
Post2_IH_IntensityHistogramEntropyLog10_Intensity,0.07579065180044071,-1.1203843579750281
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.08291194982285678,-1.0813828715178497
Pre_NGTDM_Contrast,0.08539954988282375,-1.0685444183447974
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.08702407910505998,-1.0603605637491913
