Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC,Kappa
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",LogisticRegression,0.5123456790123456,0.5185185185185185,0.5,0.7187927320793455,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.4444444444444444,0.6896923076923076,0.0
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",SVM_RBF,0.47530864197530864,0.6666666666666666,0.5,0.7175484375922974,0.6666666666666666,1.0,0.8,0.0,0.46884210526315784,0.0
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",SVM_Linear,0.48148148148148157,0.5185185185185185,0.4722222222222222,0.7110572901333772,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.3333333333333333,0.5534285714285714,-0.054054054054053946
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",RandomForest,0.654320987654321,0.5925925925925926,0.5833333333333334,0.8257879779402417,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.5555555555555556,0.6516428571428572,0.15384615384615385
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",GradientBoosting,0.5432098765432098,0.6296296296296297,0.5555555555555556,0.6886798024052926,0.7,0.7777777777777778,0.7368421052631579,0.3333333333333333,0.7275357142857143,0.11764705882352944
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",ExtraTrees,0.5740740740740741,0.48148148148148145,0.5,0.7501647869661734,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.5555555555555556,0.6662105263157894,0.0
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",KNN,0.44753086419753085,0.5185185185185185,0.4722222222222222,0.667026617410249,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.3333333333333333,0.6481184210526315,-0.054054054054053946
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",NaiveBayes,0.5987654320987654,0.5555555555555556,0.4444444444444444,0.7625805640444219,0.6363636363636364,0.7777777777777778,0.7,0.1111111111111111,0.6958157894736842,-0.125
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",XGBoost,0.6728395061728395,0.6666666666666666,0.6388888888888888,0.7871405058840559,0.7647058823529411,0.7222222222222222,0.7428571428571429,0.5555555555555556,0.6629210526315789,0.2702702702702703
1,90,27,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P4', 'P49', 'P7']",LightGBM,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.8619435033586222,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.8888888888888888,0.6777236842105263,0.37209302325581395
