Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
LogisticRegression,0.8109523809523809,0.0277546388887297,0.7841269841269841,0.820531399914619,0.107410586451011,0.790044305294159,0.7587535014005603,0.0613287075234717,0.7522123893805309,0.7553968253968254,0.0642360184163086,0.7488888888888889,0.7851515151515152,0.0788368146395836,0.7777777777777778,0.8069841269841269,0.1278959327520327,0.7777777777777778,0.7836538402781597,0.0586789342160504,0.7777777777777778,0.7038095238095238,0.14379533200236,0.72,9.2,9.2,4.48998886412873,4,10.0,14
SVM_RBF,0.795436507936508,0.0475319971528482,0.7511111111111111,0.8215311693564677,0.0922774434783334,0.7399468647053264,0.7082773109243696,0.0622299089959889,0.6991150442477876,0.7141269841269842,0.057626152869882,0.690952380952381,0.7390546218487395,0.1195237545451614,0.7164179104477612,0.7982539682539682,0.1560135790098891,0.7619047619047619,0.7443210147384376,0.069971345322483,0.7384615384615385,0.63,0.1661324772583615,0.62,9.2,9.2,4.48998886412873,4,10.0,14
SVM_Linear,0.7881746031746031,0.0434601899194622,0.7653968253968254,0.802178439809808,0.1069209439308795,0.7561359529614157,0.7242296918767508,0.0643780270058354,0.7168141592920354,0.7088888888888889,0.0730083674541278,0.7006349206349207,0.7201592215833702,0.1109076167808544,0.7066666666666667,0.8601587301587301,0.0976988962375047,0.8412698412698413,0.7720984719864177,0.0573358257260574,0.7681159420289855,0.5576190476190477,0.1982714417808332,0.56,9.2,9.2,4.48998886412873,4,10.0,14
RandomForest,0.7812698412698413,0.0414787144093832,0.7441269841269841,0.8106628123903103,0.1007519577566876,0.7480888268426142,0.7011344537815125,0.0707899501047567,0.6902654867256637,0.7128174603174602,0.0623909479450947,0.6871428571428572,0.7594932844932845,0.1239976336473338,0.7258064516129032,0.7515873015873016,0.1777069019715172,0.7142857142857143,0.7272244008714596,0.0787921914037535,0.72,0.674047619047619,0.1908098268503898,0.66,9.2,9.2,4.48998886412873,4,10.0,14
LightGBM,0.7666269841269842,0.0549809284600675,0.7420634920634921,0.7838969292348184,0.0841305682734755,0.7728386319948237,0.6739915966386554,0.1099289147382881,0.6637168141592921,0.679484126984127,0.1076230860318285,0.6695238095238095,0.7486363636363637,0.1305867242945601,0.7358490566037735,0.6430158730158729,0.1190692043923125,0.6190476190476191,0.6830657833215378,0.1105657768560547,0.6724137931034483,0.715952380952381,0.1507720118141469,0.72,9.2,9.2,4.48998886412873,4,10.0,14
GradientBoosting,0.7559920634920635,0.0684811188813023,0.6911111111111111,0.7891001345998397,0.1331041536976021,0.6932326688449573,0.7105182072829133,0.0893249422256272,0.6991150442477876,0.7217857142857144,0.0815338979689712,0.6930158730158731,0.7481289951878187,0.1382760920212049,0.7230769230769231,0.7728571428571429,0.109310120500988,0.746031746031746,0.7453542872897712,0.0793105163648065,0.734375,0.6707142857142856,0.1579445638848358,0.64,9.2,9.2,4.48998886412873,4,10.0,14
ExtraTrees,0.7499603174603175,0.0529969788592102,0.713015873015873,0.7825660753758059,0.1236324969861238,0.7045730281552809,0.709327731092437,0.0940974430595203,0.6991150442477876,0.7205952380952381,0.091962040434227,0.6971428571428572,0.7575213675213675,0.1541397009544571,0.7377049180327869,0.7361904761904763,0.0983327888579158,0.7142857142857143,0.7342905982905983,0.0926323887303336,0.7258064516129032,0.705,0.1582543662729229,0.68,9.2,9.2,4.48998886412873,4,10.0,14
XGBoost,0.7167063492063492,0.0424581663896603,0.7057142857142856,0.7630632790790186,0.1043922094517207,0.7145282856674279,0.6918907563025212,0.0407185131920811,0.6902654867256637,0.6873015873015873,0.0488569262658029,0.6871428571428572,0.7242424242424242,0.1211007527958847,0.7258064516129032,0.7326984126984126,0.1313940603412898,0.7142857142857143,0.7155867121384363,0.0792400624135713,0.72,0.641904761904762,0.1466295562203255,0.66,9.2,9.2,4.48998886412873,4,10.0,14
NaiveBayes,0.6861904761904761,0.0949620337602512,0.5498412698412698,0.7569992059166273,0.0615813018898951,0.6283185727640903,0.5812745098039216,0.1055670687179159,0.5663716814159292,0.5694047619047619,0.1118006100932975,0.5368253968253969,0.6303331451157538,0.1448137894037063,0.5813953488372093,0.8095238095238095,0.1564921592871903,0.7936507936507936,0.6815615241311835,0.0539348624247192,0.6711409395973155,0.3292857142857143,0.2854717224321701,0.28,9.2,9.2,4.48998886412873,4,10.0,14
KNN,0.6813095238095238,0.1166014827080483,0.6707936507936508,0.7119528450279226,0.1458835468666154,0.6830220976214083,0.6766106442577031,0.1089959843244655,0.6637168141592921,0.658968253968254,0.1043201363789341,0.655079365079365,0.6787301587301589,0.1222803407479473,0.6865671641791045,0.7369841269841271,0.1698854711804872,0.7301587301587301,0.702625162697758,0.140207389796243,0.7076923076923077,0.5809523809523809,0.0914112086688212,0.58,9.2,9.2,4.48998886412873,4,10.0,14
