fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015625,0.8230485532281002
0.02,0.015625,0.81326639483253
0.02,0.046875,0.8055121179078806
0.04,0.046875,0.8032886104709352
0.04,0.0625,0.7955835603578243
0.06,0.0625,0.794497067639809
0.06,0.078125,0.7895491312470009
0.08,0.078125,0.7889441762072099
0.08,0.171875,0.7353111766091409
0.1,0.171875,0.7328782116862169
0.1,0.203125,0.7190957568584637
0.12,0.203125,0.7054342800646771
0.12,0.265625,0.6878534171980377
0.14,0.265625,0.6640039914643262
0.14,0.296875,0.6369576298089203
0.16,0.296875,0.6289795790120681
0.16,0.484375,0.5811327531783497
0.18,0.484375,0.5804565739000341
0.18,0.515625,0.5782069014978515
0.2,0.515625,0.5764877433548781
0.2,0.53125,0.5727100719553878
0.24,0.53125,0.5647000089367838
0.24,0.5625,0.551309470003422
0.26,0.5625,0.5496877970034558
0.26,0.578125,0.5420998446215999
0.3,0.578125,0.5243126475563776
0.3,0.609375,0.5094878394304339
0.32,0.609375,0.5062453272569118
0.32,0.625,0.5003029031234432
0.36,0.625,0.4914866426729293
0.36,0.65625,0.48430015928440445
0.52,0.65625,0.45904544770276356
0.52,0.671875,0.45719338763328726
0.56,0.671875,0.45067444182571476
0.56,0.6875,0.44428300856720054
0.6,0.6875,0.4398619362918546
0.6,0.734375,0.4299221869049832
0.64,0.734375,0.4262226778025308
0.64,0.75,0.42545519530779446
0.66,0.75,0.42515801110646384
0.66,0.78125,0.40993094592342905
0.72,0.78125,0.4073150667104073
0.72,0.828125,0.395935423883827
0.74,0.828125,0.3892869480735047
0.74,0.90625,0.35883102737377226
0.76,0.90625,0.33481774601031694
0.76,0.921875,0.3186000042812262
0.78,0.921875,0.28591148980334474
0.78,0.9375,0.27580371942978466
0.82,0.9375,0.26797073982651903
0.82,0.96875,0.2387688927431343
0.98,0.96875,0.12094729159130252
0.98,0.984375,0.11489592828750479
1.0,0.984375,0.09868163918328526
1.0,1.0,0.0832756604861875
