fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015625,0.9478330311781828
0.0,0.171875,0.8293527479845394
0.06,0.171875,0.8100625718673903
0.06,0.1875,0.8063684638632034
0.08,0.1875,0.8055803006263579
0.08,0.203125,0.8052481231472858
0.1,0.203125,0.8050384469417478
0.1,0.234375,0.783479794963182
0.14,0.234375,0.7739216930532988
0.14,0.25,0.7707305132756412
0.16,0.25,0.7650930104666042
0.16,0.328125,0.7207342340788602
0.2,0.328125,0.7137927925984544
0.2,0.359375,0.7038886910393785
0.22,0.359375,0.6904615580434267
0.22,0.421875,0.6430780339495086
0.24,0.421875,0.6359542778120967
0.24,0.484375,0.6283493737459863
0.26,0.484375,0.6233395820795353
0.26,0.5625,0.5803726881353358
0.28,0.5625,0.5720553632906759
0.28,0.609375,0.5366807368351841
0.3,0.609375,0.5277627456267537
0.3,0.625,0.526580741293393
0.32,0.625,0.51141354839422
0.32,0.65625,0.5034685898513289
0.34,0.65625,0.4965917845998994
0.34,0.671875,0.4964968166200796
0.36,0.671875,0.4930601261930676
0.36,0.703125,0.465985232588829
0.4,0.703125,0.4563983391029626
0.4,0.71875,0.4543833258052463
0.42,0.71875,0.4412925927375402
0.42,0.75,0.4339659035984315
0.46,0.75,0.4274865008762443
0.46,0.765625,0.4145077068692592
0.48,0.765625,0.41021135332200176
0.48,0.78125,0.40707402000458737
0.52,0.78125,0.39383844631503784
0.52,0.796875,0.38760511865189223
0.6,0.796875,0.341933707145796
0.6,0.8125,0.3401295816946684
0.62,0.8125,0.3392305617112563
0.62,0.828125,0.31918706521122997
0.7,0.828125,0.2930771747643629
0.7,0.890625,0.27990415831556503
0.72,0.890625,0.27890098666866336
0.72,0.9375,0.263506608127968
0.82,0.9375,0.209241007469543
0.82,0.953125,0.2011545938764409
0.86,0.953125,0.17421777066114244
0.86,0.96875,0.1727784025701992
0.92,0.96875,0.14341224732817845
0.92,0.984375,0.1330415340365887
0.96,0.984375,0.0896651319998879
0.96,1.0,0.07965159922682533
1.0,1.0,0.00016604342580520947
