Fold,Feature_Rank_in_Fold,Feature_Name
1,1,ADC_GLSZM_SmallZoneEmphasis
1,2,ADC_GLRLM_ShortRunLowGreyLevelEmphasis
1,3,Pre_IB_IntensitySkewness
1,4,ADC_Morph_SurfaceToVolumeRatio_cm
1,5,ADC_GLCM_DifferenceVariance
1,6,Pre_GLCM_DifferenceVariance
1,7,ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
1,8,ADC_Morph_Sphericity
2,1,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
2,2,Pre_Morph_Compacity
2,3,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
2,4,ADC_GLCM_ClusterTendency
2,5,Pre_IH_MinimumHistogramGradient_Intensity
2,6,ADC_GLRLM_ShortRunHighGreyLevelEmphasis
2,7,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
2,8,ADC_IH_MaximumHistogramGradient_Intensity
2,9,Pre_GLCM_ClusterShade
2,10,Pre_Morph_SphericalDisproportion
2,11,Pre_IH_IntensityHistogramCoefficientOfVariation_Intensity
2,12,ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
2,13,ADC_GLCM_DifferenceAverage
2,14,ADC_GLCM_InverseDifferenceMoment
3,1,Pre_GLSZM_SmallZoneHighGreyLevelEmphasis
3,2,Pre_Morph_Compacity
3,3,ADC_GLCM_DifferenceAverage
3,4,ADC_NGTDM_Strength
3,5,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,6,Pre_GLRLM_LongRunLowGreyLevelEmphasis
3,7,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
3,8,ADC_GLCM_JointVariance
3,9,Pre_GLSZM_ZoneSizeVariance
3,10,ADC_Morph_Compactness2
3,11,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,12,ADC_GLCM_ClusterTendency
3,13,Pre_GLCM_ClusterProminence
3,14,ADC_GLCM_JointEntropyLog2
3,15,Pre_GLRLM_LongRunsEmphasis
3,16,ADC_Morph_Sphericity
3,17,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
3,18,ADC_IH_IntensityHistogramMedian_Intensity
4,1,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
4,2,Pre_IB_IntensitySkewness
4,3,ADC_GLSZM_LowGrayLevelZoneEmphasis
4,4,ADC_Morph_SurfaceToVolumeRatio_cm
4,5,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
4,6,ADC_GLCM_DifferenceVariance
4,7,ADC_GLCM_ClusterTendency
4,8,ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm
4,9,ADC_GLSZM_LargeZoneEmphasis
4,10,Pre_NGTDM_Contrast
4,11,Pre_IH_MaximumHistogramGradient_Intensity
4,12,ADC_GLCM_DifferenceAverage
4,13,ADC_IH_IntensityHistogramSkewness_Intensity
4,14,ADC_IB_MedianIntensity
5,1,ADC_GLSZM_LargeZoneEmphasis
5,2,ADC_GLCM_ClusterTendency
5,3,Pre_IB_IntensitySkewness
5,4,ADC_IH_MaximumHistogramGradient_Intensity
5,5,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
5,6,Pre_GLSZM_NormalisedGreyLevelNonUniformity
5,7,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
5,8,Pre_Morph_Compacity
