fpr,tpr,threshold
0.0,0.0,inf
0.02,0.0,0.9137146296888283
0.02,0.046875,0.848238862397682
0.04,0.046875,0.8268932259971992
0.04,0.09375,0.7884108496856129
0.08,0.09375,0.7795181951521148
0.08,0.140625,0.7730042729241869
0.1,0.140625,0.7705435942103278
0.1,0.28125,0.7052466131166749
0.12,0.28125,0.694904452213579
0.12,0.34375,0.6767560002653888
0.14,0.34375,0.6743277773342435
0.14,0.453125,0.6350799106178936
0.2,0.453125,0.6146712678951417
0.2,0.46875,0.6141682881443479
0.28,0.46875,0.5759680987107691
0.28,0.5,0.5721782544570718
0.3,0.5,0.5619858627826703
0.3,0.53125,0.5554750262297077
0.32,0.53125,0.5553172774752578
0.32,0.609375,0.5421708406572238
0.38,0.609375,0.5193623724123095
0.38,0.625,0.5118256749469999
0.4,0.625,0.4920769348013822
0.4,0.640625,0.487954569363676
0.42,0.640625,0.4868624865133371
0.42,0.65625,0.47833989718634845
0.5,0.65625,0.45890867266456603
0.5,0.671875,0.44436591980079576
0.54,0.671875,0.4371696553580773
0.54,0.703125,0.4318594492734693
0.56,0.703125,0.4273401435632495
0.56,0.734375,0.41665755105313695
0.58,0.734375,0.4041918383814652
0.58,0.765625,0.38509495582116776
0.66,0.765625,0.3632872436502827
0.66,0.78125,0.3563035361359531
0.68,0.78125,0.35571772248104516
0.68,0.84375,0.3236406092289629
0.72,0.84375,0.31296584826082174
0.72,0.859375,0.3101223574788659
0.76,0.859375,0.29116156038397595
0.76,0.890625,0.27362526845952795
0.8,0.890625,0.2627175025785832
0.8,0.90625,0.2526132010051808
0.86,0.90625,0.2280133432518435
0.86,0.953125,0.2139446595831708
0.96,0.953125,0.17916987340166518
0.96,0.984375,0.1739821253955959
0.98,0.984375,0.12513280150611084
0.98,1.0,0.11169226105701568
1.0,1.0,0.07820790154973235
