Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
SVM_RBF,0.719047619047619,0.7202198856916753,0.6194821903725206,0.8154124737945493,0.7999025684833445,0.8025550292047605,0.7081432708606563,0.8763615622269433,0.6194690265486725,0.6050793650793651,0.7301587301587301,0.48,0.6388888888888888,0.5853658536585366,0.6814814814814815,0.2141355329128255,0.21643331367819565,24,26,17,46,12.0,6.48074069840786
ExtraTrees,0.7107936507936508,0.7119904334806989,0.6119026406140744,0.8082677448337826,0.7924662191385508,0.7950224792313958,0.6980938601162655,0.8703975395792057,0.6814159292035398,0.6895238095238095,0.6190476190476191,0.76,0.7647058823529411,0.6129032258064516,0.6842105263157895,0.36988847583643125,0.220772322114118,38,12,24,39,12.0,6.48074069840786
LogisticRegression,0.6977777777777778,0.7001359171789191,0.5983953195976639,0.7954028643715549,0.740082374212358,0.7529690940985988,0.6226808355423034,0.8574966414682215,0.6194690265486725,0.6153968253968254,0.6507936507936508,0.58,0.6612903225806451,0.5686274509803921,0.656,0.2303183906225249,0.22259610100625749,29,21,22,41,12.0,6.48074069840786
SVM_Linear,0.6936507936507936,0.6954409123361992,0.5931100201708591,0.7919365461599415,0.7328150912670642,0.7459428213360095,0.6157071597001803,0.8517533784655571,0.6106194690265486,0.5971428571428572,0.7142857142857143,0.48,0.6338028169014085,0.5714285714285714,0.6716417910447762,0.197546804389929,0.224760879914897,24,26,18,45,12.0,6.48074069840786
GradientBoosting,0.6842857142857142,0.6867432285310239,0.5838002197112367,0.7863890804237447,0.7152369132564685,0.728293000688028,0.5972057055259737,0.8398964126964725,0.6460176991150443,0.633015873015873,0.746031746031746,0.52,0.6619718309859155,0.6190476190476191,0.7014925373134329,0.27049709489993545,0.2377479445008187,26,24,16,47,12.0,6.48074069840786
RandomForest,0.6742857142857143,0.6750910895038746,0.5728067549071453,0.774515169846802,0.7347055053804052,0.7402077172663194,0.6222967621016453,0.8406539503531042,0.6106194690265486,0.6053968253968254,0.6507936507936508,0.56,0.6507936507936508,0.56,0.6507936507936508,0.21079365079365076,0.22589750668143738,28,22,22,41,12.0,6.48074069840786
KNN,0.6566666666666667,0.6577354590274295,0.5523488580385133,0.7613049115146449,0.7387012671578952,0.7438556758566742,0.6342735491513354,0.8346920427213246,0.5663716814159292,0.5492063492063493,0.6984126984126984,0.4,0.5945945945945946,0.5128205128205128,0.6423357664233577,0.10069839207406195,0.23448618385407258,20,30,19,44,12.0,6.48074069840786
LightGBM,0.6476190476190476,0.6486374015011214,0.5447039639887924,0.7521189512554909,0.7065194683821527,0.7128722947710239,0.5923787863024538,0.8217695925271021,0.6460176991150443,0.6412698412698412,0.6825396825396826,0.6,0.6825396825396826,0.6,0.6825396825396826,0.28253968253968254,0.2659436042681718,30,20,20,43,12.0,6.48074069840786
XGBoost,0.6304761904761904,0.6313103477145765,0.5237147009966777,0.7353372307256235,0.708228118372103,0.7133223552913127,0.5968963175335255,0.8118146043467138,0.584070796460177,0.5753968253968254,0.6507936507936508,0.5,0.6212121212121212,0.5319148936170213,0.6356589147286822,0.15173295000798592,0.2909058477441134,25,25,22,41,12.0,6.48074069840786
NaiveBayes,0.6226984126984128,0.623767064235485,0.519124339055483,0.7247801120448177,0.6782269088453381,0.6927398397903172,0.5580726392365374,0.8077481478310533,0.584070796460177,0.5485714285714285,0.8571428571428571,0.24,0.5869565217391305,0.5714285714285714,0.6967741935483871,0.10332601722100276,0.38608036910443055,12,38,9,54,12.0,6.48074069840786
