Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful
GradientBoosting,0.6848809523809523,0.1966357893692594,0.6473015873015873,0.6473015873015873,0.6453128671000079,0.7795377837225589,0.18549774426410207,0.735087813891192,0.6023669467787116,0.1341257991948265,0.584070796460177,0.5932142857142857,0.09604981464544342,0.5733333333333333,0.6138278388278388,0.14019854924317673,0.6176470588235294,0.7023809523809523,0.25265035037871064,0.6666666666666666,0.634271911663216,0.17430736022390567,0.6412213740458015,0.484047619047619,0.11523809523809522,0.48,0.1976249425837844,0.20652515647101394,0.14819566960705688,0.23574531685495992,12.8,12.8,3.7094473981982814,6,14.0,16,0.49849909972530326,0.8049005681818181,0.5311866330049283,0.8857585550514723,0.4603174603174603,0.7065311094452773,0.46170057259610536,0.6915634136382682,0.4153846153846154,0.7916863207547168,0.4871621621621622,0.8433829066265061,0.47368421052631576,0.7701909362778928,0.3283523787313433,0.6666666666666666,-0.07624047810482165,0.3784448187099079,0.18790203352365376,0.2848988576093122,2000,2000
RandomForest,0.6632539682539683,0.200330352011401,0.6114285714285713,0.6114285714285714,0.6206437465737332,0.7670155207087617,0.179693812941732,0.6563953276680823,0.6274649859943977,0.10919889191054967,0.6106194690265486,0.6259920634920635,0.07711431472757344,0.6095238095238096,0.6763336663336663,0.11880449179618936,0.6610169491525424,0.6636507936507937,0.24270894949460975,0.6190476190476191,0.6323745819397992,0.17492660655546452,0.639344262295082,0.5883333333333334,0.1851125783588643,0.6,0.2511408813703976,0.16114221785024327,0.21725440806045337,0.24713005540908825,12.8,12.8,3.7094473981982814,6,14.0,16,0.46176598913985084,0.7658142248376623,0.45865295920588905,0.8575068575087776,0.4957119741100324,0.7282608695652174,0.49511664565633223,0.7289227980487003,0.4582785087719299,0.83562154978532,0.4186046511627907,0.8088732114467406,0.46153846153846156,0.7703703703703704,0.4594594594594595,0.7727272727272727,-0.009900024535361492,0.4392565106463651,0.20693958265258364,0.2905974777208568,2000,2000
KNN,0.6552976190476191,0.09595627855856943,0.6225396825396825,0.6225396825396825,0.626752290704049,0.7280510561154082,0.08269772572078503,0.7155194517740644,0.5517927170868347,0.09019647641577559,0.5398230088495575,0.554404761904762,0.07726001946159373,0.5171428571428571,0.5888663967611336,0.10272701272224558,0.569620253164557,0.7585714285714287,0.18657135024616792,0.7142857142857143,0.6419806000451163,0.08753393554923068,0.6338028169014085,0.35023809523809524,0.11731211156259348,0.32,0.10920864964343224,0.15187755692992433,0.03545633617859478,0.24303436837042947,12.8,12.8,3.7094473981982814,6,14.0,16,0.4683600777855865,0.7486792229384941,0.5138252929789853,0.8446367213289857,0.39622174481599104,0.6601941747572816,0.404573413464012,0.6210334180488675,0.3536406025824964,0.7391586674195367,0.5471269296740996,0.8604724757138651,0.44776119402985076,0.7558139534883721,0.1911384381338743,0.4687959558823527,-0.18999103338027978,0.2475224492277322,0.20229566463781734,0.2942262874392289,2000,2000
NaiveBayes,0.6458730158730159,0.1525805983808806,0.6050793650793651,0.604920634920635,0.6087007596522829,0.7403917358746407,0.11522384729055783,0.6660621676998855,0.5881792717086836,0.11954962043711993,0.584070796460177,0.584642857142857,0.1113054988944939,0.5547619047619048,0.6139695087521174,0.104554328655655,0.5930232558139535,0.8333333333333333,0.18592445034090566,0.8095238095238095,0.6860350877192983,0.08893892087469504,0.6845637583892618,0.33595238095238095,0.181669007037287,0.3,0.1743161805426751,0.21984180035043585,0.11498083652724533,0.37096767177264556,12.8,12.8,3.7094473981982814,6,14.0,16,0.48531784480647017,0.7143257705745583,0.472797300348091,0.8205277490922654,0.4411764705882353,0.7043581780538302,0.4652729743083004,0.6301937217866476,0.3906154725609756,0.7523833097595474,0.6458333333333334,0.9230769230769231,0.49089126559714796,0.8028319489587095,0.18,0.4444444444444444,-0.06509107452742155,0.28075911681713506,0.2628608897509416,0.5009114345703052,2000,2000
ExtraTrees,0.6311111111111112,0.1285005193448932,0.607936507936508,0.607936507936508,0.6099146370115123,0.7325191932259847,0.13243298744880513,0.7001564780192127,0.5823669467787115,0.12025882777816002,0.5663716814159292,0.5903968253968255,0.09145543586802826,0.5657142857142857,0.644981684981685,0.16002109777846252,0.6206896551724138,0.6126984126984126,0.2342224717842797,0.5714285714285714,0.5904223602484471,0.1783519472618806,0.5950413223140496,0.5680952380952381,0.18120033137580888,0.56,0.1785139714706846,0.1842763051521688,0.13008641005498822,0.23515749000279929,12.8,12.8,3.7094473981982814,6,14.0,16,0.4915541981969379,0.7227387054029049,0.516384170337302,0.8371816617852891,0.46216871363930195,0.6734804791481809,0.4637458949096881,0.6714320728291316,0.4130115089514067,0.7922077922077922,0.4,0.7454545454545455,0.4300691244239632,0.7259284627092847,0.43394654088050316,0.6939724727100137,-0.06910791288634595,0.33720222809336337,0.21566398373458276,0.2504275263927291,2000,2000
XGBoost,0.6105555555555556,0.21613686023729872,0.593015873015873,0.593015873015873,0.5994204714543034,0.7144905873746715,0.17082002649161232,0.6866488823396344,0.6202240896358543,0.14856602189865684,0.6017699115044248,0.6227380952380953,0.10501244692209774,0.5974603174603175,0.6491666666666667,0.135615879109589,0.6451612903225806,0.6723809523809525,0.2492105954546742,0.6349206349206349,0.6315165692007797,0.19503305844312147,0.64,0.5730952380952381,0.14578274146739928,0.56,0.25469782848730216,0.21911071726101466,0.19451924600031678,0.3112081637891843,12.8,12.8,3.7094473981982814,6,14.0,16,0.44221005387153317,0.7562426650502095,0.4996349213546069,0.8441535325449954,0.5,0.716997780244173,0.5013066310445342,0.7099681001632181,0.45831567796610173,0.8030365126676601,0.46296296296296297,0.8182190760059611,0.4915254237288136,0.7659643547941419,0.43478260869565216,0.7017637178051511,0.0024607468316072225,0.41830612345771123,0.22042937547345023,0.39655444525065336,2000,2000
LogisticRegression,0.595515873015873,0.1051639411706777,0.6266666666666667,0.6266666666666667,0.6513430965619861,0.6857774062575588,0.1087541108811791,0.7010649628516319,0.6227871148459384,0.06121610822274516,0.6283185840707964,0.5611904761904761,0.08021230332961504,0.5985714285714285,0.6140917905623788,0.08433068667226301,0.6206896551724138,0.8414285714285714,0.153090609424215,0.8571428571428571,0.7029128963603016,0.08559196634251018,0.72,0.28095238095238095,0.2842821248876057,0.34,0.12222222222222219,0.15966786514666573,0.20741482965931857,0.23179274969405644,12.8,12.8,3.7094473981982814,6,14.0,16,0.49127749151769895,0.7616581116252169,0.5416881137269092,0.838805592131574,0.49523338048090526,0.7407474020783372,0.4902148664343786,0.6946254892064756,0.4431022727272729,0.7669965684633411,0.7115384615384616,0.9622816212438853,0.5689570655848547,0.8242444717444717,0.18,0.4905825885468387,-0.020498635310021326,0.3976592487184323,0.20340016995845644,0.259922748661868,2000,2000
LightGBM,0.5682539682539682,0.2191552818002393,0.5374603174603174,0.5374603174603174,0.5348108700759653,0.6942666318705919,0.1729942567656131,0.6967711111164221,0.5466526610644257,0.17934677831249202,0.5221238938053098,0.5336507936507936,0.14934357080770963,0.5177777777777778,0.5532051282051282,0.1769230769230769,0.5737704918032787,0.5958730158730159,0.2763028415834151,0.5555555555555556,0.5614333492594362,0.22940954949241507,0.5645161290322581,0.4714285714285714,0.11990169820965878,0.48,0.08708375692682861,0.2842058443880678,0.0354094214353462,0.3431659568436152,12.8,12.8,3.7094473981982814,6,14.0,16,0.3623114463176575,0.7192330754352029,0.5127290472810385,0.8403306296942271,0.39284879839786385,0.6545752608047688,0.3933490739949131,0.6448632756132754,0.3616759679107081,0.7543859649122807,0.35714285714285715,0.7619249394673122,0.37360774818401943,0.7142857142857143,0.33962264150943394,0.6415431266846359,-0.20795201893162701,0.28345323454111837,0.24427685518978506,0.44251818750709665,2000,2000
SVM_RBF,0.541547619047619,0.22582062494051797,0.6041269841269841,0.6041269841269841,0.6396742109797166,0.6633622700502084,0.15521352428536023,0.6750880243022447,0.6177871148459383,0.07970609030793073,0.6194690265486725,0.5821428571428571,0.07107053122190143,0.5782539682539682,0.6073389355742297,0.11137085818960106,0.6020408163265306,0.9380952380952381,0.0761904761904762,0.9365079365079365,0.7274638115185583,0.0670889010291188,0.7329192546583851,0.2261904761904762,0.20674565091516584,0.22,0.16203703703703703,0.14569732046496994,0.16869118905047042,0.23208910191381185,12.8,12.8,3.7094473981982814,6,14.0,16,0.46011714997331443,0.734392548686141,0.49623435302778146,0.8239745622327106,0.4752475247524752,0.7343979779411763,0.510795918367347,0.6381727778892454,0.42464715649647156,0.7404094827586206,0.8541539634146341,0.9880952380952381,0.576,0.8311727429197309,0.11363636363636363,0.325,0.021780943664949527,0.3045238815330103,0.19807990226400238,0.27341124623348784,2000,2000
SVM_Linear,0.5214682539682539,0.19554210747925901,0.543015873015873,0.543015873015873,0.5817213564100556,0.6501467736170354,0.14347649742448057,0.6534322109358972,0.5877871148459384,0.04494761087012648,0.5929203539823009,0.5430555555555555,0.060746697438503264,0.5482539682539682,0.5822619047619046,0.07551073266959686,0.5841584158415841,0.9349206349206349,0.0861248251825431,0.9365079365079365,0.7110085426494963,0.0493792760077012,0.7195121951219512,0.15119047619047618,0.08663526380314406,0.16,0.07940927197220105,0.11682851830471178,0.10471925594212883,0.2460321835778093,12.8,12.8,3.7094473981982814,6,14.0,16,0.39488068479181365,0.698613782051282,0.47714425676084726,0.810023416485158,0.4495272420894964,0.7142857142857143,0.4929418718262643,0.5955504433530526,0.4077669902912621,0.7272947925860547,0.8666666666666667,0.9857142857142858,0.5675516067248351,0.8216366366366366,0.07692307692307693,0.24144238856181632,-0.01596391459267578,0.2130832834225749,0.21041200042766633,0.2846491985267228,2000,2000
