Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post1_GLRLM_LongRunHighGreyLevelEmphasis
1,2,ADC_GLSZM_GreyLevelVariance
1,3,ADC_GLCM_DifferenceAverage
1,4,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
1,5,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
1,6,ADC_GLCM_ClusterTendency
1,7,Post1_Morph_Compactness1
1,8,ADC_NGTDM_Coarseness
1,9,Post1_IH_Uniformity_Intensity
1,10,ADC_NGTDM_Strength
1,11,ADC_IB_MedianIntensity
1,12,Post1_IH_IntensityHistogramMode_Intensity
2,1,Post1_IH_IntensityHistogramMode_Intensity
2,2,ADC_NGTDM_Coarseness
2,3,ADC_IB_AreaUnderCurveCIVH
2,4,ADC_IH_MaximumHistogramGradient_Intensity
2,5,ADC_GLSZM_SmallZoneHighGreyLevelEmphasis
2,6,ADC_GLCM_ClusterTendency
2,7,Post1_Morph_Compactness1
2,8,Post1_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm
2,9,Post1_GLCM_InverseVariance
2,10,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
2,11,ADC_GLSZM_LargeZoneEmphasis
2,12,ADC_GLSZM_HighGrayLevelZoneEmphasis
3,1,Post1_IH_IntensityHistogramMode_Intensity
3,2,ADC_NGTDM_Coarseness
3,3,Post1_Morph_Asphericity
3,4,ADC_IH_IntensityHistogramMaximumGreyLevel_Intensity
3,5,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
3,6,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
4,1,Post1_IH_IntensityHistogramMedian_Intensity
4,2,ADC_IH_MaximumHistogramGradient_Intensity
4,3,ADC_GLSZM_GreyLevelVariance
4,4,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
4,5,ADC_GLSZM_ZoneSizeNonUniformity
4,6,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
4,7,Post1_GLSZM_SmallZoneLowGreyLevelEmphasis
4,8,Post1_GLCM_InverseVariance
5,1,ADC_IB_MedianIntensity
5,2,Post1_IH_IntensityHistogramMode_Intensity
5,3,Post1_GLCM_Correlation
5,4,ADC_GLCM_ClusterTendency
5,5,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
5,6,ADC_NGTDM_Coarseness
5,7,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
5,8,Post1_GLRLM_LowGreyLevelRunEmphasis
