Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post1_IH_Uniformity_Intensity
1,2,ADC_IH_IntensityHistogramMedian_Intensity
1,3,ADC_GLSZM_GreyLevelVariance
1,4,ADC_GLCM_ClusterTendency
1,5,Post1_IH_IntensityHistogramMode_Intensity
1,6,Post1_Morph_Compactness2
1,7,ADC_GLSZM_SmallZoneEmphasis
1,8,ADC_GLCM_DifferenceVariance
1,9,Post1_GLSZM_SmallZoneLowGreyLevelEmphasis
1,10,ADC_IH_IntensityHistogramSkewness_Intensity
1,11,Post1_GLSZM_GreyLevelNonUniformity
1,12,Post1_GLCM_SumAverage
1,13,ADC_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm
1,14,ADC_GLSZM_NormalisedZoneSizeNonUniformity
1,15,Post1_Morph_Asphericity
1,16,Post1_GLCM_JointAverage
2,1,Post1_IH_IntensityHistogramMode_Intensity
2,2,ADC_Morph_SurfaceToVolumeRatio_cm
2,3,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
2,4,Post1_Morph_IntegratedIntensity_Intensity
2,5,ADC_GLRLM_ShortRunHighGreyLevelEmphasis
2,6,ADC_GLCM_ClusterTendency
2,7,ADC_Morph_Compactness2
2,8,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
2,9,ADC_IH_IntensityHistogramMedian_Intensity
2,10,Post1_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
2,11,ADC_GLSZM_LargeZoneEmphasis
2,12,Post1_GLCM_ClusterShade
2,13,ADC_Morph_Sphericity
2,14,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,1,Post1_GLRLM_HighGreyLevelRunEmphasis
3,2,Post1_IH_IntensityHistogramMode_Intensity
3,3,ADC_Morph_Compactness2
3,4,ADC_Morph_SphericalDisproportion
4,1,Post1_IB_MedianIntensity
4,2,ADC_Morph_Compactness2
4,3,Post1_IH_IntensityHistogramMode_Intensity
4,4,ADC_IB_MedianIntensity
5,1,ADC_GLCM_Correlation
5,2,Post1_Morph_Compacity
5,3,Post1_GLRLM_HighGreyLevelRunEmphasis
5,4,ADC_IH_IntensityHistogramMedian_Intensity
5,5,ADC_GLRLM_ShortRunLowGreyLevelEmphasis
5,6,ADC_GLRLM_RunEntropy
5,7,Post1_GLRLM_LowGreyLevelRunEmphasis
5,8,Post1_Morph_SphericalDisproportion
5,9,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
5,10,Post1_GLCM_ClusterShade
5,11,ADC_GLCM_DifferenceAverage
5,12,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
