Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC,Kappa
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LogisticRegression,0.7933884297520661,0.7272727272727273,0.7272727272727273,0.8631801205330618,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.4923333333333333,0.4545454545454546
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_RBF,0.8099173553719008,0.6818181818181818,0.6818181818181819,0.8710084033613446,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.6363636363636364,0.5673333333333332,0.36363636363636365
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_Linear,0.8016528925619835,0.6818181818181818,0.6818181818181819,0.8541847041847042,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.6363636363636364,0.5256666666666666,0.36363636363636365
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",RandomForest,0.8181818181818181,0.7727272727272727,0.7727272727272727,0.8517177267177267,0.875,0.6363636363636364,0.7368421052631579,0.9090909090909091,0.6256666666666667,0.5454545454545454
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",GradientBoosting,0.6694214876033059,0.5909090909090909,0.5909090909090909,0.7721369539551358,0.5714285714285714,0.7272727272727273,0.64,0.45454545454545453,0.534,0.18181818181818177
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",ExtraTrees,0.8099173553719008,0.7272727272727273,0.7272727272727273,0.8500972438138215,0.7777777777777778,0.6363636363636364,0.7,0.8181818181818182,0.5756666666666665,0.4545454545454546
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",KNN,0.640495867768595,0.5909090909090909,0.5909090909090908,0.6714196973555262,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.5454545454545454,0.6423333333333333,0.18181818181818177
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",NaiveBayes,0.7603305785123967,0.5454545454545454,0.5454545454545454,0.8462151883204516,0.5238095238095238,1.0,0.6875,0.09090909090909091,0.446962962962963,0.09090909090909094
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",XGBoost,0.6611570247933884,0.6363636363636364,0.6363636363636364,0.648089576558476,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.5454545454545454,0.6923333333333334,0.2727272727272727
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LightGBM,0.6115702479338844,0.5454545454545454,0.5454545454545454,0.7437115516062885,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.45454545454545453,0.6839999999999999,0.09090909090909094
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LogisticRegression,0.6333333333333333,0.6521739130434783,0.675,0.8269979111539213,0.8181818181818182,0.6,0.6923076923076923,0.75,0.5703636363636363,0.31343283582089554
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",SVM_RBF,0.6083333333333333,0.6521739130434783,0.675,0.809864929756234,0.8181818181818182,0.6,0.6923076923076923,0.75,0.5157460317460317,0.31343283582089554
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",SVM_Linear,0.6833333333333333,0.6521739130434783,0.675,0.831551133416122,0.8181818181818182,0.6,0.6923076923076923,0.75,0.5718787878787879,0.31343283582089554
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",RandomForest,0.5,0.5652173913043478,0.5208333333333333,0.7529924503837546,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.6082424242424243,0.04166666666666663
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",GradientBoosting,0.5833333333333333,0.6086956521739131,0.5833333333333333,0.7970454562014664,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.5,0.5236825396825397,0.16194331983805677
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",ExtraTrees,0.4916666666666667,0.43478260869565216,0.39166666666666666,0.6941284975724334,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.25,0.6143030303030302,-0.21052631578947367
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",KNN,0.6166666666666667,0.6086956521739131,0.6125,0.7825057638676565,0.75,0.6,0.6666666666666666,0.625,0.5415757575757576,0.2068965517241379
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",NaiveBayes,0.625,0.6521739130434783,0.5291666666666667,0.7511691576397458,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.125,0.5779393939393939,0.07070707070707061
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",XGBoost,0.675,0.5217391304347826,0.5166666666666666,0.8144493323440691,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.5,0.5718787878787879,0.030651340996168508
2,91,23,16,16,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LightGBM,0.5416666666666666,0.5217391304347826,0.4875,0.7575854256968808,0.6428571428571429,0.6,0.6206896551724138,0.375,0.5597575757575758,-0.02429149797570851
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",LogisticRegression,0.6851851851851851,0.6666666666666666,0.6944444444444444,0.5525539275539275,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.5,0.5007619047619047,0.36363636363636365
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_RBF,0.375,0.42857142857142855,0.4722222222222222,0.41704506363949084,0.4117647058823529,0.7777777777777778,0.5384615384615384,0.16666666666666666,0.5661754385964912,-0.050000000000000044
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_Linear,0.6851851851851851,0.6666666666666666,0.6944444444444444,0.5562576312576313,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.5,0.5815263157894737,0.36363636363636365
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",RandomForest,0.6296296296296297,0.5714285714285714,0.5972222222222222,0.6690476190476191,0.5,0.7777777777777778,0.6086956521739131,0.4166666666666667,0.5769523809523809,0.18181818181818177
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",GradientBoosting,0.7129629629629629,0.6666666666666666,0.6666666666666666,0.5746031746031746,0.6,0.6666666666666666,0.631578947368421,0.6666666666666666,0.565047619047619,0.3287671232876712
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",ExtraTrees,0.7685185185185185,0.6666666666666666,0.6944444444444444,0.7586700336700338,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.5,0.5606929824561404,0.36363636363636365
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",KNN,0.4907407407407407,0.42857142857142855,0.4305555555555556,0.5936036357862984,0.36363636363636365,0.4444444444444444,0.4,0.4166666666666667,0.596,-0.1351351351351351
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",NaiveBayes,0.5277777777777779,0.5238095238095238,0.5555555555555556,0.44356779748936614,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.3333333333333333,0.4214385964912281,0.10256410256410253
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",XGBoost,0.5972222222222222,0.5238095238095238,0.5555555555555556,0.5539136302294196,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.3333333333333333,0.6531428571428571,0.10256410256410253
3,93,21,4,4,auto,auto,corr_mrmr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",LightGBM,0.6296296296296297,0.6190476190476191,0.6388888888888888,0.5424162257495591,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.5,0.5721904761904762,0.26315789473684215
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",LogisticRegression,0.7218045112781954,0.5,0.6578947368421053,0.8802673176268652,1.0,0.3157894736842105,0.48,1.0,0.7429427609427609,0.19905213270142175
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",SVM_RBF,0.6842105263157895,0.4230769230769231,0.5150375939849624,0.8670010517290203,0.75,0.3157894736842105,0.4444444444444444,0.7142857142857143,0.6655016835016835,0.02010050251256279
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",SVM_Linear,0.7067669172932332,0.5,0.6578947368421053,0.8721428397655453,1.0,0.3157894736842105,0.48,1.0,0.7227407407407407,0.19905213270142175
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",RandomForest,0.6842105263157895,0.5384615384615384,0.6842105263157895,0.8801652673092302,1.0,0.3684210526315789,0.5384615384615384,1.0,0.8237508417508418,0.23902439024390243
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",GradientBoosting,0.6842105263157896,0.5,0.612781954887218,0.881251830088094,0.875,0.3684210526315789,0.5185185185185185,0.8571428571428571,0.7968148148148148,0.1507537688442211
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",ExtraTrees,0.7142857142857143,0.4230769230769231,0.5601503759398496,0.8867532959499718,0.8333333333333334,0.2631578947368421,0.4,0.8571428571428571,0.7867138047138047,0.07582938388625593
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",KNN,0.5526315789473685,0.5384615384615384,0.6842105263157895,0.8441531575534342,1.0,0.3684210526315789,0.5384615384615384,1.0,0.7698787878787877,0.23902439024390243
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",NaiveBayes,0.631578947368421,0.7307692307692307,0.6353383458646616,0.833122390242407,0.8,0.8421052631578947,0.8205128205128205,0.42857142857142855,0.6764444444444444,0.2834645669291339
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",XGBoost,0.6466165413533834,0.5769230769230769,0.6654135338345865,0.8476635114654505,0.9,0.47368421052631576,0.6206896551724138,0.8571428571428571,0.8203838383838383,0.23529411764705876
4,88,26,18,18,auto,auto,corr_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",LightGBM,0.6691729323308271,0.5769230769230769,0.6654135338345865,0.8605398698234208,0.9,0.47368421052631576,0.6206896551724138,0.8571428571428571,0.7835873015873015,0.23529411764705876
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",LogisticRegression,0.7,0.5454545454545454,0.55,0.681895873734109,0.5,0.6,0.5454545454545454,0.5,0.6151111111111109,0.09836065573770503
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",SVM_RBF,0.725,0.6363636363636364,0.6416666666666666,0.6848970473970474,0.5833333333333334,0.7,0.6363636363636364,0.5833333333333334,0.6362222222222222,0.278688524590164
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",SVM_Linear,0.6416666666666666,0.5909090909090909,0.5833333333333333,0.6568577694235588,0.5555555555555556,0.5,0.5263157894736842,0.6666666666666666,0.659,0.16806722689075626
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",RandomForest,0.5166666666666666,0.5,0.5083333333333333,0.5279195314489432,0.46153846153846156,0.6,0.5217391304347826,0.4166666666666667,0.7906666666666666,0.016260162601625994
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",GradientBoosting,0.49583333333333335,0.5454545454545454,0.55,0.5219361684067566,0.5,0.6,0.5454545454545454,0.5,0.792888888888889,0.09836065573770503
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",ExtraTrees,0.6416666666666667,0.5909090909090909,0.5916666666666667,0.6610701798201797,0.5454545454545454,0.6,0.5714285714285714,0.5833333333333334,0.7595555555555555,0.18181818181818177
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",KNN,0.6541666666666667,0.5909090909090909,0.5833333333333333,0.6338095238095238,0.5555555555555556,0.5,0.5263157894736842,0.6666666666666666,0.7684444444444445,0.16806722689075626
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",NaiveBayes,0.4083333333333334,0.36363636363636365,0.3833333333333333,0.45372129418569046,0.375,0.6,0.46153846153846156,0.16666666666666666,0.609,-0.22222222222222232
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",XGBoost,0.55,0.5,0.5083333333333333,0.5455385790679907,0.46153846153846156,0.6,0.5217391304347826,0.4166666666666667,0.7773333333333333,0.016260162601625994
5,92,22,16,16,auto,auto,corr_mrmr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",LightGBM,0.48333333333333334,0.45454545454545453,0.45833333333333337,0.5020495680789798,0.4166666666666667,0.5,0.45454545454545453,0.4166666666666667,0.734,-0.08196721311475397
