Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful
LogisticRegression,0.7067422919097559,0.052217748333488,0.6446875,0.6446875,0.636657433056325,0.7609790301203769,0.12548180750574447,0.7477989926552975,0.6183135704874835,0.08326245377806374,0.6140350877192983,0.6609223817118555,0.06006199760355847,0.6190625000000001,0.7233766233766235,0.1780500061466376,0.6851851851851852,0.6263902179691654,0.18812152586947223,0.578125,0.6281374277896017,0.09724713665645457,0.6271186440677966,0.6954545454545455,0.18608626809507928,0.66,0.2858054884883681,0.12486456795833013,0.23302752293577977,0.24900680329717825,14.0,14.0,5.059644256269407,4,16.0,18,0.5204280873025744,0.7597856728412267,0.5796122287115762,0.8645328992607502,0.5046629123731927,0.7222222222222222,0.5071413009648303,0.7317738597972973,0.4571273291925466,0.86,0.4117647058823529,0.7285774818401937,0.45233903420523147,0.7516778523489933,0.5090829346092504,0.8181818181818182,0.014209124001071622,0.44067998997122193,0.20324735036931527,0.29879531361589057,2000,2000
SVM_Linear,0.7037209990080804,0.053310237030674994,0.63609375,0.63609375,0.6284241305016927,0.7541988156095123,0.1253374194353351,0.7327803904664272,0.6183135704874835,0.06673303054836481,0.6140350877192983,0.6584981392876129,0.039391331009963046,0.6212500000000001,0.7223665223665223,0.1673150061541241,0.6923076923076923,0.6063902179691654,0.19505208846414623,0.5625,0.6179855659214927,0.09490136646124593,0.6206896551724138,0.7106060606060606,0.16558880111896063,0.68,0.28156498453716017,0.08267659183682038,0.23629719853836784,0.2450134359409198,14.0,14.0,5.059644256269407,4,16.0,18,0.5138500846637639,0.7500024066230266,0.5504095365921615,0.8644269902531048,0.4951381243118807,0.7166745283018867,0.5008847549909256,0.7246536072623029,0.46771505376344086,0.8571428571428571,0.3906154725609756,0.7160585959093421,0.43898628048780497,0.7432462329586222,0.5262934879571811,0.8250271739130433,0.0016222961730448888,0.4321441019373529,0.21584236600488513,0.2778862978487294,2000,2000
ExtraTrees,0.6852109843018934,0.11197559971131182,0.6115625,0.6115625,0.6017236072637735,0.7701438501652881,0.08694521937342453,0.7206862404063138,0.5685416033242119,0.12196380127748437,0.5614035087719298,0.5930401761980709,0.11826759422347764,0.565625,0.6598845598845599,0.12060384722388168,0.6296296296296297,0.5843487506645401,0.2007293423826226,0.53125,0.5837609766545299,0.11043341375447153,0.576271186440678,0.6017316017316018,0.22203087187132747,0.6,0.17306061361935646,0.23333339735888578,0.12844036697247696,0.2534440412822553,14.0,14.0,5.059644256269407,4,16.0,18,0.4695672077480523,0.7388338810100311,0.5204761354580587,0.8503780249554174,0.44658147151713656,0.6778580950629769,0.4532345559251047,0.680755048584188,0.4,0.8043610816542948,0.35714285714285715,0.7027277277277276,0.39603960396039606,0.712126400996264,0.4666279069767443,0.741958525345622,-0.09150220795636804,0.35411601205320037,0.2326351478187202,0.27857402251450003,2000,2000
SVM_RBF,0.6404922430042047,0.1478364261984182,0.60515625,0.60515625,0.6011849799938442,0.7299632991766274,0.17029746139593735,0.7031340744010641,0.5644008165747296,0.11409791152788717,0.5614035087719298,0.5971489329384067,0.08667231853352825,0.5590625,0.6459893048128342,0.14119700646477207,0.6166666666666667,0.6241679957469431,0.16471699885295368,0.578125,0.601445897098071,0.09691895841751157,0.5967741935483871,0.5701298701298702,0.20998950964400395,0.54,0.1851716453119972,0.16709289651636644,0.11710037174721188,0.24906437604539655,14.0,14.0,5.059644256269407,4,16.0,18,0.4878434329119478,0.7305798602432176,0.5178449049311151,0.8476431899443791,0.448,0.6666666666666666,0.4459624887690925,0.6733798382820784,0.40384615384615385,0.8,0.4375,0.7142857142857143,0.43805194805194814,0.7143073593073592,0.3666463414634146,0.7200232558139533,-0.10647955801353266,0.3281739727151349,0.2144696625724036,0.28303581132448974,2000,2000
RandomForest,0.6297377281587807,0.11670082736957094,0.5509375,0.5509375000000001,0.5602493074792244,0.7363685189814547,0.12825161489940487,0.5954074321616813,0.5895669547843461,0.09497747862335583,0.5877192982456141,0.6166653375863902,0.1002150797436332,0.5890625,0.7006410256410256,0.2090923058685769,0.6491228070175439,0.609845826687932,0.13454798706339544,0.578125,0.6144810186000117,0.0801362178283734,0.6115702479338843,0.6234848484848485,0.272259700199308,0.6,0.2048447893569844,0.189686444899771,0.17543859649122806,0.282534802970384,14.0,14.0,5.059644256269407,4,16.0,18,0.4078331745821612,0.698788003895664,0.40223543455543237,0.8167726960234076,0.46314144736842106,0.7187564566115702,0.46583328969417687,0.7174079106280192,0.4210263157894737,0.8387096774193549,0.3958212209302326,0.75,0.42853675450762835,0.7552447552447552,0.442296511627907,0.783797032326444,-0.06828778785573499,0.42509481774076413,0.22199908131445245,0.3498636780600704,2000,2000
GradientBoosting,0.6291523287097449,0.07943622292257743,0.5654687499999999,0.56546875,0.5631732840874114,0.7093947166509256,0.13745077303680212,0.6652165825638007,0.5823451910408431,0.056602912741168944,0.5789473684210527,0.6007382091592618,0.038640705110663226,0.5790625,0.6521428571428571,0.13107872692798486,0.6379310344827587,0.6058054226475279,0.12533756835044366,0.578125,0.6050414367510556,0.0634391643558729,0.6065573770491803,0.5956709956709957,0.1494190194219076,0.58,0.18432860990516717,0.07731448338406337,0.15607649599012952,0.27840671732527245,14.0,14.0,5.059644256269407,4,16.0,18,0.42164925735077463,0.7031783925416094,0.46519520356098293,0.8256036666103492,0.45454545454545453,0.6875125,0.4551020408163266,0.6891198736968208,0.43333333333333335,0.795475589225589,0.41379310344827586,0.7258431085043986,0.4444444444444444,0.72625845339606,0.4,0.7441860465116279,-0.0855531273070291,0.37500190897984115,0.22528120158199594,0.33824679213418535,2000,2000
XGBoost,0.6259991576737989,0.04618705156205208,0.5792187499999999,0.5792187499999999,0.5809479839950754,0.6819309259330811,0.1274087557078334,0.6661030503695698,0.5517670735062039,0.04930017201742975,0.5526315789473685,0.5764665451507557,0.06348961779189696,0.546875,0.622051282051282,0.16074775957714926,0.6031746031746031,0.6224136097820309,0.11462247508804004,0.59375,0.5970042756399578,0.04750799010855361,0.5984251968503937,0.5305194805194804,0.17870767464044182,0.5,0.1314993993072457,0.10488691026549149,0.09354536950420955,0.32251603204987933,14.0,14.0,5.059644256269407,4,16.0,18,0.44007724911129364,0.7130372582805972,0.46250582404643076,0.8146196152201488,0.4251801366810281,0.6734747583243823,0.4267331332189823,0.6635672883064515,0.38093561368209256,0.7792402597402597,0.3888605442176871,0.7727272727272727,0.4085136790526747,0.7337299391256226,0.34146341463414637,0.6735076530612243,-0.14626063811833662,0.32268736266608367,0.24368384515598765,0.4101256640966824,2000,2000
KNN,0.5909403041580076,0.06102898240187433,0.5721875000000001,0.5721875000000001,0.5766004924592182,0.7050983556744879,0.0937822658145549,0.6838237529751636,0.5515093602050124,0.06581630532756055,0.5526315789473685,0.5803017012227538,0.08292091416254088,0.56,0.6505050505050505,0.2134792984728055,0.6274509803921569,0.509845826687932,0.09849850653704169,0.5,0.5480279293551604,0.08970052765175943,0.5565217391304348,0.6507575757575756,0.1943059982003621,0.62,0.13213424310836866,0.13579948452045792,0.11668185961713773,0.28785247619948867,14.0,14.0,5.059644256269407,4,16.0,18,0.42096893874029356,0.706985590197883,0.48518797957555326,0.827437819343031,0.44660194174757284,0.660377358490566,0.44910009057971023,0.6686986568635505,0.3998837209302328,0.8035801820728291,0.35714285714285715,0.6349567099567097,0.39432847082494976,0.6721345915415347,0.4666279069767443,0.7714610389610388,-0.09967582234870154,0.31856528691178343,0.22751594293172178,0.35175820435018723,2000,2000
NaiveBayes,0.5906041273983857,0.11733616041708167,0.605,0.60484375,0.6086488150200062,0.6655591655755321,0.18011027445193453,0.6920308446242589,0.5631687153426285,0.12464987375799956,0.5701754385964912,0.5297696893749525,0.08185308405319655,0.531875,0.5664285714285715,0.15034427611500287,0.5806451612903226,0.8306432748538011,0.1380937411000507,0.84375,0.6661324786324787,0.13074321706510206,0.6878980891719745,0.22889610389610388,0.12998822192220447,0.22,0.06508452177743514,0.16268881318110895,0.06806806806806809,0.37628912213573534,14.0,14.0,5.059644256269407,4,16.0,18,0.44941271002639216,0.742740883773369,0.4613001531435933,0.8494356350387237,0.4252801724137931,0.696,0.45738332847707847,0.6012621077709163,0.3866590909090909,0.7391417572463767,0.7179347826086957,0.93447827218319,0.5161290322580645,0.8000471698113205,0.10165254237288143,0.3606818974537843,-0.08515960038481855,0.21876070205479448,0.269971998708575,0.5083666315255632,2000,2000
LightGBM,0.5870745619788682,0.06629514960415138,0.5396875000000001,0.5396875000000001,0.5347799322868575,0.6812605281910258,0.13657306556256016,0.6551810633386215,0.5435419652810958,0.05516303628071807,0.543859649122807,0.5591180603022708,0.08140701711340588,0.5390625,0.6072893772893773,0.16294547259478898,0.5967741935483871,0.597565124933546,0.10849266141873895,0.578125,0.5831243469174503,0.0666172679539576,0.5873015873015873,0.5206709956709956,0.17323402104952446,0.5,0.09662047844050588,0.1367559715704541,0.07778469197261972,0.3133746084282942,14.0,14.0,5.059644256269407,4,16.0,18,0.4151918435250688,0.6568218344155843,0.4803113429218081,0.7851339623191012,0.4262219186399514,0.6585365853658537,0.4222168803418804,0.6539801620594302,0.38773864384463463,0.76390931372549,0.3942896509491734,0.7424242424242424,0.4074074074074074,0.7162274774774774,0.3477842809364549,0.6470588235294118,-0.14884531455470634,0.301571941996896,0.25579067274774214,0.37394631392844735,2000,2000
