Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful
SVM_Linear,0.7501455429206626,0.12570406320908709,0.6778124999999999,0.6778124999999999,0.6795552477685441,0.8116309997007548,0.14245494998310468,0.7748796444400892,0.6486122573079094,0.0680185506636271,0.6491228070175439,0.6818992557150452,0.07169027230453479,0.6415625,0.7071428571428571,0.17261494247992248,0.6818181818181818,0.7448591174906964,0.1545978806362305,0.703125,0.6925977011494253,0.055955817461001284,0.6923076923076923,0.6189393939393939,0.21966561949779037,0.58,0.3239073748391208,0.12741843282041185,0.2843691148775894,0.23353535121397695,10.8,10.8,5.878775382679628,4,12.0,18,0.5244150680673443,0.801903766825879,0.5808036886162589,0.8965752075421944,0.5195806100217866,0.7685363247863246,0.5136499613016836,0.7597916260954234,0.4716913746630728,0.8533709677419353,0.5272727272727272,0.8475211864406775,0.5306122448979592,0.8142878528656972,0.4081443688586546,0.7674418604651163,0.027108486921973377,0.5162740216374787,0.18170748143565318,0.2941437653481223,2000,2000
SVM_RBF,0.7484975754353744,0.10900367530819705,0.6809375,0.6809375,0.6822483841181901,0.8248104257259794,0.12253675980232201,0.7912363758518925,0.658136066831719,0.05932258912457293,0.6578947368421053,0.6902325890483785,0.06509585632596407,0.6515625,0.7138095238095238,0.1649599690325503,0.6923076923076923,0.7448591174906964,0.1545978806362305,0.703125,0.6979310344827586,0.05180530030713851,0.6976744186046512,0.6356060606060605,0.19960935218635703,0.6,0.3398113021354531,0.11570002199012319,0.3037895396179142,0.2359718047556486,10.8,10.8,5.878775382679628,4,12.0,18,0.5181730091613813,0.8124435699435699,0.5938529672071954,0.8997359913978517,0.5356986215538847,0.7698430257058576,0.5347222222222222,0.7592468635545967,0.5,0.8428641456582633,0.5217391304347826,0.8518670309653915,0.5287247885491217,0.8108108108108109,0.4499202127659576,0.7560975609756098,0.06858480072984494,0.5114260246803054,0.1823390320594725,0.30204191737027386,2000,2000
LogisticRegression,0.7389708315784871,0.12003489892644433,0.694375,0.694375,0.6949830717143737,0.8051835193944228,0.14098005928524462,0.7824447007050079,0.6499109586066107,0.09318308745603661,0.6491228070175439,0.6810659223817119,0.1054469035020895,0.6525000000000001,0.7148229548229548,0.18524248269398377,0.7142857142857143,0.6515257841573631,0.20765030959104128,0.625,0.6555961062530935,0.12837750781213866,0.6666666666666666,0.7106060606060607,0.1569773017930838,0.68,0.3195241043785936,0.19428395529420958,0.2997542997542998,0.2286658632697301,10.8,10.8,5.878775382679628,4,12.0,18,0.5496925908521303,0.8132270267791637,0.5866989212543946,0.8997929474789845,0.5298780487804878,0.7520678816133362,0.5306817595459237,0.7628395488657528,0.4897959183673469,0.8860759493670886,0.43331081081081085,0.7778248587570619,0.4856403940886701,0.7865313519391083,0.5348837209302325,0.8393035714285714,0.06052095629578414,0.49690509390387355,0.17909051714268892,0.28477373510522247,2000,2000
KNN,0.730826239151598,0.09188570337567308,0.67265625,0.67265625,0.6865189289012004,0.805522773246142,0.07472011187709156,0.787089463593218,0.6173102260058781,0.07208658010591182,0.6140350877192983,0.6520188729399257,0.06669141624574665,0.6168750000000001,0.7027472527472527,0.1726569123170252,0.6785714285714286,0.6350983519404572,0.19418003668151146,0.59375,0.6301560758082496,0.0952195573676876,0.6333333333333333,0.668939393939394,0.17231476526618944,0.64,0.2694872186966384,0.12853750946211406,0.22972972972972983,0.23360554941519326,10.8,10.8,5.878775382679628,4,12.0,18,0.5158737160872254,0.8036045480346246,0.6209985449256696,0.8922479115598383,0.4999000000000002,0.7272894385026737,0.49711186466317064,0.731133724248131,0.45943130630630635,0.838756428237494,0.4199651162790698,0.7576018808777428,0.45652173913043476,0.758633274603574,0.47690476190476194,0.7963041431261769,-0.005579669912371164,0.44874496658490737,0.17755403111274817,0.2959309974012971,2000,2000
RandomForest,0.7211173710216773,0.15583632445098836,0.6781250000000001,0.6781250000000001,0.680594028931979,0.8142623271002234,0.11648524214150963,0.785787375800627,0.6257930475321778,0.08682476765895951,0.6228070175438597,0.6465170502012606,0.088810401039562,0.6225,0.6815873015873016,0.12410871460565645,0.6779661016949152,0.6609994683678895,0.1953404349411971,0.625,0.6470500422303468,0.09380095991133905,0.6504065040650406,0.632034632034632,0.13172556261079446,0.62,0.2686207189249785,0.17522330449786705,0.2423493044822257,0.2289993896373777,10.8,10.8,5.878775382679628,4,12.0,18,0.5375303201506592,0.7991772126547279,0.6135945676616467,0.8953115020426144,0.5040966386554624,0.7203485264925942,0.5096966589603997,0.7211567811969399,0.48385752688172046,0.8286198547215494,0.43856907894736846,0.7833522727272726,0.4819165551093262,0.7619360902255637,0.5,0.75,0.019146958952125606,0.4301081745306065,0.1872742762939139,0.27667772456177403,2000,2000
ExtraTrees,0.7209315874626879,0.14201193698967807,0.6710937499999999,0.6710937499999999,0.6731301939058172,0.8203696705265575,0.11967379169467335,0.747223097464185,0.6594347681304203,0.07835722045046663,0.6578947368421053,0.6886416799574694,0.09090390797005897,0.6646875,0.7317948717948718,0.16499437162914535,0.7358490566037735,0.6333439659755449,0.1872831027610447,0.609375,0.6572008757526,0.11505566635143208,0.6666666666666666,0.7439393939393939,0.13350539861764055,0.72,0.3354559352246291,0.16386999983799747,0.3216356423558132,0.2288239362524565,10.8,10.8,5.878775382679628,4,12.0,18,0.506058744252418,0.8043844799566631,0.5508941017840208,0.8877231610546186,0.5221142747210467,0.7723669623059867,0.5311136544152848,0.7774418242906919,0.5134961884961885,0.882377450980392,0.4053893178893179,0.7755303437164338,0.4680652217140585,0.794732396269766,0.5641025641025641,0.8604812661498706,0.058543004357932964,0.5418613901304464,0.19777615126562909,0.2636504862154771,2000,2000
GradientBoosting,0.6926573320353225,0.12851500145524394,0.66140625,0.66140625,0.6390427823945829,0.7607543282530836,0.13814393211262982,0.7502030246545344,0.5772459424633338,0.09167130537878883,0.5789473684210527,0.6018559656717551,0.09142909373451906,0.5549999999999999,0.633511586452763,0.16535741681358448,0.6,0.7981924508240297,0.1746233373368262,0.75,0.6685897435897435,0.05452864184137626,0.6666666666666666,0.4055194805194805,0.2874401827525506,0.36,0.18059601540264522,0.16750597504496137,0.11398963730569955,0.24336399088655122,10.8,10.8,5.878775382679628,4,12.0,18,0.5182634310406272,0.785920991080347,0.5532679446665293,0.8778084175872264,0.44327418715305317,0.7073228255867464,0.44163901601830663,0.6713878837062855,0.40860215053763443,0.7701477832512313,0.5749583333333333,0.9000409836065572,0.5043441724515894,0.7840153846153846,0.2153571428571429,0.5454974271012004,-0.11540359107085085,0.3494351672258659,0.20741078761123063,0.28226702271382753,2000,2000
NaiveBayes,0.6861229865296851,0.13008502664974422,0.6184374999999999,0.6184375,0.6165743305632503,0.7445182783768731,0.1562705992155272,0.6880977362420124,0.5476465563422085,0.1301354744152743,0.5526315789473685,0.5399832915622389,0.13756465178114338,0.520625,0.5932646301067352,0.18595159442673787,0.5747126436781609,0.7903561935140881,0.11668167579906721,0.78125,0.6542080608265258,0.09948618870156274,0.6622516556291391,0.2896103896103896,0.33869970519902415,0.26,0.05698677568050259,0.23909868056137895,0.04343534057255671,0.360777004456973,10.8,10.8,5.878775382679628,4,12.0,18,0.4831859968197178,0.7280102272727272,0.47027720134162,0.846670659964939,0.41128843834790474,0.6720067226890757,0.43237317850637524,0.6053596205522646,0.3713340336134456,0.7356624319419236,0.6557235726399095,0.873015873015873,0.48481060606060616,0.7755213560834169,0.11363636363636363,0.4222222222222222,-0.13620375237880986,0.21931868012435493,0.2687158680067095,0.4733639529453748,2000,2000
LightGBM,0.6615368655799277,0.09140987461808699,0.6375,0.6375,0.6429670667897815,0.7487116674463008,0.07391240733815774,0.6888588524509107,0.6330524547915852,0.08052200052365718,0.631578947368421,0.655113541429331,0.08309935816442639,0.628125,0.6884848484848485,0.1327072075603871,0.6774193548387096,0.6933439659755448,0.14653902095598512,0.65625,0.6689796515883472,0.0629619673843097,0.6666666666666666,0.6168831168831169,0.15797752169057075,0.6,0.283722729778653,0.16283772858768522,0.25513378967019285,0.27478039815575367,10.8,10.8,5.878775382679628,4,12.0,18,0.49645097809991423,0.7699565675552517,0.4671694673763785,0.8534998343212484,0.5039968992248062,0.75,0.5030951283305736,0.7451134453781512,0.4642857142857143,0.8364104278074863,0.47722615499254856,0.8125264830508473,0.49121151936444885,0.7862098437960507,0.4137423935091279,0.777833333333333,0.006037201755151667,0.4860255526368828,0.20428669497863366,0.3555719797749598,2000,2000
XGBoost,0.6522359387909626,0.1254160198994167,0.61125,0.61125,0.616112650046168,0.7600008691547256,0.10275112514239458,0.6874003212451725,0.6075735858344553,0.08117836804736092,0.6052631578947368,0.6117369180527075,0.10044231811911838,0.5959375,0.6466666666666667,0.10241527663824812,0.6417910447761194,0.7048591174906964,0.16090131788294926,0.671875,0.6562117452440033,0.06216789899232417,0.6564885496183206,0.5186147186147185,0.1693954937571331,0.52,0.20722410922410922,0.19925018672064856,0.19314249764076752,0.2843744872643308,10.8,10.8,5.878775382679628,4,12.0,18,0.46554861111111107,0.7497225913457752,0.46193013603490607,0.8560126430638068,0.47775993883792056,0.7279371207942634,0.4765016787926959,0.7159893100578583,0.43734681372549045,0.8133389830508474,0.5065000000000003,0.8181818181818182,0.49990310077519395,0.7769784172661871,0.3403970364741642,0.7174797775530835,-0.04823685524460298,0.4297678389479717,0.21497615031174722,0.3584472267859134,2000,2000
