Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful
SVM_Linear,0.7770315596152917,0.10077457330465116,0.6865625,0.6865625,0.6845952600800246,0.8428949481675712,0.06443888369202648,0.7826902951133206,0.6644587296761209,0.10100986258751181,0.6578947368421053,0.7011855396065922,0.07038031799992636,0.67125,0.7823287823287824,0.11239777186450632,0.7659574468085106,0.6084316852737904,0.20596660698659053,0.5625,0.6520060331825038,0.10313101463080673,0.6486486486486487,0.793939393939394,0.12058550152164568,0.78,0.3682937942823775,0.15674218145954147,0.33021994576679725,0.23065884065867692,8.4,8.4,4.079215610874228,4,8.0,16,0.5323461279655037,0.8102145729818426,0.6064258101805936,0.8983004713868935,0.534476854038734,0.7631629168340699,0.5573553734448811,0.7716763251283599,0.5581283542039356,0.9090909090909091,0.36839419978517723,0.7250122549019606,0.4634146341463415,0.7745821570999685,0.6521739130434783,0.8958333333333334,0.10993794620824986,0.523083667863934,0.17809591694231114,0.2936378222106913,2000,2000
LogisticRegression,0.7682780297852068,0.10188295292789269,0.705,0.705,0.6997537703908895,0.8399400071703418,0.06398124866824449,0.8001904814591709,0.6553301770693074,0.10709498683719272,0.6491228070175439,0.6924986709197235,0.07221511645394803,0.6634375,0.7757142857142858,0.11335333957072784,0.7608695652173914,0.5910579479000531,0.21464907907546432,0.546875,0.6370556136554252,0.11127472625360664,0.6363636363636364,0.793939393939394,0.12058550152164568,0.78,0.3542949393665424,0.16149191125097262,0.31449188214070956,0.2261896512936758,8.4,8.4,4.079215610874228,4,8.0,16,0.5637084398976983,0.8280507116774721,0.6280104072100774,0.9040310981601047,0.53125,0.7524238875878217,0.551172138047138,0.7610674677414386,0.53125,0.9019727403156385,0.359364983974359,0.7069070647603027,0.4444444444444444,0.7612289273059163,0.65,0.8936170212765957,0.09591903712802123,0.5041831378639503,0.17093813432281701,0.29142475130144446,2000,2000
SVM_RBF,0.7590463187353139,0.09924418075611019,0.6643749999999999,0.6643749999999999,0.6735149276700523,0.8299844258541009,0.06553481138212183,0.7701067327158005,0.611236589497459,0.10063673822536878,0.6052631578947368,0.6482203615098353,0.07135680087943465,0.615625,0.7284632034632035,0.13924008744875527,0.6938775510204082,0.5805316321105795,0.22628418631515484,0.53125,0.6017952069716775,0.10424034782021294,0.6017699115044248,0.7159090909090909,0.18627738827105011,0.7,0.2716555732790481,0.14642545839706494,0.22390317700453854,0.2386055799393471,8.4,8.4,4.079215610874228,4,8.0,16,0.5030655690776173,0.8024704852806887,0.5702363018356693,0.885224028920536,0.4818097643097643,0.7155172413793104,0.49644947128632744,0.717248358706333,0.4799318181818183,0.840014492753623,0.3333333333333333,0.7142857142857143,0.40963855421686746,0.7368421052631579,0.5555555555555556,0.8214484126984125,-0.006397922460216715,0.429579043638875,0.18061505832293298,0.3096046956300695,2000,2000
NaiveBayes,0.7417713820823868,0.05417821258730805,0.708125,0.7081249999999999,0.7036395814096645,0.7829426896950215,0.1074437270293243,0.7637421964936698,0.6357584444540966,0.0887449858185805,0.6403508771929824,0.6073308270676693,0.061448758326040964,0.6228125,0.6567099567099568,0.11568732549273139,0.6533333333333333,0.7456140350877193,0.17874085090456182,0.765625,0.6789114266396215,0.0937932155520728,0.7050359712230215,0.46904761904761905,0.27142857142857146,0.48,0.22048776115761762,0.13075932562030945,0.2516810758885686,0.28933303969831126,8.4,8.4,4.079215610874228,4,8.0,16,0.5554180507918662,0.820985926150121,0.5557223007661253,0.8865026289383221,0.5130325173547681,0.7410863095238095,0.500294245858762,0.7216487547690892,0.46551724137931033,0.7875,0.5789315155358276,0.9054054054054054,0.5370257452574526,0.8083014807893767,0.285636645962733,0.6296423135464231,0.0005915876139896176,0.44271693683886515,0.20553987724460182,0.3931583762157429,2000,2000
GradientBoosting,0.7414160573610333,0.08813659708135911,0.6900000000000001,0.69,0.6925977223761157,0.804978758663418,0.09953815094009588,0.7717933193661333,0.6608333695290217,0.06971793195292658,0.6578947368421053,0.675744854560644,0.06814660164524425,0.666875,0.7384848484848485,0.11465353958501905,0.7450980392156863,0.6080914407230196,0.09800944662348364,0.59375,0.659298245614035,0.07136190002811912,0.6608695652173913,0.7433982683982684,0.08772671464388844,0.74,0.32636502683338664,0.13817165888286653,0.3245214220601642,0.22822772953737486,8.4,8.4,4.079215610874228,4,8.0,16,0.5245173479753398,0.8260662803892428,0.5698721275858554,0.8979809325411954,0.5333177570093458,0.7636758893280631,0.5533706637884004,0.7727508650105845,0.5454545454545454,0.8906321022727273,0.39215686274509803,0.761974789915966,0.4716703662597115,0.7899159663865546,0.6410156250000001,0.8571428571428571,0.09942117945879053,0.524046922625665,0.17725362592448832,0.29150069047664456,2000,2000
RandomForest,0.7282232785821302,0.11067051861650028,0.669375,0.669375,0.6679747614650662,0.7924880773174735,0.11281380717889178,0.7447981865758004,0.6262259479650784,0.08069761158274799,0.6228070175438597,0.6489486975013291,0.09787216253841377,0.6225,0.6960927960927961,0.1564123056963047,0.6779661016949152,0.6638064859117491,0.2003296296851218,0.625,0.6472203067484374,0.08899540202879294,0.6504065040650406,0.634090909090909,0.2061608490575111,0.62,0.26541932793780265,0.1802995092968452,0.2423493044822257,0.23317568274531025,8.4,8.4,4.079215610874228,4,8.0,16,0.5116474707546601,0.8013996427556174,0.5403374472334193,0.8812187751547144,0.5050456016475434,0.7297430654338548,0.5080362757543209,0.7294888557388558,0.47058823529411764,0.8358270124785906,0.42620595439984926,0.8000657894736839,0.4705626598465473,0.7724216300940439,0.49055678875323716,0.7608695652173914,0.016028126223990777,0.4412203426997039,0.18874001910819024,0.2876185444289684,2000,2000
ExtraTrees,0.7249928310215392,0.1295806154923867,0.6578125,0.6578125,0.6512003693444136,0.8100699059354083,0.11892715798521937,0.729121246633236,0.6436172523129045,0.04934285898527931,0.6403508771929824,0.6762466772993088,0.037793875371949316,0.6490625,0.7408441558441559,0.14463655662812222,0.7254901960784313,0.6100691121743753,0.15822004554802313,0.578125,0.6416296296296295,0.06223350867655451,0.6434782608695652,0.7424242424242424,0.14899417901744877,0.72,0.31579716933059915,0.07149863295186011,0.2898814949863264,0.23948204808993143,8.4,8.4,4.079215610874228,4,8.0,16,0.4856166835528538,0.7998575602629655,0.5422203402318425,0.8740886148462613,0.508910275175644,0.7575816761363636,0.5205410625788778,0.7606418492416093,0.5103723404255324,0.875,0.38959235209235216,0.7501024590163928,0.45544554455445546,0.773109243697479,0.5509948979591837,0.8571428571428571,0.038070531334796154,0.5131383046702845,0.20678991717267775,0.27931002514391085,2000,2000
KNN,0.7143598953766418,0.06190101440680861,0.6604687499999999,0.6604687499999999,0.658394890735611,0.7624270084153268,0.09284829447075225,0.7328401866404433,0.6604004690961213,0.05030527421439114,0.6578947368421053,0.680322966507177,0.054470823431658634,0.666875,0.7499999999999999,0.12909944487358058,0.7450980392156863,0.6098883572567784,0.17632266737504895,0.59375,0.6490842490842491,0.08639254516031031,0.6608695652173913,0.7507575757575757,0.1593144173102414,0.74,0.3291825707494816,0.09595854059925654,0.3245214220601642,0.25830530639146715,8.4,8.4,4.079215610874228,4,8.0,16,0.507080448195124,0.7849537037037038,0.5373358824196106,0.8650376249236836,0.5257644591997205,0.767681277056277,0.5367673510554598,0.7730184589873011,0.5263157894736842,0.8840579710144928,0.37308016369764097,0.7659643547941419,0.4506866197183099,0.7883583616160675,0.6097560975609756,0.854241071428571,0.07508386329264129,0.5325612387042035,0.19369863104141025,0.3386612647637298,2000,2000
LightGBM,0.6622051570616163,0.1149517204676728,0.62234375,0.62234375,0.6199599876885196,0.7487725268118479,0.11554947961524756,0.7298584159210351,0.5794727012118316,0.036801476368229315,0.5789473684210527,0.6031332118174223,0.05000863899503437,0.5746875,0.6441025641025641,0.1405296639726957,0.6290322580645161,0.6424136097820309,0.11765104081149101,0.609375,0.6194680437558998,0.025233236237741482,0.6190476190476191,0.5638528138528138,0.15243075238971732,0.54,0.18312257288163877,0.08263659647740954,0.14872433105164895,0.27962000514026886,8.4,8.4,4.079215610874228,4,8.0,16,0.466102902199841,0.7547580145844798,0.5358689012042158,0.8583956457063961,0.46015905285816794,0.6976744186046512,0.4615087736018139,0.6900510647090179,0.41662735849056615,0.7895539152759944,0.4073671497584542,0.7831696014828543,0.43390866209262446,0.7534246575342466,0.4090677179962895,0.6862745098039216,-0.07487801064190114,0.3721656976744182,0.21013890455524842,0.3616508697966325,2000,2000
XGBoost,0.6431475842959097,0.05307172126192889,0.6268750000000001,0.6268750000000001,0.6338873499538319,0.7223336967133693,0.10514675031025417,0.7079156881993759,0.632162040857693,0.07358538096279835,0.631578947368421,0.6367908407382092,0.08176798765316146,0.6325000000000001,0.6904761904761905,0.14541363318669018,0.6896551724137931,0.6279106858054226,0.0795429662284236,0.625,0.6490429889419618,0.07855212931478958,0.6557377049180327,0.6456709956709957,0.16826912774915187,0.64,0.25311313198785396,0.15022209652094942,0.2615669339913633,0.3009111800291475,8.4,8.4,4.079215610874228,4,8.0,16,0.49536786051680226,0.7445159707858272,0.519767386435737,0.8476723613939634,0.5338841807909604,0.7211577868852459,0.536714024555385,0.721640843837535,0.49151798988997925,0.8295860389610388,0.4727146464646465,0.7600298507462685,0.5,0.7555555555555555,0.5227272727272727,0.7674418604651163,0.07048787732375783,0.4339345123880072,0.22754927285532917,0.3827335166703252,2000,2000
