fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015625,0.9954194141476415
0.0,0.140625,0.9347130998354618
0.02,0.140625,0.9337335497934154
0.02,0.171875,0.8915086116203774
0.08,0.171875,0.8719076937709427
0.08,0.234375,0.7545948921848675
0.08,0.28125,0.7411471019678113
0.1,0.296875,0.740358744386293
0.1,0.328125,0.7311147212925978
0.12,0.328125,0.7287973542546661
0.12,0.359375,0.6965710609035987
0.14,0.375,0.6852240975133428
0.14,0.40625,0.6719717765760355
0.14,0.484375,0.638296623302344
0.16,0.484375,0.6224774202055342
0.16,0.5,0.6113189745529704
0.2,0.5,0.6034021028665063
0.26,0.515625,0.6014320693361765
0.3,0.515625,0.5938145963305989
0.3,0.53125,0.5736610280008931
0.36,0.53125,0.5560397899312849
0.4,0.53125,0.5550949657193679
0.4,0.5625,0.5515584906298804
0.42,0.5625,0.5352026495891078
0.42,0.59375,0.5251584485595899
0.46,0.59375,0.5172980968733398
0.46,0.640625,0.4530275544552545
0.48,0.640625,0.44694992276812806
0.48,0.671875,0.3936975668802214
0.5,0.671875,0.3886946971824603
0.5,0.71875,0.34858630637106236
0.6,0.71875,0.3186213752683004
0.6,0.75,0.3089214541941503
0.64,0.75,0.29765271851561653
0.64,0.78125,0.27848966368156175
0.78,0.78125,0.1839326772689753
0.78,0.796875,0.17915282677160196
0.86,0.796875,0.14356329341108381
0.86,0.8125,0.11316916206048654
0.94,0.8125,0.07109093446433053
0.94,0.84375,0.0638674793395575
0.96,0.84375,0.06354975761088298
0.96,0.9375,0.03190445364527507
1.0,0.9375,0.025720001298420534
1.0,1.0,0.009483076674924115
