Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
SVM_RBF,0.7992573605731501,0.0841346714305563,0.721875,0.721875,0.7274930747922437,0.8374717903522562,0.1077851826987688,0.7693060774488253,0.6570168961473309,0.1669661209954511,0.6491228070175439,0.6897501329080276,0.1230284240862895,0.6371875,0.7413502673796791,0.1766588871432826,0.6714285714285714,0.8037426900584794,0.27585325314426,0.734375,0.7022173489278752,0.1624258551552509,0.7014925373134329,0.5757575757575758,0.3419009141228687,0.54,0.3616908332263859,0.2563058350829167,0.2780240658644711,0.2113052347603677,10.4,10.4,5.851495535331118,4,10.0,18,0.587378128175813,0.8454596336499323,0.5691680150067259,0.9014299266906504,0.5267857142857143,0.7711924939467313,0.5253635825276659,0.7604462480976807,0.4713852813852814,0.8382352941176471,0.5740514905149052,0.8857412398921831,0.543951401869159,0.8205357142857141,0.3537962962962964,0.7442088463292292,0.0507829769628816,0.5165412072948742,0.1665823893182042,0.2575133760997949,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,27,4,1.9259259259259258
SVM_RBF,0.7921997371758138,0.0433165837686742,0.7075,0.7075,0.6970221606648199,0.8479354646927121,0.0550772608138762,0.7817614528487226,0.6652043608565348,0.1064453312677562,0.6578947368421053,0.6928056884635831,0.0497511248084463,0.67125,0.7944155844155845,0.1177497453497781,0.7659574468085106,0.5984901648059543,0.2238022465039424,0.5625,0.6382458770614693,0.1408888064460915,0.6486486486486487,0.7871212121212121,0.1459272621555697,0.78,0.3635580441456281,0.1265511293635881,0.3302199457667972,0.2229940719154921,10.4,10.4,4.079215610874228,6,10.0,16,0.5768849206349208,0.8210804859932087,0.5861271186399113,0.9017435912155248,0.5436685159500694,0.763651145602365,0.5548595295606165,0.773377376950351,0.5453598484848486,0.9143009118541032,0.375,0.7361149267399267,0.4680712904117159,0.7820652173913043,0.6333333333333333,0.9047843665768192,0.1021637077769049,0.5224962304094807,0.1835079623079273,0.2670898069154389,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,38,4,1.368421052631579
SVM_RBF,0.7874947699828082,0.0389783129971509,0.69,0.69,0.692251461988304,0.8403078754191409,0.0508311421751951,0.7584162218723515,0.6366705758010106,0.095453089432972,0.631578947368421,0.6574016480595428,0.0166172491258644,0.628125,0.7218922305764411,0.1565681010503685,0.6774193548387096,0.6988942052099947,0.2700619840239444,0.65625,0.6471677559912854,0.1391713561491117,0.6666666666666666,0.615909090909091,0.2524171485779741,0.6,0.2995829827844435,0.0745275274722918,0.2551337896701928,0.226547992840033,10.4,10.4,4.079215610874228,6,10.0,16,0.5588796439176646,0.8153315800836927,0.570764849076421,0.8918909048772421,0.5096153846153846,0.7452984843798328,0.5083203125,0.7394290069184345,0.463403342366757,0.8378918918918916,0.4782608695652174,0.8113502358490565,0.4943754130865829,0.7884642857142857,0.4242424242424242,0.7647058823529411,0.0162942957054396,0.4748073995977392,0.1857283626663537,0.2727948546636537,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,38,4,1.368421052631579
LogisticRegression,0.7752023308961109,0.0850938729056585,0.7162499999999999,0.71625,0.7176823638042474,0.8009581642345035,0.1216915230978649,0.7420610431072675,0.701072840203275,0.1229293752705139,0.6929824561403509,0.7233466241360978,0.0824307354937391,0.6915625000000001,0.7671078431372549,0.1381570839801649,0.7377049180327869,0.7542690058479533,0.2393110501739051,0.703125,0.7171567428672692,0.1392913602244778,0.72,0.6924242424242425,0.1923466796673739,0.68,0.424980900168574,0.1848217245132963,0.3806271344303011,0.2203104960748121,10.4,10.4,5.851495535331118,4,10.0,18,0.5930250850340135,0.8230902727658063,0.5562703306827348,0.8903738997896251,0.5793546365914788,0.7907302325581393,0.579404121990329,0.7897457627118644,0.5555555555555556,0.8734572784810124,0.5442991437081162,0.8412907268170425,0.5647058823529412,0.8263892596971659,0.5217164855072464,0.8148290598290597,0.1493001160723708,0.5661383263320958,0.1779978165324592,0.2702194661848869,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,27,4,1.9259259259259258
SVM_Linear,0.7731224295817597,0.0327742482156547,0.6368750000000001,0.6368750000000001,0.6242305324715296,0.8189028919359254,0.0495647068615296,0.7393803898003435,0.6387597909337039,0.0986020169391476,0.631578947368421,0.6737905369484317,0.0514365118495677,0.64125,0.7591919191919192,0.138174434205217,0.72,0.6081871345029239,0.2625766159782232,0.5625,0.6208874307785378,0.1369939285568359,0.631578947368421,0.7393939393939395,0.2088821971067326,0.72,0.3200573555176423,0.1212738193535883,0.2741055184960581,0.2515150035276017,10.4,10.4,4.079215610874228,6,10.0,16,0.5124862132352941,0.7514766605069167,0.5711037499366594,0.8582938045506456,0.5227146464646465,0.7300108695652173,0.5331444553898114,0.7350879415521494,0.5127906976744186,0.8636556240369799,0.38,0.7250122549019606,0.4583207831325301,0.7571491969568892,0.5909090909090909,0.8334183673469383,0.0645614600788021,0.4505749738121345,0.2211129508103608,0.2845237593479056,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,38,4,1.368421052631579
SVM_RBF,0.7710201007569429,0.1073630254444861,0.721875,0.721875,0.7229147429978454,0.8108054082897016,0.1409839482469963,0.7841930833045236,0.6456615847920195,0.1386630907767683,0.6403508771929824,0.66056884635832,0.1259147313840667,0.646875,0.6804411764705882,0.2428704853710303,0.7169811320754716,0.6120467836257311,0.3443155667909275,0.59375,0.5974028125870231,0.2582143610883099,0.6495726495726496,0.7090909090909091,0.1780286911596922,0.7,0.2993080834985585,0.2595125729259991,0.2868477265791883,0.2174680806381072,10.4,10.4,5.851495535331118,4,10.0,18,0.6020653411626605,0.833598887779086,0.6020009316755238,0.9039476013675308,0.5340719696969697,0.7416733870967742,0.5374884259259259,0.7428199602122015,0.5097453906935909,0.8604651162790697,0.4038377192982456,0.7548145738451524,0.4583207831325301,0.7692546583850931,0.5768939393939394,0.8181818181818182,0.0746966794380587,0.474329156000741,0.1766695537272135,0.2604183201311462,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,27,4,1.9259259259259258
LogisticRegression,0.768654015663585,0.0783153515640553,0.7134375,0.7134375,0.7134502923976608,0.79756689858008,0.1207014406259423,0.7430466336196124,0.710163749294184,0.1194390172342899,0.7017543859649122,0.7333466241360979,0.0745736347823421,0.6993750000000001,0.7735180995475113,0.1299833140978435,0.7419354838709677,0.7742690058479532,0.238115557033595,0.71875,0.7290144503771506,0.1343445640555482,0.7301587301587301,0.6924242424242425,0.1923466796673739,0.68,0.4440399432180209,0.1733080291619576,0.3970130678282514,0.2234995717348976,10.4,10.4,5.851495535331118,4,10.0,18,0.5920729166666666,0.8203739316239316,0.5589425394834149,0.8902139142784458,0.5904642857142858,0.79832102195717,0.5905554771315641,0.7970990247777276,0.56,0.875,0.5625,0.8611217948717949,0.584052359882006,0.8333333333333334,0.5217164855072464,0.8148290598290597,0.1748737242637801,0.5850997388243309,0.1808892592654341,0.2728388491524099,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,27,4,1.9259259259259258
KNN,0.7682969015744134,0.0568975221891379,0.73171875,0.73171875,0.7359956909818406,0.8053433897673976,0.0756252147404989,0.7812219985009948,0.6955783347087695,0.0444334568047308,0.6929824561403509,0.7015781878939775,0.0192308870140593,0.685,0.7187165775401069,0.1068234523138718,0.7164179104477612,0.7741520467836256,0.1590601994648389,0.75,0.7263095238095237,0.0612608452150522,0.732824427480916,0.629004329004329,0.1428020358096566,0.62,0.3843525474777614,0.0603601836980605,0.372444164831708,0.2130879398047784,10.4,10.4,5.851495535331118,4,10.0,18,0.6190476190476191,0.8306317934782608,0.6010145781246599,0.8946419157334251,0.6030281196448045,0.7777777777777778,0.6011022190866194,0.7660184854242303,0.530604514533086,0.8472373188405796,0.6196798975672215,0.8732834507042251,0.5976522377109319,0.8271621097537328,0.4905359293456444,0.7547266076241818,0.1977284339357094,0.5287270739974264,0.1663966829978934,0.2674911506341632,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,27,4,1.9259259259259258
LogisticRegression,0.7665433326198876,0.0476705994736426,0.6950000000000001,0.6950000000000001,0.6919821483533395,0.8297326098490583,0.046717716127164,0.7675875464308438,0.6454487541444063,0.0848867410280684,0.6403508771929824,0.6767410951621476,0.0686302725331146,0.6534375,0.7533333333333334,0.139204086785474,0.7446808510638298,0.5777246145667198,0.2335527425152417,0.546875,0.616906882591093,0.1351462791800549,0.6306306306306306,0.7757575757575758,0.1469462649236889,0.76,0.3201041904100345,0.143444768871104,0.2958722506779151,0.229632295090878,10.4,10.4,4.079215610874228,6,10.0,16,0.5707922384219555,0.8059117372606297,0.5801359192018484,0.8988040676461776,0.5423728813559322,0.7314871273712737,0.5532451288705137,0.7473362128942486,0.5217164855072464,0.902439024390244,0.3829787234042553,0.6842348927875243,0.4523617511520738,0.7485046012269937,0.6304347826086957,0.8857142857142857,0.1028629635167463,0.4681118332927423,0.1846411632965503,0.278832625951608,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,38,4,1.368421052631579
SVM_Linear,0.7656191960617797,0.0158197899170084,0.655625,0.655625,0.650777162203755,0.8194880832580406,0.0539984459649343,0.7463128641200913,0.6721061547148504,0.0979094823148394,0.6666666666666666,0.6944072301967039,0.0396808132868986,0.659375,0.7344219523166892,0.1496252195556518,0.696969696969697,0.7676023391812865,0.2469375645818476,0.71875,0.6978181818181819,0.120232159874702,0.7076923076923077,0.6212121212121212,0.2439817392194416,0.6,0.3688067342460369,0.1114135991646152,0.32015065913371,0.243017226039714,10.4,10.4,4.079215610874228,6,10.0,16,0.5248073582130711,0.785161860699078,0.5591881234412056,0.8841466023387006,0.5491412958626075,0.7767891483516484,0.544423076923077,0.766374581153972,0.5084676298971936,0.8437673611111111,0.5423270728355475,0.875,0.5438048245614037,0.8205298013245031,0.4390243902439024,0.7551020408163265,0.0861833804593946,0.529079579123978,0.2023377945293299,0.2855279581815343,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,38,4,1.368421052631579
