Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_PR_AUC,Std_PR_AUC,Min_PR_AUC,Max_PR_AUC,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Min_Balanced_Accuracy,Max_Balanced_Accuracy,Mean_Precision,Std_Precision,Min_Precision,Max_Precision,Mean_Recall,Std_Recall,Min_Recall,Max_Recall,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Specificity,Std_Specificity,Min_Specificity,Max_Specificity,Mean_n_feats,Std_n_feats,Min_n_feats,Max_n_feats
SVM_RBF,0.8015481081031319,0.04452414089842253,0.7416666666666667,0.8518518518518519,0.8418781897663958,0.06507546364159841,0.7480205415499532,0.9207512879348358,0.7378693769998117,0.14736577994307584,0.5,0.9047619047619048,0.7608466241360978,0.09114330197334364,0.6578947368421053,0.9027777777777777,0.8520634920634921,0.10601938907180364,0.7142857142857143,1.0,0.7027538543328017,0.24848432071942,0.3157894736842105,0.9090909090909091,0.7349542483660131,0.1565284455200068,0.48,0.8888888888888888,0.818939393939394,0.1752359684200112,0.625,1.0,11.6,4.560701700396552,6.0,18.0
KNN,0.792024499955122,0.09120965520906146,0.6625,0.8842975206611571,0.8022300827221504,0.13092598870925637,0.6262155388471178,0.9107523413405767,0.7225310920963095,0.13651272310569065,0.5454545454545454,0.8695652173913043,0.7265024303182198,0.10970869557157685,0.55,0.8125,0.7415404040404041,0.15738042517979314,0.5,0.9090909090909091,0.7808187134502924,0.2199757176845871,0.5263157894736842,1.0,0.7427609427609427,0.14036002830597957,0.5454545454545454,0.9090909090909091,0.6721861471861472,0.16440263137166175,0.5,0.8571428571428571,11.6,4.560701700396552,6.0,18.0
SVM_Linear,0.777127978348074,0.05941519047446748,0.7083333333333334,0.861111111111111,0.8313105933091001,0.08452746728766161,0.704334875650665,0.9252500309919314,0.7014680971202709,0.13259132636382542,0.5,0.8571428571428571,0.723346624136098,0.09140374064369348,0.65,0.8611111111111112,0.7808333333333333,0.13332031186415502,0.6666666666666666,1.0,0.72093567251462,0.26977084208608326,0.3157894736842105,1.0,0.7085385147456454,0.1513257574021261,0.48,0.8421052631578947,0.7257575757575758,0.20666688882952605,0.5,1.0,11.6,4.560701700396552,6.0,18.0
LogisticRegression,0.7606157151372464,0.06622674313168098,0.6916666666666667,0.8518518518518519,0.8135943102705777,0.08250974492866502,0.7017628205128205,0.9176384475289547,0.7109542631281762,0.138708097400513,0.5,0.8571428571428571,0.7333466241360977,0.09721899894471603,0.6166666666666667,0.8611111111111112,0.815595238095238,0.12160380679758508,0.6875,1.0,0.7076023391812866,0.2665140119128399,0.3157894736842105,1.0,0.7152271528494439,0.14297091468710407,0.48,0.8421052631578947,0.759090909090909,0.22424754293912172,0.5,1.0,11.6,4.560701700396552,6.0,18.0
ExtraTrees,0.7595731293338949,0.0488082387505891,0.6833333333333333,0.8016528925619835,0.7818817233804431,0.07513636046882124,0.7041437728937728,0.8956977542129081,0.6917242178111743,0.14627920699630054,0.46153846153846156,0.8260869565217391,0.7037831320726057,0.09407606368236372,0.5864661654135338,0.7791666666666667,0.7523249299719887,0.08303477341278648,0.6666666666666666,0.8571428571428571,0.6671982987772461,0.2900218982858357,0.3157894736842105,0.9333333333333333,0.6746761133603238,0.1841465108771882,0.46153846153846156,0.875,0.7403679653679653,0.10781741390646438,0.625,0.8571428571428571,11.6,4.560701700396552,6.0,18.0
RandomForest,0.7519359809072729,0.0473350762698614,0.6833333333333333,0.8016528925619835,0.7725170353508946,0.08161124090286577,0.6635442335442335,0.8887198636823861,0.7237168628472975,0.09472394114151578,0.6153846153846154,0.8181818181818182,0.7168485607959292,0.09602937484466523,0.6166666666666667,0.8194444444444444,0.747626491155903,0.06552176839156794,0.6666666666666666,0.8461538461538461,0.7469005847953216,0.2485519087961956,0.4,1.0,0.7292307692307693,0.14133405233386762,0.5,0.8461538461538461,0.6867965367965368,0.12615445789236338,0.5,0.8333333333333334,11.6,4.560701700396552,6.0,18.0
XGBoost,0.7081639014892602,0.06280484191408019,0.6390977443609023,0.7933884297520661,0.778248227696021,0.0481809726196178,0.726048026048026,0.8469903276450697,0.648421144073318,0.13504288840823808,0.4230769230769231,0.7727272727272727,0.6443132452342979,0.11451338005790676,0.4699248120300752,0.7583333333333333,0.6965969977734684,0.10580750845913965,0.5882352941176471,0.8571428571428571,0.7266135034556087,0.23642070758235267,0.3684210526315789,0.9090909090909091,0.6836156406136122,0.11678692932308898,0.4827586206896552,0.7878787878787878,0.562012987012987,0.22396963237391784,0.36363636363636365,0.9166666666666666,11.6,4.560701700396552,6.0,18.0
NaiveBayes,0.7021624884065074,0.14546104447903402,0.5000000000000001,0.8796296296296295,0.7729690501227165,0.09435860241131305,0.644838053243626,0.9038007079388295,0.5753898275637406,0.16635597105140953,0.3181818181818182,0.7142857142857143,0.5491604010025062,0.1575146198276548,0.3416666666666667,0.75,0.5857289002557544,0.17514797741504884,0.35294117647058826,0.8235294117647058,0.8673684210526316,0.18794706627928964,0.6,1.0,0.685672514619883,0.14313306028140985,0.4444444444444444,0.7894736842105263,0.23095238095238094,0.28141608223033115,0.0,0.5714285714285714,11.6,4.560701700396552,6.0,18.0
GradientBoosting,0.7015457951582353,0.09131503648015753,0.575,0.8223140495867768,0.7532281354435871,0.08239383244905023,0.6665967801261918,0.8735727722569828,0.6304217521608826,0.13253216253534447,0.46153846153846156,0.7727272727272727,0.6467050201260728,0.1143267961891,0.5166666666666666,0.7727272727272727,0.6976800976800976,0.060624893138476216,0.6153846153846154,0.7777777777777778,0.639946836788942,0.24448337605428305,0.3684210526315789,0.9090909090909091,0.6416201227965934,0.12013581063573223,0.5,0.8,0.6534632034632035,0.127293155883246,0.5,0.8333333333333334,11.6,4.560701700396552,6.0,18.0
LightGBM,0.6458991602053803,0.07931425168694041,0.5416666666666666,0.7520661157024793,0.7370977641359253,0.05561964706945446,0.6871794871794871,0.830887516187018,0.5933298585472497,0.13275054986478677,0.4230769230769231,0.7272727272727273,0.5894395078605605,0.12380456540624167,0.4699248120300752,0.7272727272727273,0.641131221719457,0.10913498107436159,0.46153846153846156,0.75,0.6736842105263158,0.22842078314048836,0.3684210526315789,1.0,0.6336188237050305,0.1200625997765588,0.4827586206896552,0.7857142857142857,0.5051948051948052,0.2165576032313929,0.25,0.8333333333333334,11.6,4.560701700396552,6.0,18.0
