Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC,Kappa
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LogisticRegression,0.7320261437908497,0.6923076923076923,0.6862745098039216,0.8615403258592114,0.8,0.7058823529411765,0.75,0.6666666666666666,0.6393426573426573,0.35403726708074534
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_RBF,0.5882352941176471,0.6538461538461539,0.630718954248366,0.7639506273777374,0.75,0.7058823529411765,0.7272727272727273,0.5555555555555556,0.6673146853146853,0.2547770700636942
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_Linear,0.6797385620915033,0.6153846153846154,0.6274509803921569,0.8489750290988681,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.6743076923076923,0.23076923076923073
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",RandomForest,0.5555555555555556,0.5,0.4869281045751634,0.7549955436720144,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.4444444444444444,0.6743076923076923,-0.0242424242424244
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",GradientBoosting,0.4738562091503268,0.6538461538461539,0.5784313725490196,0.6868697267328229,0.7,0.8235294117647058,0.7567567567567568,0.3333333333333333,0.6614871794871795,0.17021276595744683
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",ExtraTrees,0.6601307189542484,0.5769230769230769,0.5718954248366013,0.824975550167366,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.5555555555555556,0.6743076923076923,0.1333333333333333
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",KNN,0.542483660130719,0.6153846153846154,0.5490196078431372,0.741619902285537,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.3333333333333333,0.668842105263158,0.10344827586206895
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",NaiveBayes,0.6405228758169935,0.6538461538461539,0.5522875816993464,0.8064596456984001,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.2222222222222222,0.6759102564102564,0.12030075187969913
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",XGBoost,0.5555555555555556,0.6153846153846154,0.5751633986928104,0.7491850595585561,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.4444444444444444,0.6819999999999999,0.15032679738562094
1,90,26,18,18,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LightGBM,0.5620915032679739,0.5384615384615384,0.5163398692810457,0.7388966328282047,0.6666666666666666,0.5882352941176471,0.625,0.4444444444444444,0.685525641025641,0.03105590062111807
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",LogisticRegression,0.6,0.7222222222222222,0.75,0.778406862745098,1.0,0.5,0.6666666666666666,1.0,0.7792330827067668,0.47058823529411764
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",SVM_RBF,0.47500000000000003,0.5555555555555556,0.575,0.6718482905982907,0.6666666666666666,0.4,0.5,0.75,0.6852481203007519,0.1428571428571429
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",SVM_Linear,0.5625,0.6666666666666666,0.6875,0.6872530165912518,0.8333333333333334,0.5,0.625,0.875,0.7754736842105263,0.3571428571428572
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",RandomForest,0.45,0.5,0.5125,0.6688172448466565,0.5714285714285714,0.4,0.47058823529411764,0.625,0.6792773109243697,0.02409638554216864
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",GradientBoosting,0.525,0.5,0.5125,0.6976767676767676,0.5714285714285714,0.4,0.47058823529411764,0.625,0.7044873949579833,0.02409638554216864
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",ExtraTrees,0.5125000000000001,0.5555555555555556,0.575,0.7255421865715983,0.6666666666666666,0.4,0.5,0.75,0.666672268907563,0.1428571428571429
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",KNN,0.58125,0.5555555555555556,0.575,0.7406045751633987,0.6666666666666666,0.4,0.5,0.75,0.6890075187969925,0.1428571428571429
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",NaiveBayes,0.6125,0.5,0.5125,0.6433494283494283,0.5714285714285714,0.4,0.47058823529411764,0.625,0.5464395604395604,0.02409638554216864
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",XGBoost,0.47500000000000003,0.5555555555555556,0.575,0.6606517094017094,0.6666666666666666,0.4,0.5,0.75,0.6624705882352941,0.1428571428571429
2,98,18,14,14,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",LightGBM,0.53125,0.5555555555555556,0.5625,0.68534825468649,0.625,0.5,0.5555555555555556,0.625,0.670981684981685,0.12195121951219512
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",LogisticRegression,0.6050420168067226,0.5806451612903226,0.5861344537815126,0.713099593772711,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.6428571428571429,0.617,0.16907216494845356
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",SVM_RBF,0.46638655462184875,0.45161290322580644,0.5,0.5434875724537708,0.0,0.0,0.0,1.0,0.3637948717948718,0.0
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",SVM_Linear,0.6365546218487395,0.5483870967741935,0.5378151260504201,0.7204232020055146,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.42857142857142855,0.4855897435897436,0.07659574468085095
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",RandomForest,0.5840336134453781,0.4838709677419355,0.4726890756302521,0.6783774350590208,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.35714285714285715,0.6646190476190477,-0.05531914893617018
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",GradientBoosting,0.4915966386554622,0.41935483870967744,0.4201680672268907,0.6111236094378469,0.4666666666666667,0.4117647058823529,0.4375,0.42857142857142855,0.6467619047619048,-0.15767634854771795
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",ExtraTrees,0.5966386554621849,0.4838709677419355,0.46638655462184875,0.7153275492150173,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.2857142857142857,0.6646190476190477,-0.06896551724137923
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",KNN,0.5273109243697479,0.6129032258064516,0.5966386554621849,0.5897727672297937,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.42857142857142855,0.6778974358974359,0.19827586206896552
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",NaiveBayes,0.4159663865546219,0.3225806451612903,0.3067226890756303,0.6196277678449117,0.4,0.47058823529411764,0.43243243243243246,0.14285714285714285,0.6705714285714286,-0.3940042826552461
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",XGBoost,0.5504201680672269,0.5161290322580645,0.5147058823529411,0.5860156826223966,0.5625,0.5294117647058824,0.5454545454545454,0.5,0.6778974358974359,0.029227557411273586
3,85,31,8,8,auto,auto,corr_mrmr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",LightGBM,0.5588235294117647,0.5483870967741935,0.5504201680672269,0.6308734303949219,0.6,0.5294117647058824,0.5625,0.5714285714285714,0.5574761904761905,0.09958506224066377
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",LogisticRegression,0.6715686274509803,0.5862068965517241,0.5857843137254902,0.7647456742553265,0.6666666666666666,0.5882352941176471,0.625,0.5833333333333334,0.5485,0.16746411483253598
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",SVM_RBF,0.6225490196078431,0.5172413793103449,0.5392156862745098,0.7387187081591302,0.6363636363636364,0.4117647058823529,0.5,0.6666666666666666,0.4225079365079365,0.07305936073059349
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",SVM_Linear,0.7107843137254901,0.6896551724137931,0.6985294117647058,0.8026323042586019,0.7857142857142857,0.6470588235294118,0.7096774193548387,0.75,0.4929444444444444,0.3829787234042552
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",RandomForest,0.5392156862745099,0.4827586206896552,0.4730392156862745,0.7010441447674843,0.5625,0.5294117647058824,0.5454545454545454,0.4166666666666667,0.5415555555555556,-0.053268765133172025
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",GradientBoosting,0.4558823529411765,0.4482758620689655,0.43137254901960786,0.6147512748527985,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.3333333333333333,0.5901666666666666,-0.13725490196078427
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",ExtraTrees,0.6176470588235294,0.5517241379310345,0.5686274509803921,0.7446024520221168,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.6666666666666666,0.611,0.1293302540415704
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",KNN,0.5637254901960784,0.5517241379310345,0.5563725490196079,0.6814187238150957,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.5833333333333334,0.5901666666666666,0.10874704491725762
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",NaiveBayes,0.41666666666666674,0.5172413793103449,0.4411764705882353,0.5542224052930443,0.5555555555555556,0.8823529411764706,0.6818181818181818,0.0,0.7325277777777778,-0.13407821229050287
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",XGBoost,0.5931372549019608,0.5862068965517241,0.5980392156862745,0.7472838373250646,0.6923076923076923,0.5294117647058824,0.6,0.6666666666666666,0.5762777777777778,0.1869158878504672
4,87,29,14,14,auto,auto,corr_mrmr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",LightGBM,0.6397058823529412,0.6206896551724138,0.6519607843137255,0.726080067400661,0.8,0.47058823529411764,0.5925925925925926,0.8333333333333334,0.503361111111111,0.27990970654627534
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",LogisticRegression,0.5925925925925926,0.5833333333333334,0.6111111111111112,0.3472222222222222,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.6153181818181819,0.16666666666666663
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",SVM_RBF,0.5,0.25,0.5,0.25,0.25,1.0,0.4,0.0,0.496,0.0
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",SVM_Linear,0.5,0.25,0.5,0.25,0.25,1.0,0.4,0.0,0.496,0.0
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",RandomForest,0.4444444444444444,0.5,0.5555555555555556,0.2972582972582972,0.2857142857142857,0.6666666666666666,0.4,0.4444444444444444,0.45338636363636364,0.07692307692307687
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",GradientBoosting,0.4444444444444445,0.5,0.5555555555555556,0.28535353535353536,0.2857142857142857,0.6666666666666666,0.4,0.4444444444444444,0.48463636363636364,0.07692307692307687
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",ExtraTrees,0.6296296296296297,0.5833333333333334,0.6111111111111112,0.36507936507936506,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.5585,0.16666666666666663
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",KNN,0.5,0.4166666666666667,0.6111111111111112,0.3666666666666667,0.3,1.0,0.46153846153846156,0.2222222222222222,0.5996931818181819,0.125
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",NaiveBayes,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.29444444444444445,0.2727272727272727,1.0,0.42857142857142855,0.1111111111111111,0.6096363636363636,0.05882352941176472
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",XGBoost,0.5925925925925926,0.5833333333333334,0.6111111111111112,0.37777777777777777,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.496,0.16666666666666663
5,104,12,4,4,auto,auto,corr_mrmr,"['P2', 'P23', 'P28', 'P32', 'P42', 'P44', 'P45', 'P47', 'P49']",LightGBM,0.5555555555555556,0.5833333333333334,0.6111111111111112,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.47895454545454547,0.16666666666666663
